"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.010162500E-2;9.581857361E-3;1.682148278E-1;5.323254317E-2
2.201568800E-2;-3.513347730E-2;1.064650863E-1;7.133160532E-2
3.392506300E-2;-6.813765317E-2;8.091346174E-2;5.749114603E-2
4.583600000E-2;-6.387905031E-2;5.429719388E-2;4.577998444E-2
5.774850000E-2;-4.790928960E-2;-1.171115879E-2;7.771950960E-2
6.965943800E-2;-3.832742944E-2;-1.809906401E-2;9.794788063E-2
8.157037500E-2;-4.790928960E-2;4.471533373E-2;6.387905031E-2
9.348287500E-2;-6.387905031E-2;1.107236892E-1;4.897394031E-2
1.053938130E-1;-7.559020817E-2;1.831199378E-1;7.239625603E-2
1.173063130E-1;-1.075297371E-1;2.555162013E-1;8.836601675E-2
1.292250630E-1;-1.596976221E-1;3.151366413E-1;8.304276317E-2
1.411297500E-1;-1.831199378E-1;3.406882584E-1;7.559020817E-2
1.530453750E-1;-1.724734306E-1;2.981022298E-1;7.559020817E-2
1.649531880E-1;-1.511804163E-1;2.800031602E-1;5.429719388E-2
1.768641250E-1;-1.234994978E-1;2.501929402E-1;-3.193952609E-3
1.887828750E-1;-7.133160532E-2;2.384817898E-1;1.916371472E-2
2.006875630E-1;-3.619812801E-2;2.949082851E-1;7.984881103E-2
2.126141250E-1;-5.110324174E-2;4.237310290E-1;7.665485889E-2
2.245110000E-1;-1.203055456E-1;5.568124056E-1;3.619812801E-2
2.364219380E-1;-2.182534188E-1;7.239625454E-1;2.981022373E-2
2.483375630E-1;-2.917143404E-1;8.165872097E-1;4.045673087E-2
2.602453750E-1;-3.247185051E-1;7.793244123E-1;3.939208016E-2
2.721563130E-1;-2.682920098E-1;5.940751433E-1;6.387905218E-3
2.840688130E-1;-1.980250627E-1;4.460887015E-1;-2.555162087E-2
2.959797500E-1;-1.746027321E-1;3.747570813E-1;-5.110324174E-2
3.078906880E-1;-2.012190074E-1;4.120198786E-1;-8.730136603E-2
3.198094380E-1;-2.406110913E-1;4.301189482E-1;-1.192408949E-1
3.317156880E-1;-3.300417662E-1;5.983337760E-1;-1.075297371E-1
3.436266250E-1;-5.174202919E-1;8.900480866E-1;-6.920230389E-2
3.555375630E-1;-5.749114752E-1;1.324425697E0;-4.045673087E-2
3.674485000E-1;-5.216789246E-1;1.380852103E0;-2.555162087E-2
3.793641250E-1;-4.833514690E-1;1.255223393E0;-5.110324174E-2
3.912719380E-1;-3.311064243E-1;1.011418343E0;-6.281439960E-2
4.031891250E-1;-5.429719388E-2;6.079156399E-1;-6.494370103E-2
4.150953750E-1;2.257059813E-1;2.661627233E-1;-8.517206460E-2
4.270156880E-1;3.470761776E-1;9.581857920E-2;-8.730136603E-2
4.389188130E-1;2.650980651E-1;1.809906363E-1;-6.707300246E-2
4.508297500E-1;1.384046115E-2;4.758989215E-1;-5.110324174E-2
4.627422500E-1;-3.183306158E-1;8.996299505E-1;-1.384046115E-2
4.746531880E-1;-5.642649531E-1;1.186021090E0;5.962044746E-2
4.865656880E-1;-6.462430358E-1;1.176439166E0;9.688322991E-2
4.984860000E-1;-5.525537729E-1;7.921002507E-1;3.513347730E-2
5.103891250E-1;-3.449468613E-1;3.385589719E-1;-9.581857920E-2
5.223000630E-1;-1.064650863E-1;-2.768092230E-2;-2.320938855E-1
5.342110000E-1;1.139176413E-1;-3.492054641E-1;-3.321710527E-1
5.461235000E-1;1.958957613E-1;-3.130073547E-1;-3.598519862E-1
5.580344380E-1;1.288227588E-1;-8.943066746E-2;-2.384817898E-1
5.699453750E-1;-5.110324174E-2;1.809906363E-1;-5.323254038E-3
5.818578750E-1;-2.299645841E-1;1.554390192E-1;1.724734306E-1
5.937688130E-1;-3.364296556E-1;-7.771950960E-2;1.884431988E-1
6.056828750E-1;-3.523994386E-1;-9.475392103E-2;7.239625603E-2
6.175938130E-1;-3.470761776E-1;-1.628915817E-1;-2.661627159E-2
6.295031880E-1;-3.215245605E-1;-5.259374976E-1;-3.087487444E-2
6.414156880E-1;-2.619041204E-1;-8.687551022E-1;4.897394031E-2
6.533266250E-1;-2.086715698E-1;-9.006946087E-1;2.810678184E-1
6.652453750E-1;-3.055547774E-1;-3.907268643E-1;5.216789246E-1
6.771500630E-1;-4.673817158E-1;6.174974889E-2;6.462430358E-1
6.890656880E-1;-5.653296113E-1;5.003859103E-2;5.642649531E-1
7.009735000E-1;-5.781053901E-1;1.394692659E-1;4.822868407E-1
7.128860000E-1;-3.790156841E-1;-1.384046115E-2;5.025151968E-1
7.247985000E-1;-1.650208831E-1;-3.939208090E-1;5.536184311E-1
7.367094380E-1;-1.809906401E-2;-8.613025546E-1;5.855579376E-1
7.486203750E-1;7.559020817E-2;-1.328684211E0;6.068509817E-1
7.605313130E-1;5.429719388E-2;-1.159404755E0;6.803118587E-1
7.724438130E-1;-1.288227588E-1;-9.219876528E-1;6.292086244E-1
7.843547500E-1;-3.609166443E-1;-9.209229946E-1;4.929333329E-1
7.962672500E-1;-5.493598580E-1;-8.123285770E-1;4.886747301E-1
8.081844380E-1;-6.536956429E-1;-6.984109282E-1;5.695881844E-1
8.200891250E-1;-6.526309848E-1;-5.717175007E-1;6.153681874E-1
8.320016250E-1;-5.514891148E-1;-4.514119625E-1;5.930105448E-1
8.439141250E-1;-4.567352235E-1;-2.981022298E-1;5.067738295E-1
8.558250630E-1;-3.832743168E-1;-1.895078421E-1;3.949854672E-1
8.677360000E-1;-3.651752472E-1;-2.310292274E-1;3.641105890E-1
8.796469380E-1;-3.374943137E-1;-4.716403186E-1;3.683691919E-1
8.915594380E-1;-2.619041204E-1;-7.324797511E-1;3.087487519E-1
9.034703750E-1;-1.565036774E-1;-8.783369660E-1;3.140719831E-1
9.153828750E-1;-7.984881103E-2;-9.134704471E-1;4.077612758E-1
9.272953750E-1;-7.452555746E-2;-9.347634315E-1;5.216789246E-1
9.392047500E-1;-1.192408949E-1;-8.581085801E-1;5.898165703E-1
9.511172500E-1;-1.767320335E-1;-5.823640227E-1;6.473076940E-1
9.630281880E-1;-3.193952441E-1;-2.427403927E-1;7.207686305E-1
9.749906880E-1;-4.162784815E-1;-3.044901490E-1;7.740011811E-1
9.868516250E-1;-3.151366413E-1;-8.602378964E-1;9.475392699E-1
9.987641250E-1;-2.384817898E-1;-1.265869856E0;1.226477742E0
1.010675063E0;-2.076069117E-1;-1.368076324E0;1.484123230E0
1.022586000E0;-1.852492392E-1;-1.132788539E0;1.519256711E0
1.034501625E0;-1.277581006E-1;-8.325569630E-1;1.480929375E0
1.046409438E0;-9.581857361E-3;-6.664714217E-1;1.409597754E0
1.058320375E0;6.174974889E-2;-5.802347064E-1;1.307391286E0
1.070232875E0;8.730136603E-2;-4.876100719E-1;1.213701963E0
1.082164125E0;7.665485889E-2;-5.930105448E-1;1.178568482E0
1.094054750E0;7.133160532E-2;-9.326341152E-1;1.210507989E0
1.105967250E0;1.320167035E-1;-1.339330792E0;1.364882350E0
1.117878188E0;2.863910794E-1;-1.733251572E0;1.578877211E0
1.129790688E0;5.312607884E-1;-1.947246432E0;1.744962692E0
1.141703188E0;8.059406877E-1;-1.871656179E0;1.738574862E0
1.153614125E0;1.028452754E0;-1.723669767E0;1.608687401E0
1.165525063E0;1.164728045E0;-1.599105597E0;1.457507014E0
1.177437563E0;1.132788539E0;-1.622527838E0;1.401080489E0
1.189348500E0;8.879188299E-1;-1.710893869E0;1.599105597E0
1.201259438E0;5.323254466E-1;-1.768385053E0;1.864203572E0
1.213171938E0;1.266934574E-1;-1.692794800E0;2.051582098E0
1.225084438E0;-1.107236892E-1;-1.511804223E0;2.175081730E0
1.236995375E0;-2.150594741E-1;-1.391498685E0;2.230443478E0
1.248907875E0;-1.895078421E-1;-1.336136818E0;2.156982660E0
1.260820375E0;1.064650808E-2;-1.433019996E0;2.055840731E0
1.272731313E0;2.810678184E-1;-1.616140008E0;2.018578053E0
1.284642250E0;4.982565939E-1;-1.561842799E0;2.016448736E0
1.296553188E0;5.525537729E-1;-1.368076324E0;2.006866932E0
1.308464125E0;4.577998519E-1;-1.296744704E0;1.985573769E0
1.320376625E0;3.364296556E-1;-1.272257805E0;1.952569604E0
1.332287563E0;2.853264213E-1;-1.309520483E0;1.989832401E0
1.344198500E0;3.587873280E-1;-1.361688375E0;2.039870977E0
1.356111000E0;5.333900452E-1;-1.298874021E0;1.954698920E0
1.368021938E0;7.356737256E-1;-1.216895938E0;1.829070091E0
1.379934438E0;8.144578934E-1;-1.179633141E0;1.752415299E0
1.391845375E0;8.453327417E-1;-1.240318179E0;1.744962692E0
1.403757875E0;8.730136752E-1;-1.244576812E0;1.895078540E0
1.415668813E0;9.028239250E-1;-1.236059666E0;1.954698920E0
1.427579750E0;9.336987734E-1;-1.628915787E0;1.894013882E0
1.439509438E0;9.517978430E-1;-2.174016953E0;1.906789660E0
1.451403188E0;1.048681021E0;-2.504058838E0;1.909983635E0
1.463315688E0;1.245641470E0;-2.591360092E0;1.906789660E0
1.475226625E0;1.415985584E0;-2.423145294E0;1.773708344E0
1.487139125E0;1.516062737E0;-2.245348692E0;1.510739565E0
1.499051625E0;1.224348426E0;-2.604135990E0;1.124271274E0
1.510961000E0;8.378801942E-1;-2.706342459E0;8.953713775E-1
1.522873500E0;7.473849058E-1;-2.306033611E0;7.676132321E-1
1.534784438E0;8.219104409E-1;-1.824811578E0;6.462430358E-1
1.546696938E0;8.953713775E-1;-1.422373533E0;3.832743168E-1
1.558607875E0;8.570439219E-1;-1.281839609E0;2.076069117E-1
1.570518813E0;7.186393142E-1;-1.457507014E0;1.788613349E-1
1.582431313E0;6.845704913E-1;-1.829070091E0;1.054004356E-1
1.594342250E0;8.304276466E-1;-2.240025282E0;-5.323254317E-2
1.606254750E0;1.047616482E0;-2.436985731E0;-1.660855263E-1
1.618167250E0;1.145564318E0;-2.096297503E0;-2.118655145E-1
1.630078188E0;1.171115875E0;-1.598040938E0;-3.481408358E-1
1.641989125E0;1.123206615E0;-1.184956431E0;-4.684463739E-1
1.653901625E0;1.022064805E0;-1.009289026E0;-4.471533597E-1
1.665812563E0;9.209229946E-1;-1.186021090E0;-3.023608327E-1
1.677723500E0;9.635090232E-1;-1.620398521E0;-3.513347730E-2
1.689645375E0;1.126400590E0;-2.028159857E0;2.640334070E-1
1.701548500E0;1.410662413E0;-2.231508255E0;4.599291682E-1
1.713459438E0;1.476670742E0;-2.331585407E0;6.004630923E-1
1.725371938E0;1.155146122E0;-2.353943110E0;9.134704471E-1
1.737289125E0;7.676132321E-1;-1.951504946E0;1.331878185E0
1.749193813E0;3.183306158E-1;-1.345718622E0;1.779031515E0
1.761106313E0;-1.958957613E-1;-7.835830450E-1;2.400787592E0
1.773017250E0;-6.419844627E-1;-4.663170576E-1;3.017220497E0
1.784929750E0;-9.315694571E-1;-5.546830893E-1;3.444145441E0
1.796840688E0;-7.910355926E-1;-4.908040464E-1;3.635782719E0
1.808751625E0;-4.950626493E-1;-5.429719090E-1;3.735859871E0
1.820665688E0;-1.777966917E-1;-7.399323583E-1;3.582550049E0
1.832575063E0;2.054776102E-1;3.747570813E-1;3.368555307E0
1.844487563E0;1.735380888E-1;2.555162013E-1;3.780575037E0
1.856398500E0;9.794788063E-2;-4.247956872E-1;4.231987000E0
1.868311000E0;1.149822921E-1;-5.589416623E-1;4.616325855E0
1.880220375E0;5.940751433E-1;3.811450005E-1;4.983630657E0
1.892132875E0;1.592717648E0;3.279124498E-1;5.538313866E0
1.904043813E0;2.790449858E0;-7.484495640E-1;5.991855145E0
1.915956313E0;3.642170429E0;-1.283968925E0;6.349577427E0
1.927868813E0;4.362939358E0;-1.457507014E0;6.806313038E0
1.939779750E0;4.820738792E0;-1.340395451E0;7.144871712E0
1.951690688E0;5.015570164E0;-1.623592496E0;7.197039604E0
1.963603188E0;4.408719063E0;-2.308162928E0;6.782890320E0
1.975514125E0;2.824518681E0;-3.901945353E0;5.403102875E0
1.987436000E0;8.357509375E-1;-4.805833817E0;3.739053726E0
1.999337563E0;-8.804662228E-1;-5.317931175E0;1.806712508E0
2.011248500E0;-1.397886515E0;-5.107130051E0;2.512575984E-1
2.023159438E0;-1.131723881E0;-3.536770105E0;-1.809906363E-1
2.035073500E0;-6.835058331E-1;-2.315615654E0;-7.921002507E-1
2.046984438E0;-3.428175747E-1;1.479864717E-1;-1.232865691E0
2.058895375E0;4.045673311E-1;4.812222004E0;-1.196667552E0
2.070812563E0;4.503473043E-1;7.351414204E0;-1.084879160E0
2.082717250E0;-4.950626493E-1;8.920709610E0;-1.138111711E0
2.094631313E0;-2.215538502E0;7.554762363E0;-1.338266134E0
2.106540688E0;-2.800031662E0;5.375422001E0;-1.604428768E0
2.118453188E0;-2.196374655E0;2.867104769E0;-1.861009717E0
2.130365688E0;-1.584200501E0;8.857895136E-1;-1.809906483E0
2.142276625E0;-1.016741514E0;-1.167922020E0;-1.460700989E0
2.154187563E0;-6.600835323E-1;-2.460407972E0;-1.038034558E0
2.166100063E0;-1.446860433E0;-9.486039281E-1;-5.120970607E-1
2.178011000E0;-2.460407972E0;2.005802155E0;6.813765168E-1
2.189923500E0;-1.911048293E0;3.230150700E0;9.336987734E-1
2.201834438E0;4.216017425E-1;2.615847111E0;4.279896319E-1
2.213778188E0;1.638497591E0;1.689600825E0;7.771950960E-2
2.225657875E0;2.191051483E0;6.888290644E-1;1.916371472E-2
2.237568813E0;2.344361067E0;-6.377258301E-1;3.183306158E-1
2.249479750E0;2.105879307E0;-1.741768718E0;7.974234819E-1
2.261392250E0;1.483058572E0;-1.978121281E0;9.230522513E-1
2.273311000E0;7.271565199E-1;-2.167629004E0;8.495913744E-1
2.285215688E0;5.110324174E-2;-1.713023186E0;5.887519121E-1
2.297126625E0;-3.609166443E-1;-8.187164664E-1;3.311064243E-1
2.309037563E0;-6.281439662E-1;3.193952516E-2;9.901253134E-2
2.320950063E0;-7.622900009E-1;3.736924529E-1;1.256287992E-1
2.332862563E0;-9.262462258E-1;5.429719090E-1;3.694338500E-1
2.344773500E0;-9.081471562E-1;5.270021558E-1;3.023608327E-1
2.356684438E0;-7.771950960E-1;6.068509817E-1;4.258603323E-3
2.368595375E0;-5.791700482E-1;6.324025989E-1;-1.288227588E-1
2.380506313E0;-3.736924529E-1;7.803890705E-1;-1.128529906E-1
2.392418813E0;-1.426632106E-1;4.311835766E-1;-6.813765317E-2
2.404331313E0;-2.448697016E-2;2.981022298E-1;-1.384046115E-2
2.416242250E0;7.133160532E-2;4.460887015E-1;3.087487444E-2
2.428153188E0;2.012190074E-1;3.577226698E-1;2.448697016E-2
2.440065688E0;3.162012994E-1;1.841845959E-1;1.490511186E-2
2.451976625E0;3.343003690E-1;8.091346174E-2;-2.022836544E-2
2.463892250E0;2.895850241E-1;-4.258603230E-2;-7.665485889E-2
2.475800063E0;2.171887755E-1;-3.449468613E-1;-1.139176413E-1
2.487711000E0;3.406882659E-2;-2.363524884E-1;-1.831199378E-1
2.499623500E0;-5.749114603E-2;-1.064650831E-3;-2.406110913E-1
2.511534438E0;8.197811246E-2;-1.990897059E-1;6.387905218E-3
2.523446938E0;3.151366413E-1;-5.184849501E-1;4.950626493E-1
2.535357875E0;5.142263770E-1;-4.812221825E-1;1.230736375E0
2.547268813E0;4.514119625E-1;4.684463516E-2;2.134624958E0
2.559181313E0;4.758989215E-1;-5.642649531E-2;2.507252693E0
2.571092250E0;5.046445131E-1;-7.090574503E-1;2.179340363E0
2.583004750E0;4.130845368E-1;-1.348912597E0;1.936599851E0
2.594915688E0;2.395464331E-1;-1.603364110E0;1.896143198E0
2.606826625E0;1.128529906E-1;-1.776902199E0;1.719411135E0
2.618739125E0;8.091346174E-2;-1.817358971E0;1.880173326E0
2.630670375E0;1.447925121E-1;-2.005802155E0;2.083521605E0
2.642564125E0;2.619041204E-1;-2.259189129E0;1.770514369E0
2.654475063E0;4.109552205E-1;-2.172952414E0;1.331878185E0
2.666386000E0;6.558248997E-1;-1.503286958E0;1.025258780E0
2.678296938E0;8.815308809E-1;-3.183306158E-1;1.051874995E0
2.690209438E0;8.101992607E-1;1.144499660E0;1.137047052E0
2.702120375E0;3.651752472E-1;2.361395597E0;1.295680046E0
2.714036000E0;-1.650208831E-1;2.798967123E0;2.129301786E0
2.725943813E0;-3.736924529E-1;1.887625933E0;2.426339149E0
2.737856313E0;-6.387904882E-1;-4.428947568E-1;1.612946033E0
2.749778188E0;-8.272337317E-1;-1.612946033E0;5.610709786E-1
2.761678188E0;-7.420616150E-1;-1.853557110E0;-1.224348471E-1
2.773590688E0;-4.556705654E-1;-1.556519508E0;-2.278352827E-1
2.785501625E0;-2.395464331E-1;-9.124057889E-1;9.581857361E-3
2.797412563E0;-1.809906363E-1;2.076069117E-1;3.513347805E-1
2.809325063E0;2.129301662E-3;8.953713775E-1;6.153681874E-1
2.821236000E0;3.587873280E-1;7.825183868E-1;7.122514248E-1
2.833148500E0;3.385589719E-1;4.727049768E-1;7.420616150E-1
2.845059438E0;2.842617631E-1;4.577998444E-2;7.441909313E-1
2.856971938E0;5.663942695E-1;-6.739239693E-1;7.431262732E-1
2.868889125E0;8.442681432E-1;-1.097655058E0;7.516434789E-1
2.880795375E0;8.229750991E-1;-1.189214945E0;8.613025546E-1
2.892706313E0;3.470761776E-1;-7.292858362E-1;7.676132321E-1
2.904617250E0;-1.352106631E-1;-3.257831633E-1;6.419844627E-1
2.916528188E0;-3.215245605E-1;-2.608394623E-1;8.570439219E-1
2.928439125E0;-4.971919358E-1;1.139176413E-1;1.275451660E0
2.940351625E0;-7.995527983E-1;9.975778461E-1;2.079262972E0
2.952278188E0;-8.346862793E-1;1.309520483E0;2.831971169E0
