"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.580781300E-2;1.190999970E-1;9.959999472E-2;-2.496999949E-1
4.566093800E-2;-3.109999932E-2;-6.469999999E-2;1.310000010E-2
6.551406300E-2;-1.836999953E-1;-1.255999953E-1;-1.398999989E-1
8.536562500E-2;-1.999999862E-3;1.110999957E-1;7.999999449E-3
1.052187500E-1;9.160000086E-2;-8.769999444E-2;2.511000037E-1
1.250703130E-1;2.606000006E-1;2.065999955E-1;1.860000007E-2
1.449234380E-1;3.185999990E-1;1.617999971E-1;1.500999928E-1
1.647765630E-1;4.768999815E-1;4.908999801E-1;6.359999627E-2
1.846296880E-1;-3.299999982E-3;-1.728999913E-1;2.294999957E-1
2.044812500E-1;-4.829999804E-2;-9.409999847E-2;5.436999798E-1
2.243343750E-1;2.161999941E-1;1.421999931E-1;-1.399999950E-2
2.441875000E-1;1.218999997E-1;1.137999967E-1;-3.163999915E-1
2.640390630E-1;2.665999830E-1;3.727999926E-1;-2.359999903E-2
2.838921880E-1;1.296999902E-1;2.312999964E-1;8.760000020E-2
3.037453130E-1;3.249000013E-1;5.309000015E-1;1.310999990E-1
3.236109380E-1;4.378999770E-1;4.004999995E-1;1.724999994E-1
3.434500000E-1;5.812999606E-1;6.749999523E-2;-1.975999922E-1
3.633031250E-1;1.016099930E0;-2.976999879E-1;4.531999826E-1
3.831562500E-1;8.291999698E-1;3.109000027E-1;1.560000032E-1
4.030078130E-1;7.026999593E-1;3.533999920E-1;3.644999862E-1
4.228609380E-1;5.331999660E-1;-1.110999957E-1;3.000000026E-3
4.427140630E-1;4.217000008E-1;-1.900999993E-1;-4.684999883E-1
4.625718750E-1;1.049999967E-1;-6.039999723E-1;-9.101999998E-1
4.824187500E-1;3.966999948E-1;-4.760999978E-1;-1.205699921E0
5.022718750E-1;1.101099968E0;5.649999976E-1;-1.163100004E0
5.221250000E-1;9.013999701E-1;5.590000153E-1;-7.337999940E-1
5.419765630E-1;1.000999957E-1;-3.152999878E-1;-4.639999866E-1
5.618296880E-1;-1.237900019E0;-1.380499959E0;-9.388999939E-1
5.816828130E-1;-1.585000008E-1;-5.869999900E-2;-1.598299980E0
6.015343750E-1;8.305000067E-1;9.246999621E-1;-5.194000006E-1
6.213921880E-1;3.958999813E-1;1.159999967E-1;-1.675300002E0
6.412406250E-1;-4.138999879E-1;-1.017999947E-1;-1.042099953E0
6.610921880E-1;-1.066699982E0;-1.180599928E0;3.770000041E-1
6.809453130E-1;1.282999963E-1;-9.631999731E-1;-8.837999701E-1
7.007984380E-1;4.883999825E-1;-6.844999790E-1;2.307999879E-1
7.206515630E-1;2.258999944E-1;-1.020599961E0;-1.138000011E0
7.405031250E-1;3.390000015E-2;-1.042299986E0;-2.115399837E0
7.603562500E-1;2.997999787E-1;-1.540699959E0;-5.081999898E-1
7.802093750E-1;7.450000048E-1;-6.498000026E-1;-1.944299936E0
8.000609380E-1;-1.789999902E-1;-1.188199997E0;-7.782999873E-1
8.199156250E-1;7.319999933E-1;-1.031399965E0;6.116999984E-1
8.397671880E-1;1.763999909E-1;-8.278999925E-1;7.613999844E-1
8.596187500E-1;-4.055999815E-1;-6.100000143E-1;-5.234000087E-1
8.794718750E-1;-2.997999787E-1;1.667999923E-1;-1.172999963E-1
8.993250000E-1;-8.351999521E-1;-6.204000115E-1;7.884999514E-1
9.191765630E-1;-1.263399959E0;-9.030999541E-1;1.705999970E-1
9.390296880E-1;-8.701999784E-1;-6.345999837E-1;5.169999972E-2
9.588828130E-1;-1.181499958E0;-3.326999843E-1;3.053999841E-1
9.787390630E-1;-1.386299968E0;-1.005499959E0;7.513999939E-1
9.985875000E-1;-1.322799921E0;-1.263599992E0;1.568300009E0
1.018440625E0;-5.426999927E-1;-3.098999858E-1;1.624799967E0
1.038293750E0;5.269999802E-2;3.249000013E-1;9.258999825E-1
1.058145313E0;-2.137999982E-1;1.823000014E-1;-4.824000001E-1
1.077998438E0;-1.094300032E0;-2.743999958E-1;-1.506999969E0
1.097851563E0;-1.698399901E0;-6.653999686E-1;-1.069800019E0
1.117703125E0;-2.268800020E0;-8.865999579E-1;1.305999905E-1
1.137556250E0;-1.149699926E0;-5.629999638E-1;1.156399965E0
1.157409375E0;-9.883999825E-1;-6.958000064E-1;-9.849999845E-2
1.177262500E0;-2.111199856E0;-6.613000035E-1;-1.979099989E0
1.197114063E0;-2.800499916E0;-4.988999963E-1;-2.461599827E0
1.216967188E0;-1.886099935E0;-4.597999752E-1;-6.543999910E-1
1.236820313E0;-6.008999944E-1;1.064999998E-1;1.394699931E0
1.256671875E0;-4.739999771E-2;-9.499999881E-2;2.651099920E0
1.276525000E0;3.035999835E-1;5.148999691E-1;2.891000032E0
1.296378125E0;3.484999835E-1;1.035400033E0;2.035799980E0
1.316229688E0;5.751000047E-1;1.231799960E0;1.392599940E0
1.336081250E0;1.033999994E-1;8.218999505E-1;2.139899969E0
1.355934375E0;1.381399989E0;1.172500014E0;3.475299835E0
1.375787500E0;1.199000001E0;1.327399969E0;1.924699903E0
1.395640625E0;4.158999920E-1;1.277599931E0;1.558699965E0
1.415492188E0;1.445799947E0;1.963899970E0;1.275799990E0
1.435345313E0;9.147999883E-1;1.741099954E0;-4.299999680E-3
1.455198438E0;9.125999808E-1;1.028999925E0;1.674699903E0
1.475056250E0;3.523899794E0;2.566999912E0;1.363099933E0
1.494903125E0;5.850100040E0;4.754300117E0;-3.369099855E0
1.514764063E0;3.734200001E0;3.844099998E0;-2.070999891E-1
1.534607813E0;4.142099857E0;2.908900023E0;1.276700020E0
1.554462500E0;3.017499924E0;2.432999849E0;1.615999937E-1
1.574317188E0;1.453000009E-1;1.127099991E0;-1.514099956E0
1.594167188E0;1.285899997E0;9.810999632E-1;-8.884999752E-1
1.614020313E0;2.667599916E0;4.449999928E-1;1.061999947E-1
1.633873438E0;3.255299807E0;4.738999903E-1;-1.938999891E-1
