"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;4.699703217E0;5.769412994E0;6.352161884E0
1.191250000E-2;4.721873760E0;5.782897472E0;6.346588612E0
2.382343700E-2;4.809740543E0;5.859358311E0;6.088234901E0
3.573437500E-2;4.662267208E0;5.916034222E0;5.896085262E0
4.764687500E-2;4.611280441E0;5.946842670E0;5.953843117E0
5.955781200E-2;4.733806133E0;5.985973835E0;6.048222542E0
7.147031200E-2;4.713685036E0;6.000386715E0;6.337892532E0
8.338125000E-2;4.675033092E0;6.055942059E0;6.647941589E0
9.529375000E-2;4.753505230E0;6.155578613E0;6.513301373E0
1.072078120E-1;4.913217545E0;6.249766827E0;6.345266819E0
1.191156250E-1;4.801111698E0;6.155607224E0;6.479753971E0
1.310281250E-1;4.765083790E0;6.090006351E0;6.395755291E0
1.429390620E-1;4.646043777E0;5.987295151E0;6.468692303E0
1.548515620E-1;4.632148266E0;5.936279297E0;6.433162689E0
1.667625000E-1;4.660830498E0;5.973485470E0;6.482894897E0
1.786812500E-1;4.778615952E0;5.938836575E0;6.485767841E0
1.905921870E-1;4.865563869E0;6.038434982E0;6.287087440E0
2.024968750E-1;4.698745251E0;6.143942833E0;6.254995823E0
2.144078120E-1;4.749521255E0;6.155492783E0;6.349489689E0
2.263296870E-1;4.827831268E0;6.086491585E0;6.559442520E0
2.382312500E-1;4.844657898E0;6.074865341E0;6.680454731E0
2.501437500E-1;4.871109009E0;6.151901245E0;6.498466969E0
2.620546870E-1;4.962509632E0;6.144718647E0;6.476545334E0
2.739671870E-1;4.778453350E0;6.122318268E0;6.369495869E0
2.858781250E-1;4.677370071E0;6.304718494E0;6.275116920E0
2.977906250E-1;4.709624290E0;6.236359119E0;6.656273365E0
3.097109370E-1;4.426649094E0;6.325471401E0;6.682963848E0
3.216125000E-1;4.624707222E0;6.669613838E0;5.927717686E0
3.335250000E-1;5.161822319E0;5.985762596E0;6.902091026E0
3.454375000E-1;4.363557339E0;4.576535702E0;7.299662590E0
3.573531250E-1;4.573384762E0;3.983214140E0;6.531784534E0
3.692609370E-1;4.455034733E0;4.039679050E0;6.394289970E0
3.811718750E-1;3.873712778E0;4.657507896E0;6.193397522E0
3.930828120E-1;3.680098534E0;5.184289455E0;6.540604591E0
4.049953120E-1;3.925150156E0;5.537539482E0;7.615811825E0
4.169125000E-1;4.980945110E0;6.588785648E0;7.753086090E0
4.288171870E-1;5.261344433E0;6.994851589E0;7.422150135E0
4.407296870E-1;4.734313488E0;7.038378239E0;7.017596722E0
4.526406250E-1;4.393666267E0;6.940771580E0;6.792876720E0
4.645515620E-1;4.341731548E0;6.643593788E0;6.568703175E0
4.764703120E-1;4.124204159E0;6.114657402E0;6.576527119E0
4.883750000E-1;3.634053469E0;5.633996964E0;6.741458893E0
5.002875000E-1;3.288435936E0;5.113076210E0;6.839228630E0
5.121984370E-1;3.002367258E0;5.015421391E0;6.987707615E0
5.241093750E-1;3.091373920E0;5.100253105E0;7.249336243E0
5.360218750E-1;3.731593370E0;5.212981224E0;7.149909496E0
5.479328120E-1;4.556462765E0;5.554213047E0;6.939727306E0
5.598453120E-1;4.847693443E0;5.990532398E0;6.951449871E0
5.717562500E-1;4.749358654E0;6.038349152E0;7.000483036E0
5.836687500E-1;4.579063892E0;5.842216492E0;6.831672192E0
5.955812500E-1;4.453396797E0;5.924049854E0;6.800184250E0
6.075031250E-1;4.269780636E0;5.961466312E0;6.976119518E0
6.194031250E-1;3.839447260E0;5.287508488E0;7.984040260E0
6.313140620E-1;3.079067945E0;5.028963566E0;7.759099960E0
6.432265620E-1;2.756501913E0;4.911915302E0;6.931740761E0
6.551375000E-1;2.981020451E0;5.241443634E0;6.852157116E0
6.670484370E-1;3.648677349E0;5.560801983E0;7.032248974E0
6.789609370E-1;4.070123672E0;5.668694019E0;7.071792126E0
6.908718750E-1;4.129729748E0;5.629821777E0;7.432214737E0
7.027828120E-1;4.082822323E0;5.809674263E0;7.596964836E0
7.146984370E-1;4.441522121E0;6.339587212E0;6.987343788E0
7.266062500E-1;4.324273109E0;6.154630661E0;6.770112991E0
7.385187500E-1;4.128695488E0;6.113450050E0;6.851755142E0
7.504296870E-1;4.205214500E0;6.005759239E0;7.131225586E0
7.623421870E-1;4.201335430E0;5.908046722E0;6.999774456E0
7.742546870E-1;4.095856667E0;5.867699623E0;7.081119537E0
7.861765620E-1;3.962308168E0;5.702672482E0;7.052532673E0
7.980765620E-1;4.201958179E0;5.616423607E0;7.023840904E0
8.099875000E-1;4.543275356E0;5.537663937E0;7.262121201E0
8.219000000E-1;3.996056557E0;5.611367226E0;7.036128044E0
8.338109370E-1;3.751599073E0;5.371803284E0;6.624784470E0
8.457250000E-1;3.672015905E0;5.330143929E0;6.442155361E0
8.576343750E-1;3.789705276E0;5.444586754E0;6.444376945E0
8.695468750E-1;4.130409718E0;5.673223495E0;6.968668938E0
8.814578120E-1;4.319005966E0;5.638000011E0;7.118574619E0
8.933734370E-1;4.458281040E0;5.638239861E0;6.998739719E0
9.052812500E-1;4.732407570E0;5.804770470E0;7.143828392E0
9.171921870E-1;4.935751915E0;5.878818989E0;7.000377655E0
9.291281250E-1;4.952492237E0;5.873148918E0;6.995723248E0
9.410156250E-1;4.747817039E0;5.810957432E0;6.766061783E0
9.529265620E-1;4.396309376E0;5.669478893E0;6.515053749E0
9.648390620E-1;4.528546333E0;5.475060463E0;6.423413277E0
9.767500000E-1;4.552172184E0;5.496129513E0;6.450458050E0
9.886625000E-1;4.523537636E0;5.559930325E0;6.770419598E0
1.000579687E0;4.721509457E0;5.575013638E0;6.705009937E0
1.012485937E0;4.719526768E0;5.756187439E0;6.547413349E0
1.024423437E0;4.841104507E0;5.894534111E0;6.314007759E0
1.036310937E0;5.183465958E0;5.999907494E0;6.033244610E0
1.048220312E0;5.311469078E0;6.094162464E0;6.059475422E0
1.060139062E0;5.332346916E0;6.089632988E0;6.256442070E0
1.072042187E0;5.131348610E0;5.956448078E0;6.325538635E0
1.083954687E0;5.053144455E0;5.973016262E0;6.299537182E0
1.095865625E0;4.897033215E0;5.770198345E0;6.075612068E0
1.107778125E0;4.544989586E0;5.537587166E0;6.310368538E0
1.119689062E0;4.586524487E0;5.527205944E0;6.773982048E0
1.131601562E0;4.704232693E0;5.578097343E0;6.827899456E0
1.143512500E0;4.908448696E0;5.689168930E0;6.604969978E0
1.155423437E0;5.269226074E0;5.934996128E0;6.451597691E0
1.167335937E0;5.492002010E0;6.101957798E0;6.459192276E0
1.179251562E0;5.507343769E0;6.153644085E0;6.187967300E0
1.191157812E0;5.303003311E0;6.133235931E0;6.501157761E0
