"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093426700E1;7.408667200E0;2.725553073E2;0.000000000E0;0.000000000E0;1.905699921E1;2.000000000E0
1.824376538E1;5.093426700E1;7.408667200E0;0.000000000E0;0.000000000E0;0.000000000E0;1.905699921E1;0.000000000E0
2.843131433E1;5.093419209E1;7.408694780E0;2.577916669E2;4.050646305E0;0.000000000E0;1.900000000E1;0.000000000E0
2.943610496E1;5.093442949E1;7.408778429E0;2.677513436E2;3.696451902E0;0.000000000E0;2.242482948E1;0.000000000E0
3.127961225E1;5.093427412E1;7.408818052E0;2.625871410E2;1.958445430E0;0.000000000E0;1.900000000E1;0.000000000E0
3.227082214E1;5.093431207E1;7.408797626E0;2.626552722E2;1.707822204E0;3.445004272E2;1.571548920E2;0.000000000E0
3.331079558E1;5.093431207E1;7.408797626E0;2.626552722E2;0.000000000E0;3.445004272E2;4.900000095E0;0.000000000E0
3.427601642E1;5.093432832E1;7.408767530E0;2.622066627E2;1.079498649E0;3.079813843E2;1.763350067E2;0.000000000E0
3.529378516E1;5.093432803E1;7.408706848E0;2.585705017E2;0.000000000E0;2.800237427E2;1.849881134E2;0.000000000E0
3.628069975E1;5.093432803E1;7.408706848E0;2.548123230E2;0.000000000E0;2.630708923E2;1.954111938E2;0.000000000E0
3.727611954E1;5.093432803E1;7.408706848E0;2.523033508E2;0.000000000E0;2.664139709E2;2.000000000E2;0.000000000E0
3.827488100E1;5.093432803E1;7.408706848E0;2.494483398E2;0.000000000E0;2.630182190E2;2.000000000E2;0.000000000E0
3.928532318E1;5.093432803E1;7.408706848E0;2.454915222E2;0.000000000E0;2.540281219E2;2.000000000E2;0.000000000E0
4.028758048E1;5.093432803E1;7.408706848E0;2.410142578E2;0.000000000E0;2.518544464E2;2.000000000E2;0.000000000E0
4.128251850E1;5.093432803E1;7.408706848E0;2.410142578E2;0.000000000E0;9.684399414E1;4.900000095E0;0.000000000E0
4.227339506E1;5.093432803E1;7.408706848E0;2.380131897E2;0.000000000E0;2.627713013E2;2.000000000E2;0.000000000E0
