"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.131312000E-3;1.426632106E-1;1.362753063E-1;-3.300417587E-2
1.804693700E-2;1.139176413E-1;1.852492392E-1;-8.517206647E-3
2.995631200E-2;7.559020817E-2;1.171115935E-1;-3.193952609E-3
4.186568700E-2;2.342231758E-2;1.384046115E-2;1.384046115E-2
5.377662500E-2;-2.342231758E-2;-4.045673087E-2;3.619812801E-2
6.568912500E-2;-6.281439960E-2;-6.600835174E-2;3.726277873E-2
7.760162500E-2;-7.026695460E-2;-5.429719388E-2;2.768092230E-2
8.951256200E-2;-3.513347730E-2;5.323254038E-3;3.726277873E-2
1.014250620E-1;-6.387905218E-3;2.981022373E-2;3.406882659E-2
1.133360000E-1;1.064650808E-2;2.874557301E-2;-3.193952609E-3
1.252469370E-1;4.471533373E-2;1.703441329E-2;-1.277581044E-2
1.371594370E-1;4.258603230E-2;2.661627159E-2;-3.300417587E-2
1.490703750E-1;5.323254317E-2;2.661627159E-2;-3.193952516E-2
1.609828750E-1;6.920230389E-2;-1.064650831E-3;-3.832742944E-2
1.728953750E-1;8.730136603E-2;-4.577998444E-2;-4.365068302E-2
1.848063120E-1;8.517206460E-2;-3.193952516E-2;-3.832742944E-2
1.967172500E-1;1.809906401E-2;-3.619812801E-2;-1.809906401E-2
2.086297500E-1;-8.197811246E-2;-6.281439960E-2;3.087487444E-2
2.205406870E-1;-1.522450745E-1;-1.384046115E-2;7.452555746E-2
2.324531870E-1;-1.905725002E-1;1.160469428E-1;1.000771821E-1
2.443641250E-1;-1.831199378E-1;2.225120217E-1;1.298874021E-1
2.562750620E-1;-1.490511149E-1;2.800031602E-1;1.373399645E-1
2.681875620E-1;-9.688322991E-2;2.501929402E-1;1.277581006E-1
2.800985000E-1;-4.471533373E-2;1.394692659E-1;1.341460049E-1
2.920156870E-1;-9.581857361E-3;1.309520602E-1;1.394692659E-1
3.039219370E-1;2.022836544E-2;3.662398756E-1;1.426632106E-1
3.158328750E-1;3.087487444E-2;9.155997038E-1;2.225120217E-1
3.277469370E-1;2.768092230E-2;1.151952267E0;3.343003690E-1
3.396563120E-1;6.707300246E-2;1.456442356E0;2.746799290E-1
3.515813120E-1;1.863138974E-1;1.698118091E0;2.810678184E-1
3.634797500E-1;2.725506127E-1;1.466024160E0;2.395464331E-1
3.753906870E-1;3.321710527E-1;8.794015646E-1;1.309520602E-1
3.873031870E-1;2.427403927E-1;5.323254466E-1;1.000771821E-1
3.992281870E-1;1.277581044E-2;3.332357109E-1;1.405339092E-1
4.111250620E-1;-1.937664598E-1;3.822096586E-1;2.810678184E-1
4.230375620E-1;-2.352878302E-1;4.407654405E-1;2.863910794E-1
4.349485000E-1;-2.565808594E-1;5.759761333E-1;1.746027321E-1
4.468594370E-1;-2.054776102E-1;7.409969568E-1;1.266934574E-1
4.587719370E-1;-1.075297371E-1;8.687551022E-1;8.623671532E-2
4.706906870E-1;-3.406882659E-2;9.028239250E-1;3.406882659E-2
4.825953750E-1;5.855579674E-2;6.675360799E-1;1.809906401E-2
4.945063120E-1;1.277581006E-1;3.002315462E-1;3.939208016E-2
5.064188120E-1;1.224348471E-1;6.281439960E-2;9.475392103E-2
5.183344370E-1;6.920230389E-2;-2.661627159E-2;1.841845959E-1
5.302422500E-1;-1.064650831E-3;-4.258603323E-3;3.098133802E-1
5.421531870E-1;-1.341460049E-1;1.394692659E-1;4.333128929E-1
5.540641250E-1;-2.863910794E-1;2.608394623E-1;4.971919358E-1
5.659828750E-1;-3.257831633E-1;2.970375717E-1;4.833514690E-1
5.778891250E-1;-2.576455176E-1;2.225120217E-1;4.471533597E-1
5.898000620E-1;-1.288227588E-1;1.277581044E-2;3.917915225E-1
6.017110000E-1;1.809906401E-2;-2.597748041E-1;3.034254909E-1
6.136235000E-1;9.901253134E-2;-3.268478215E-1;1.501157731E-1
6.255391250E-1;2.150594741E-1;2.001543641E-1;-1.916371472E-2
6.374469370E-1;2.768092155E-1;7.622900009E-1;-7.984881103E-2
6.493578750E-1;2.736152709E-1;7.984881401E-1;1.171115879E-2
6.612703750E-1;2.640334070E-1;5.301961303E-1;8.517206460E-2
6.731813120E-1;2.342231870E-1;2.001543641E-1;7.239625603E-2
6.850922500E-1;1.884431988E-1;-8.197811246E-2;3.193952516E-2
6.970047500E-1;1.149822921E-1;-3.268478215E-1;5.323254317E-2
7.089156870E-1;5.642649531E-2;-3.555933833E-1;1.022064835E-1
7.208313120E-1;1.596976258E-2;-4.152138233E-1;6.387905031E-2
7.327391250E-1;2.555162087E-2;-5.057091713E-1;7.452555932E-3
7.446531870E-1;3.300417587E-2;-5.174202919E-1;-1.277581044E-2
7.565610000E-1;1.384046115E-2;-4.003087282E-1;-2.129301615E-2
7.684735000E-1;8.517206647E-3;-2.693566680E-1;-2.342231758E-2
7.803844370E-1;2.129301615E-2;-1.394692659E-1;-1.916371472E-2
7.922969370E-1;2.022836544E-2;-8.197811246E-2;3.087487444E-2
8.042156870E-1;4.152138159E-2;-1.660855263E-1;5.323254317E-2
8.161188120E-1;9.794788063E-2;-2.491282970E-1;1.596976258E-2
8.280375620E-1;1.469218135E-1;-3.534640670E-1;-6.387905218E-3
8.399422500E-1;1.469218135E-1;-5.674588680E-1;1.064650808E-2
8.518547500E-1;1.085943878E-1;-8.165872097E-1;1.384046115E-2
8.637797500E-1;5.855579674E-2;-1.026323438E0;1.809906401E-2
8.756797500E-1;7.452555932E-3;-8.879188299E-1;-1.916371472E-2
8.875891250E-1;-3.619812801E-2;-5.568124056E-1;-3.832742944E-2
8.995000620E-1;-6.068509817E-2;-4.088259339E-1;1.809906401E-2
9.114125620E-1;-2.768092230E-2;-3.662398756E-1;6.281439960E-2
9.233235000E-1;4.790928960E-2;-3.151366413E-1;5.216789246E-2
9.352360000E-1;1.288227588E-1;-2.608394623E-1;2.555162087E-2
9.471469370E-1;1.788613349E-1;-2.161241174E-1;3.300417587E-2
9.590578750E-1;1.809906363E-1;-2.012190074E-1;7.026695460E-2
9.709703750E-1;1.767320335E-1;-2.352878302E-1;9.688322991E-2
9.828813120E-1;1.650208831E-1;-3.545287251E-1;1.394692659E-1
9.947938120E-1;1.735380888E-1;-3.928561509E-1;1.639562249E-1
1.006704750E0;1.746027321E-1;-3.598519862E-1;1.735380888E-1
1.018615687E0;1.565036774E-1;-3.343003690E-1;1.863138974E-1
1.030528187E0;1.437278688E-1;-3.545287251E-1;2.076069117E-1
1.042439125E0;1.277581006E-1;-4.397007823E-1;1.948311031E-1
1.054350062E0;1.213701963E-1;-4.854807854E-1;1.447925121E-1
1.066262562E0;1.266934574E-1;-4.184077680E-1;7.878416032E-2
1.078175062E0;1.394692659E-1;-3.768863976E-1;3.619812801E-2
1.090086000E0;9.901253134E-2;-2.225120217E-1;-1.916371472E-2
1.101998500E0;5.323254038E-3;-1.298874021E-1;-1.809906401E-2
1.113909437E0;-6.600835174E-2;-6.281439960E-2;5.855579674E-2
1.125820375E0;-9.155996889E-2;-1.596976258E-2;1.320167035E-1
1.137732875E0;-8.197811246E-2;-3.406882659E-2;1.724734306E-1
