"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.588593700E-2;9.099999815E-2;-1.569999941E-2;-1.282999963E-1
3.573437500E-2;-2.709999867E-2;8.179999888E-2;-4.733999968E-1
5.558750000E-2;-1.539999992E-2;9.219999611E-2;-3.258999884E-1
7.544062500E-2;-4.039999843E-2;9.380000085E-2;1.794999987E-1
9.529375000E-2;3.139999881E-2;2.448999882E-1;2.504999936E-1
1.151453120E-1;9.989999980E-2;2.163999975E-1;1.929000020E-1
1.349984370E-1;3.610000014E-2;1.204999983E-1;1.590999961E-1
1.548515620E-1;-4.989999905E-2;-1.090000011E-2;1.656999886E-1
1.747031250E-1;6.619999558E-2;-1.319999993E-2;2.812999785E-1
1.945562500E-1;1.592999995E-1;1.043999940E-1;-1.689999923E-2
2.144078120E-1;8.679999411E-2;1.853999943E-1;9.139999747E-2
2.342609370E-1;2.072999924E-1;1.147999987E-1;3.647999763E-1
2.541140620E-1;2.574000061E-1;2.595999837E-1;1.651999950E-1
2.739671870E-1;1.363999993E-1;2.590999901E-1;8.700000122E-3
2.938203120E-1;6.960000098E-2;4.284999967E-1;1.233999953E-1
3.136718750E-1;-4.311999977E-1;6.868000031E-1;1.121999994E-1
3.335250000E-1;6.518999934E-1;1.438999921E-1;4.233999848E-1
3.533765620E-1;3.929999843E-2;-1.738399982E0;3.058999777E-1
3.732296870E-1;7.970000058E-2;-1.589100003E0;-2.885999978E-1
3.930828120E-1;-4.453999996E-1;-6.047999859E-1;-2.311999947E-1
4.129359370E-1;4.712999761E-1;4.299999774E-1;9.420999885E-1
4.327875000E-1;1.023299932E0;1.328299999E0;4.529999793E-1
4.526406250E-1;3.709000051E-1;1.297799945E0;-1.642999947E-1
4.724937500E-1;3.102999926E-1;5.995000005E-1;-4.562999904E-1
4.923453120E-1;-3.033999801E-1;-2.030999959E-1;-3.060999811E-1
5.121984370E-1;-8.037999868E-1;-6.606999636E-1;-7.789999992E-2
5.320515620E-1;-4.152999818E-1;-4.889999926E-1;2.149999887E-1
5.519031250E-1;8.585000038E-1;9.609999508E-2;-1.286000013E-1
5.717562500E-1;8.689999580E-1;5.004000068E-1;-1.326999962E-1
5.916093750E-1;5.874999762E-1;3.517999947E-1;-4.150999784E-1
6.114625000E-1;1.744999886E-1;2.879000008E-1;1.144999936E-1
6.313140620E-1;-9.202999473E-1;-4.347999990E-1;6.516999602E-1
6.511671870E-1;-1.043200016E0;-3.709000051E-1;-3.080999851E-1
6.710203120E-1;3.439999744E-2;9.579999745E-2;-8.869999647E-2
6.908718750E-1;3.251999915E-1;5.869999900E-2;2.918999791E-1
7.107250000E-1;4.682999849E-1;6.468999982E-1;1.321000010E-1
7.305781250E-1;2.949000001E-1;5.191999674E-1;-3.612000048E-1
7.504296870E-1;2.116999924E-1;4.229999781E-1;1.077999994E-1
7.702828120E-1;1.018999964E-1;3.373999894E-1;3.489999846E-2
7.901359370E-1;-4.829999804E-2;7.490000129E-2;5.409999937E-2
8.099875000E-1;4.502999783E-1;-6.509999931E-2;3.138999939E-1
8.298421870E-1;-3.042999804E-1;-1.595000029E-1;-1.894999892E-1
8.496937500E-1;-5.138999820E-1;-3.084000051E-1;-4.616999924E-1
8.695468750E-1;-1.976999938E-1;2.249999903E-2;1.952999979E-1
8.893984370E-1;-4.169999808E-2;-1.989999972E-2;4.061999917E-1
9.092515620E-1;3.132999837E-1;2.031999975E-1;4.474999905E-1
9.291281250E-1;4.083999991E-1;2.282999903E-1;3.604999781E-1
9.489562500E-1;-9.849999845E-2;6.639999896E-2;-4.299999774E-2
9.688093750E-1;-4.339999706E-2;-2.357999980E-1;-9.259999543E-2
9.886625000E-1;-1.418000013E-1;-1.296000034E-1;2.563000023E-1
1.008515625E0;-1.349999942E-2;-8.100000210E-3;1.340999901E-1
1.028367187E0;2.164999992E-1;2.342999876E-1;-2.082999945E-1
1.048220312E0;4.467999935E-1;4.025999904E-1;-2.911999822E-1
1.068073437E0;2.736999989E-1;3.105999827E-1;-2.359999903E-2
1.087925000E0;5.460000038E-2;1.785999984E-1;-2.789999917E-2
1.107778125E0;-4.755999744E-1;-1.849000007E-1;9.619999677E-2
1.127631250E0;-3.528999984E-1;-1.483999938E-1;6.611999869E-1
1.147482812E0;-4.859999940E-2;5.399999768E-2;3.195999861E-1
1.167335937E0;3.854999840E-1;4.597999752E-1;2.567999959E-1
1.187189062E0;2.276999950E-1;5.198999643E-1;1.999999881E-1
1.207040625E0;-3.955999911E-1;2.462999970E-1;1.548999995E-1
1.226893750E0;-4.205999970E-1;2.129999921E-2;-3.876000047E-1
1.246746875E0;-5.339999869E-2;-2.399999881E-3;1.881999969E-1
1.266600000E0;1.750999987E-1;1.150000002E-2;2.748000026E-1
1.286451562E0;2.830999792E-1;5.719999969E-2;-1.055999994E-1
1.306304687E0;4.490000010E-2;-5.289999768E-2;-2.181999981E-1
1.326156250E0;-3.000000026E-3;2.609999850E-2;2.462999970E-1
1.346009375E0;1.393000036E-1;6.960000098E-2;2.782999873E-1
1.365862500E0;9.459999949E-2;3.419999778E-2;2.132999897E-1
1.385714062E0;2.258999944E-1;2.159999870E-2;2.282999903E-1
1.405567187E0;1.424999982E-1;2.109999955E-1;1.606999934E-1
1.425420312E0;-6.319999695E-2;2.278999984E-1;1.045999974E-1
1.445271875E0;-1.237000003E-1;4.569999874E-2;-4.600000009E-2
1.465125000E0;-1.271999925E-1;3.329999745E-2;5.570000038E-2
1.484978125E0;-8.320000023E-2;2.139999904E-2;-4.690000042E-2
1.504829687E0;1.473999918E-1;1.743000001E-1;1.081999987E-1
1.524682812E0;1.635999978E-1;1.877999902E-1;-1.889999956E-2
1.544535937E0;6.520000100E-2;1.141999960E-1;2.325999886E-1
1.564395312E0;1.943999976E-1;8.309999853E-2;1.058999971E-1
1.584240625E0;1.536999941E-1;7.719999552E-2;2.197999954E-1
1.604093750E0;1.823000014E-1;1.033999994E-1;1.238999963E-1
1.623945312E0;2.118999958E-1;1.724999994E-1;-2.479999885E-2
1.643798437E0;1.327999979E-1;1.696999967E-1;2.237999886E-1
1.663651562E0;8.150000125E-2;1.412999928E-1;1.074999943E-1
1.683504687E0;1.174999997E-1;1.129999980E-1;2.300000051E-3
1.703356250E0;-1.359999925E-2;4.399999976E-3;1.645999998E-1
1.723209375E0;1.979999989E-2;2.009999938E-2;-7.919999957E-2
1.743070312E0;-1.090000011E-2;4.089999944E-2;5.059999973E-2
1.762915625E0;7.909999788E-2;3.739999980E-2;1.649999991E-2
1.782767187E0;1.591999978E-1;1.999999881E-1;2.108999938E-1
1.802620312E0;1.869999915E-1;8.769999444E-2;9.200000204E-3
1.822473437E0;-2.599999867E-2;5.599999800E-2;-7.819999754E-2
1.842325000E0;-4.999999655E-4;-7.599999662E-3;1.190999970E-1
1.862178125E0;1.587999910E-1;8.889999986E-2;1.424999982E-1
1.882031250E0;1.597999930E-1;-6.199999712E-3;2.117999941E-1
1.901882812E0;2.565999925E-1;1.993999928E-1;1.156999990E-1
1.921735937E0;2.153999954E-1;2.380999923E-1;-1.079999935E-2
1.941589062E0;6.369999796E-2;2.892999947E-1;-2.953999937E-1
1.961442187E0;-1.059999969E-2;1.746999919E-1;-1.171999946E-1
1.981293750E0;-6.859999895E-2;1.548999995E-1;4.199999850E-3
2.001146875E0;1.460999995E-1;1.823999882E-1;3.155999780E-1
2.021000000E0;1.708000004E-1;1.670999974E-1;4.430999756E-1
2.040851562E0;7.899999619E-3;4.459999874E-2;-7.159999758E-2
2.060704687E0;-1.856999993E-1;-1.463000029E-1;-4.867999852E-1
