"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;3.186491013E0;8.045696259E0;5.677130699E0
1.191250000E-2;3.000710487E0;8.132413864E0;5.670829773E0
2.382343700E-2;3.037035465E0;8.132777214E0;5.242411137E0
3.573593700E-2;3.354822397E0;8.115653992E0;4.898546219E0
4.764687500E-2;3.589185953E0;8.032853127E0;4.825427055E0
5.956406200E-2;3.488437891E0;7.837371349E0;4.667410374E0
7.147031200E-2;3.387565613E0;7.898960114E0;4.755133629E0
8.338125000E-2;3.306402206E0;7.897887230E0;4.907471657E0
9.529375000E-2;3.127076387E0;7.799341679E0;4.928425789E0
1.072078120E-1;3.221245050E0;7.912117958E0;5.063880444E0
1.191156250E-1;3.356833458E0;8.067846298E0;5.085341930E0
1.310296870E-1;3.255290747E0;8.114888191E0;5.217061043E0
1.429390620E-1;3.245225668E0;8.029673576E0;5.211592674E0
1.548515620E-1;3.247131348E0;7.973927021E0;5.037342548E0
1.667625000E-1;3.286338568E0;7.859848022E0;5.196250916E0
1.786765620E-1;3.145971537E0;7.847685337E0;5.331896782E0
1.905859370E-1;2.943307161E0;7.892744541E0;5.248406410E0
2.024968750E-1;3.040703058E0;7.960203648E0;5.052311420E0
2.144093750E-1;3.097225666E0;8.058289528E0;5.048969269E0
2.263281250E-1;3.121397495E0;7.993530750E0;5.154783249E0
2.382312500E-1;3.197772503E0;7.911917686E0;5.083780766E0
2.501437500E-1;3.342736483E0;7.931319714E0;5.072738647E0
2.620546870E-1;3.321408987E0;7.979519844E0;5.397660732E0
2.739671870E-1;3.297361612E0;7.948280334E0;5.524802208E0
2.858781250E-1;3.214847803E0;7.750988960E0;5.475797653E0
2.977890620E-1;3.198366165E0;7.607336521E0;5.299862385E0
3.097015620E-1;3.245666027E0;7.440566063E0;5.265050888E0
3.216125000E-1;3.323381901E0;7.611952782E0;5.052167892E0
3.335250000E-1;3.385257483E0;8.188313484E0;5.249019146E0
3.454359370E-1;3.424474716E0;8.371804237E0;5.268325806E0
3.573468750E-1;3.548436880E0;7.522438049E0;5.863189220E0
3.692593750E-1;4.471363068E0;6.761532307E0;5.718895435E0
3.811703120E-1;4.306881428E0;6.499443531E0;6.280689716E0
3.930828120E-1;3.334921837E0;6.560773373E0;6.097629547E0
4.049937500E-1;2.569227457E0;7.023046017E0;5.028235435E0
4.169046870E-1;2.287717342E0;7.624804497E0;4.815802574E0
4.288171870E-1;1.577127695E0;7.823571205E0;5.298253536E0
4.407281250E-1;1.849626064E0;8.522792816E0;4.875044823E0
4.526406250E-1;1.514485836E0;8.924472809E0;5.123936653E0
4.645515620E-1;1.634770513E0;9.063307762E0;5.230564594E0
4.764687500E-1;2.240168571E0;8.717441559E0;5.439301014E0
4.883750000E-1;3.007442951E0;8.014685631E0;5.784563541E0
5.002859370E-1;3.715475321E0;7.708821774E0;5.481295109E0
5.122062500E-1;3.647872686E0;7.542980671E0;5.232987404E0
5.241109370E-1;2.666422367E0;7.462717056E0;6.461318493E0
5.360218750E-1;1.711902142E0;7.513196468E0;6.925391197E0
5.479328120E-1;1.459016919E0;7.909159184E0;5.713475227E0
5.598453120E-1;1.585277557E0;8.209190369E0;4.950538635E0
5.717562500E-1;2.092561007E0;8.226888657E0;5.186348438E0
5.836734370E-1;2.619189739E0;7.957262993E0;5.457343102E0
5.955812500E-1;3.000662565E0;7.405611038E0;5.360742092E0
6.074937500E-1;3.153604269E0;7.079309464E0;5.175249100E0
6.194031250E-1;3.071138144E0;7.103787899E0;5.670331478E0
6.313203120E-1;3.140081882E0;7.713801861E0;5.692884922E0
6.432265620E-1;2.570788383E0;8.150963783E0;5.621700764E0
6.551375000E-1;1.558970094E0;8.407018661E0;5.170077801E0
6.670484370E-1;1.213228106E0;8.065203667E0;5.881481171E0
6.789609370E-1;2.444460630E0;7.574038029E0;5.257418156E0
6.909046870E-1;3.384740591E0;7.544234753E0;4.366880417E0
7.027875000E-1;3.244076252E0;7.673742294E0;4.293474197E0
7.147000000E-1;3.364485264E0;7.965336800E0;4.289834976E0
7.266062500E-1;3.921635151E0;8.537779808E0;4.763321877E0
7.385187500E-1;4.669258118E0;8.908796310E0;5.237028599E0
7.504515620E-1;4.385430813E0;8.681021690E0;5.232575893E0
7.623484370E-1;3.660246134E0;8.421278954E0;5.677016258E0
7.742531250E-1;3.184776545E0;8.264114380E0;5.865420818E0
7.861640620E-1;3.324061871E0;8.198177338E0;5.353703022E0
7.980765620E-1;3.965564251E0;8.144528389E0;4.994180202E0
8.099875000E-1;4.157895088E0;8.185382843E0;4.882265568E0
8.218984370E-1;3.939955711E0;8.129684448E0;4.847588062E0
8.338109370E-1;3.696130276E0;8.117818832E0;5.010594845E0
8.457218750E-1;3.698581934E0;8.262782097E0;4.633556366E0
8.576343750E-1;3.858217716E0;8.266259193E0;4.157990932E0
8.695515620E-1;4.317847252E0;8.151510239E0;4.269091129E0
8.814578120E-1;3.937819958E0;8.205129623E0;4.696149826E0
8.933687500E-1;3.975974083E0;8.143915176E0;4.845088482E0
9.052796870E-1;4.346347809E0;8.019809723E0;4.361756802E0
9.171921870E-1;6.789420128E0;8.747004509E0;2.978894472E0
9.291093750E-1;6.543803215E0;8.937592506E0;3.930359840E0
9.410156250E-1;6.206766605E0;8.732074738E0;4.776671886E0
9.529265620E-1;6.033072472E0;8.343754768E0;4.887561321E0
9.648375000E-1;5.859779835E0;8.240612030E0;4.888001919E0
9.767500000E-1;5.702021122E0;8.377963066E0;5.129232407E0
9.886609370E-1;6.038167000E0;8.711800575E0;5.306786060E0
1.000573437E0;6.299077511E0;9.081944466E0;5.191807270E0
1.012484375E0;6.012395859E0;9.041980743E0;4.954886913E0
1.024396875E0;5.419543266E0;8.828657150E0;4.615848541E0
1.036307812E0;4.789686680E0;8.708248138E0;4.195110798E0
1.048220312E0;4.231253624E0;8.714990616E0;3.950672150E0
1.060131250E0;3.763780832E0;8.808095932E0;3.758580685E0
1.072042187E0;3.336454153E0;8.786135674E0;3.586552382E0
1.083954687E0;3.027381897E0;8.660009384E0;3.589243650E0
1.095865625E0;2.815485239E0;8.732716560E0;4.242870331E0
1.107778125E0;3.023436308E0;8.727439880E0;4.688440800E0
1.119689062E0;2.931518078E0;8.695289612E0;4.953804016E0
1.131601562E0;2.706980228E0;8.552165031E0;4.978838444E0
1.143512500E0;2.713798761E0;8.480655670E0;4.769919872E0
1.155425000E0;2.924412012E0;8.520791054E0;4.597020626E0
1.167335937E0;2.755649567E0;8.391868591E0;4.649980545E0
1.179246875E0;2.309264898E0;8.052322388E0;4.475663185E0
1.191159375E0;1.949694157E0;7.787677288E0;3.892224789E0
1.203070312E0;1.680490136E0;7.636890411E0;3.445055246E0
1.214982812E0;1.291920781E0;7.294462204E0;3.221532583E0
1.226898437E0;1.255509734E0;6.915977001E0;3.213459253E0
1.238804687E0;1.727904916E0;7.124377728E0;3.335927486E0
1.250717187E0;1.987991810E0;7.771846771E0;3.214033842E0
1.262628125E0;2.104005337E0;8.257342339E0;2.915850401E0
1.274542187E0;2.383083105E0;8.799610138E0;2.378093481E0
1.286453125E0;2.324434519E0;9.171267509E0;2.189669847E0
1.298364062E0;1.881670117E0;8.987075806E0;2.138596773E0
1.310275000E0;2.054330349E0;8.717939377E0;2.112758636E0
1.322185937E0;2.760227203E0;8.785820007E0;2.543035030E0
1.334096875E0;3.424665928E0;9.029281616E0;3.605552673E0
1.346010937E0;4.880685329E0;9.030709267E0;4.831154346E0
1.357926562E0;6.732035637E0;8.704751968E0;5.741640568E0
1.369832812E0;7.460629463E0;8.587283134E0;6.196184635E0
1.381750000E0;7.637771606E0;8.474985123E0;5.853736877E0
1.393654687E0;6.863946438E0;8.260541916E0;4.779659748E0
1.405571875E0;5.521029472E0;7.811849117E0;3.440113544E0
1.417478125E0;4.185706139E0;7.206575871E0;2.287564039E0
1.429390625E0;3.195751667E0;6.665677547E0;1.908121347E0
1.441301562E0;3.544558048E0;6.363002777E0;2.361640692E0
1.453214062E0;4.722399712E0;6.389176369E0;3.467579842E0
1.465132812E0;6.057435513E0;6.888788700E0;4.451165676E0
1.477035937E0;6.912462234E0;7.159773827E0;4.997388840E0
1.488959375E0;6.870688438E0;7.106698990E0;4.968025684E0
1.500859375E0;6.742847443E0;7.160185814E0;4.180448532E0
1.512771875E0;6.462467670E0;7.243839264E0;3.307551384E0
1.524689062E0;5.816473484E0;6.927938461E0;2.968762159E0
1.536600000E0;5.119310856E0;6.272712708E0;2.864202738E0
1.548506250E0;5.089144230E0;6.261373520E0;3.205146551E0
1.560417187E0;5.768407822E0;6.736019611E0;3.711003065E0
1.572329687E0;6.651408195E0;7.134299755E0;3.810199738E0
1.584240625E0;7.101144791E0;6.964972019E0;4.020860672E0
1.596153125E0;7.043626308E0;6.764529705E0;4.551674366E0
1.608064062E0;6.787878036E0;6.877028465E0;4.448752403E0
1.619976562E0;6.272971153E0;6.620551586E0;3.358863831E0
1.631887500E0;5.652882576E0;6.403149128E0;2.245253563E0
1.643800000E0;5.239729404E0;6.853497982E0;1.461918712E0
1.655710937E0;4.990713596E0;7.397949219E0;1.119701028E0
1.667621875E0;5.647826195E0;7.552231312E0;8.749658465E-1
1.679534375E0;6.627236366E0;7.522007465E0;9.834518433E-1
1.691445312E0;7.107925415E0;7.178774357E0;2.267356873E0
1.703356250E0;7.062368393E0;6.688959122E0;3.502774715E0
1.715268750E0;6.785033703E0;6.209984303E0;4.400629044E0
1.727179687E0;6.857137203E0;5.842561245E0;4.919260979E0
1.739095312E0;6.426563740E0;5.643640995E0;4.587529659E0
1.751003125E0;5.875792503E0;5.713130474E0;3.865754604E0
1.762920312E0;5.688738346E0;6.080611229E0;3.070985079E0
1.774829687E0;5.983866692E0;6.659577370E0;2.727378845E0
1.786737500E0;6.156316280E0;7.045292854E0;2.768357992E0
1.798650000E0;6.160577774E0;7.036549091E0;3.049494743E0
1.810560937E0;6.027862072E0;6.716109276E0;3.228801250E0
1.822478125E0;5.682321548E0;6.262216091E0;3.311966419E0
1.834385937E0;5.416421890E0;5.695259571E0;3.552104712E0
1.846295312E0;5.608110905E0;5.898747921E0;3.474647522E0
1.858207812E0;6.209754944E0;6.386111736E0;3.043528318E0
