"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093427050E1;7.408660200E0;2.725553180E2;0.000000000E0;0.000000000E0;1.870700073E1;2.000000000E0
1.344879858E0;5.093427050E1;7.408660200E0;0.000000000E0;0.000000000E0;0.000000000E0;1.870700073E1;0.000000000E0
5.099397045E0;5.093505746E1;7.408296417E0;2.452826789E2;2.743506670E0;0.000000000E0;8.025656891E1;0.000000000E0
7.302791315E0;5.093435596E1;7.408670088E0;2.748785855E2;9.394242167E-1;0.000000000E0;4.029603577E1;0.000000000E0
2.010200000E1;5.093425240E1;7.408671600E0;2.725552778E2;0.000000000E0;0.000000000E0;1.947999954E1;2.000000000E0
4.012900000E1;5.093421210E1;7.408683300E0;2.725551966E2;0.000000000E0;0.000000000E0;1.941500092E1;2.000000000E0
4.022522933E1;5.093412297E1;7.408648308E0;2.399219435E2;2.072534323E0;0.000000000E0;7.473641205E1;0.000000000E0
4.123311579E1;5.093412317E1;7.408648337E0;2.470048529E2;0.000000000E0;2.032657013E2;1.900000000E1;0.000000000E0
4.222735485E1;5.093412317E1;7.408648337E0;2.434563604E2;0.000000000E0;8.805809021E0;2.000915146E1;0.000000000E0
4.324187569E1;5.093412317E1;7.408648337E0;2.501918646E2;0.000000000E0;1.344281769E2;1.900000000E1;0.000000000E0
4.422597777E1;5.093412317E1;7.408648337E0;2.501918646E2;0.000000000E0;8.983431244E1;4.900000095E0;0.000000000E0
4.522901058E1;5.093412317E1;7.408648337E0;2.554731451E2;0.000000000E0;8.621045685E1;1.397384338E2;0.000000000E0
4.625821943E1;5.093412317E1;7.408648337E0;2.616347662E2;0.000000000E0;1.234809113E2;1.426835327E2;0.000000000E0
4.722765016E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;1.246487198E2;1.437803345E2;0.000000000E0
4.822652621E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.162030792E1;4.900000095E0;0.000000000E0
4.925983923E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.166068268E1;4.900000095E0;0.000000000E0
5.022785068E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.166212463E1;4.900000095E0;0.000000000E0
5.123072777E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.165779114E1;4.900000095E0;0.000000000E0
5.226783298E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.164630127E1;4.900000095E0;0.000000000E0
5.322866683E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.163846588E1;4.900000095E0;0.000000000E0
5.423166527E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.163289642E1;4.900000095E0;0.000000000E0
5.522797100E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.162891388E1;4.900000095E0;0.000000000E0
5.623914183E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.162607574E1;4.900000095E0;0.000000000E0
5.722550329E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.162411499E1;4.900000095E0;0.000000000E0
5.823097777E1;5.093412317E1;7.408648337E0;2.675624395E2;0.000000000E0;9.162282562E1;4.900000095E0;0.000000000E0
5.923408402E1;5.093412317E1;7.408648337E0;2.669434210E2;0.000000000E0;1.722790833E2;1.259626694E2;0.000000000E0
6.023875277E1;5.093412317E1;7.408648337E0;2.644533087E2;0.000000000E0;1.722288971E2;1.264797897E2;0.000000000E0
6.123307777E1;5.093412317E1;7.408648337E0;2.662391973E2;0.000000000E0;1.721887512E2;1.261070557E2;0.000000000E0
6.223146631E1;5.093412317E1;7.408648337E0;2.662391973E2;0.000000000E0;9.392230988E1;4.900000095E0;0.000000000E0
6.322833193E1;5.093412317E1;7.408648337E0;2.680758062E2;0.000000000E0;1.871920929E2;1.224356461E2;0.000000000E0
6.423345172E1;5.093412317E1;7.408648337E0;2.672948309E2;0.000000000E0;1.871181335E2;1.212850647E2;0.000000000E0
6.523103610E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;1.870081635E2;1.205449753E2;0.000000000E0
6.627961214E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.441384125E1;4.900000095E0;0.000000000E0
6.723298922E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.448645782E1;4.900000095E0;0.000000000E0
6.824501631E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.452426147E1;4.900000095E0;0.000000000E0
6.923456891E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.453714752E1;4.900000095E0;0.000000000E0
7.024625537E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.451308441E1;4.900000095E0;0.000000000E0
7.123667047E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.449354553E1;4.900000095E0;0.000000000E0
7.224017360E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.447830200E1;4.900000095E0;0.000000000E0
7.322602151E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.446698761E1;4.900000095E0;0.000000000E0
7.424920641E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445916748E1;4.900000095E0;0.000000000E0
7.522677724E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445436859E1;4.900000095E0;0.000000000E0
7.622940589E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445210266E1;4.900000095E0;0.000000000E0
7.725254391E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445188904E1;4.900000095E0;0.000000000E0
7.822886735E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445331573E1;4.900000095E0;0.000000000E0
7.923666110E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445598602E1;4.900000095E0;0.000000000E0
8.023606110E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.445957947E1;4.900000095E0;0.000000000E0
8.123148974E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.446385193E1;4.900000095E0;0.000000000E0
8.222726891E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.446857452E1;4.900000095E0;0.000000000E0
8.323398714E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.447359467E1;4.900000095E0;0.000000000E0
8.423093349E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.447877502E1;4.900000095E0;0.000000000E0
8.523059391E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.448403168E1;4.900000095E0;0.000000000E0
8.623628349E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.448928833E1;4.900000095E0;0.000000000E0
8.723053349E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.449448395E1;4.900000095E0;0.000000000E0
8.823471318E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.449958801E1;4.900000095E0;0.000000000E0
8.924430589E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.450457001E1;4.900000095E0;0.000000000E0
9.023779286E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.450941467E1;4.900000095E0;0.000000000E0
9.123308662E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.451410675E1;4.900000095E0;0.000000000E0
9.224453818E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.451863098E1;4.900000095E0;0.000000000E0
9.323722307E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.452299500E1;4.900000095E0;0.000000000E0
9.422988557E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.452719879E1;4.900000095E0;0.000000000E0
9.522963766E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.453122711E1;4.900000095E0;0.000000000E0
9.622942516E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.453509521E1;4.900000095E0;0.000000000E0
9.723071318E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.453880310E1;4.900000095E0;0.000000000E0
9.822848193E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.454235077E1;4.900000095E0;0.000000000E0
9.923265745E1;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.454574585E1;4.900000095E0;0.000000000E0
1.002346554E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.454899597E1;4.900000095E0;0.000000000E0
1.012585022E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.455210114E1;4.900000095E0;0.000000000E0
1.022230278E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.455506897E1;4.900000095E0;0.000000000E0
1.032660861E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.455790710E1;4.900000095E0;0.000000000E0
1.042354548E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.456060791E1;4.900000095E0;0.000000000E0
1.052290080E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.456319427E1;4.900000095E0;0.000000000E0
1.062706621E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.456566620E1;4.900000095E0;0.000000000E0
1.072267668E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.456801605E1;4.900000095E0;0.000000000E0
1.082331715E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.457026672E1;4.900000095E0;0.000000000E0
1.092379798E2;5.093412317E1;7.408648337E0;2.624054571E2;0.000000000E0;9.457240295E1;4.900000095E0;0.000000000E0
