"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.131312000E-3;-7.771950960E-2;2.501929402E-1;2.555162087E-2
1.804381200E-2;3.832742944E-2;1.884431988E-1;2.661627159E-2
2.997350000E-2;1.203055456E-1;5.536184460E-2;2.448697016E-2
4.186725000E-2;1.171115935E-1;9.581857361E-3;2.129301662E-3
5.377818700E-2;6.813765317E-2;8.197811246E-2;-1.809906401E-2
6.568912500E-2;-7.452555932E-3;1.437278688E-1;-2.981022373E-2
7.760162500E-2;-7.665485889E-2;7.665485889E-2;-1.384046115E-2
8.951256200E-2;-1.043357849E-1;8.517206647E-3;-5.323254038E-3
1.014250620E-1;-1.373399645E-1;5.536184460E-2;2.981022373E-2
1.133360000E-1;-1.426632106E-1;1.522450745E-1;4.365068302E-2
1.252469370E-1;-1.586329788E-1;2.853264213E-1;2.129301615E-2
1.371594370E-1;-1.565036774E-1;3.609166443E-1;1.384046115E-2
1.490719370E-1;-1.596976221E-1;4.162784815E-1;7.452555932E-3
1.609828750E-1;-1.639562249E-1;4.311835766E-1;-6.387905218E-3
1.728938120E-1;-1.117883399E-1;3.971147537E-1;-1.809906401E-2
1.848047500E-1;-9.581857361E-3;2.831971347E-1;2.129301662E-3
1.967188120E-1;7.239625603E-2;2.044129670E-1;2.235766686E-2
2.086281870E-1;1.298874021E-1;1.266934574E-1;1.171115879E-2
2.205406870E-1;1.288227588E-1;3.087487444E-2;-2.235766686E-2
2.324578750E-1;8.091346174E-2;4.471533373E-2;-2.555162087E-2
2.443625620E-1;-1.916371472E-2;2.022836655E-1;-3.087487444E-2
2.562750620E-1;-1.341460049E-1;3.406882584E-1;-2.981022373E-2
2.681860000E-1;-1.884431988E-1;4.301189482E-1;-2.235766686E-2
2.800985000E-1;-1.852492392E-1;3.513347805E-1;-5.323254038E-3
2.920094370E-1;-1.501157731E-1;6.174974889E-2;2.129301615E-2
3.039203750E-1;-9.262461960E-2;-2.331585288E-1;3.513347730E-2
3.158360000E-1;-4.152138159E-2;-2.927789688E-1;-2.235766686E-2
3.277453750E-1;-4.258603230E-2;-1.703441292E-1;-1.054004356E-1
3.396625620E-1;-8.623671532E-2;2.981022373E-2;-9.581857920E-2
3.515672500E-1;-2.214473784E-1;2.831971347E-1;2.022836544E-2
3.634797500E-1;-5.301961303E-1;9.134704471E-1;1.927018017E-1
3.753906870E-1;-7.569667697E-1;1.464959502E0;2.331585288E-1
3.873016250E-1;-7.058635354E-1;1.608687401E0;1.309520602E-1
3.992172500E-1;-6.281439662E-1;1.635303736E0;-4.577998444E-2
4.111250620E-1;-4.844161272E-1;1.253094077E0;-2.108008713E-1
4.230375620E-1;-2.970375717E-1;7.324797511E-1;-3.417529166E-1
4.349485000E-1;-6.068509817E-2;2.938436270E-1;-3.364296556E-1
4.468610000E-1;1.234994978E-1;-1.373399645E-1;-3.343003690E-1
4.587719370E-1;3.332357109E-1;-4.812221825E-1;-2.672273517E-1
4.706875620E-1;4.460887015E-1;-5.834286809E-1;-1.203055456E-1
4.825953750E-1;4.673817158E-1;-5.323254466E-1;7.771950960E-2
4.945094370E-1;4.237310290E-1;-3.428175747E-1;2.650980651E-1
5.064297500E-1;3.321710527E-1;-2.033483088E-1;2.991668880E-1
5.183297500E-1;1.969604045E-1;-1.075297371E-1;2.033483088E-1
5.302406870E-1;1.863138974E-1;9.581857920E-2;1.320167035E-1
5.421531870E-1;2.587101460E-1;2.619041204E-1;1.309520602E-1
5.540656870E-1;2.416757345E-1;5.003859103E-2;1.394692659E-1
5.659766250E-1;1.990897059E-1;-2.991668880E-1;1.479864717E-1
5.779078750E-1;2.012190074E-1;-5.355193615E-1;1.139176413E-1
5.898000620E-1;2.682920098E-1;-5.919458866E-1;5.962044746E-2
6.017110000E-1;3.885975480E-1;-5.600063205E-1;2.129301615E-2
6.136219370E-1;4.631231129E-1;-4.492826462E-1;-9.581857361E-3
6.255344370E-1;4.780282378E-1;-1.405339092E-1;-5.962044746E-2
6.374453750E-1;4.216017425E-1;2.512575984E-1;-1.362753063E-1
6.493578750E-1;3.321710527E-1;4.013733566E-1;-1.032711342E-1
6.612688120E-1;2.384817898E-1;1.064650831E-3;6.494370103E-2
6.731844370E-1;2.065422684E-1;-9.794788063E-2;3.673045337E-1
6.850922500E-1;1.660855263E-1;-1.224348471E-1;5.451012254E-1
6.970031870E-1;7.665485889E-2;-3.119426966E-1;6.068509817E-1
7.089156870E-1;-2.555162087E-2;-5.546830893E-1;6.781826019E-1
7.208266250E-1;-1.341460049E-1;-9.273108840E-1;7.207686305E-1
7.327453750E-1;-1.809906363E-1;-1.276516318E0;6.441137791E-1
7.446500620E-1;-1.671501845E-1;-1.304197311E0;4.588645101E-1
7.565610000E-1;-1.224348471E-1;-1.168986678E0;3.481408358E-1
7.684735000E-1;-4.045673087E-2;-8.144578934E-1;3.087487519E-1
7.803844370E-1;2.874557301E-2;-3.034254909E-1;3.268478215E-1
7.922953750E-1;4.790928960E-2;4.045673087E-2;3.822096586E-1
8.042078750E-1;2.981022373E-2;1.820552945E-1;3.992440701E-1
8.161188120E-1;-7.452555932E-3;2.267706245E-1;3.917915225E-1
8.280297500E-1;-4.577998444E-2;2.491282970E-1;3.715631366E-1
8.399422500E-1;-5.855579674E-2;2.831971347E-1;3.374943137E-1
8.518547500E-1;-8.517206460E-2;2.768092155E-1;2.938436270E-1
8.637703750E-1;-1.011418328E-1;1.927018017E-1;2.565808594E-1
8.756781870E-1;-7.665485889E-2;1.384046078E-1;1.841845959E-1
8.875891250E-1;-8.517206647E-3;1.277581006E-1;2.182534188E-1
