"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.382343700E-2;2.138999999E-1;4.290999770E-1;-1.428000033E-1
4.367500000E-2;6.791999936E-1;3.281999826E-1;-4.652999938E-1
6.352812500E-2;5.478000045E-1;4.129999876E-2;-6.843000054E-1
8.338125000E-2;3.357999921E-1;1.014999971E-1;-2.770999968E-1
1.032343750E-1;6.989999861E-2;5.150000006E-2;-8.299999684E-2
1.230859370E-1;2.469999939E-1;2.793000042E-1;4.690000042E-2
1.429390620E-1;1.614999920E-1;2.245999873E-1;1.160999984E-1
1.627906250E-1;2.215999961E-1;8.020000160E-2;5.899999756E-3
1.826437500E-1;-1.049999986E-2;7.239999622E-2;2.294999957E-1
2.024968750E-1;1.349999942E-2;1.762999892E-1;-1.158999950E-1
2.223500000E-1;1.163999960E-1;2.340999991E-1;-3.849999979E-2
2.422015620E-1;2.128999978E-1;8.249999583E-2;-6.469999999E-2
2.620546870E-1;3.091999888E-1;1.653999984E-1;2.611999810E-1
2.819078120E-1;3.304999769E-1;3.049999848E-2;2.292999923E-1
3.017593750E-1;1.876000017E-1;-2.188999951E-1;5.779999867E-2
3.216125000E-1;2.949999869E-1;-1.423999965E-1;-1.655000001E-1
3.414656250E-1;4.062999785E-1;6.850000024E-1;6.379999965E-2
3.613187500E-1;7.378999591E-1;-5.048999786E-1;7.658999562E-1
3.811703120E-1;1.321099997E0;-1.116599917E0;8.411999941E-1
4.010234370E-1;-1.180000007E-1;-7.050999999E-1;-2.840999961E-1
4.208765620E-1;-5.658000112E-1;3.032000065E-1;-8.266999722E-1
4.407281250E-1;-7.392999530E-1;1.084900022E0;-9.856999516E-1
4.605812500E-1;-1.040799975E0;1.515499949E0;-5.983999968E-1
4.804343750E-1;-6.729999930E-2;8.537999988E-1;-6.039999798E-2
5.002859370E-1;1.081900001E0;6.819999963E-2;-1.058999971E-1
5.201421870E-1;3.379999995E-1;-1.805000007E-1;4.875999987E-1
5.399921870E-1;-1.168599963E0;-5.659999698E-2;1.092800021E0
5.598453120E-1;-1.111299992E0;5.083999634E-1;-5.259999633E-1
5.796968750E-1;-2.744999826E-1;4.002999961E-1;-3.379999846E-2
5.995500000E-1;2.612999976E-1;-5.110999942E-1;-3.839999810E-2
6.194031250E-1;2.118999958E-1;-6.938999891E-1;4.272999763E-1
6.392546870E-1;5.469999835E-2;2.055999935E-1;5.780000091E-1
6.591078120E-1;-1.510699987E0;5.160999894E-1;3.243999779E-1
6.789609370E-1;-3.527999818E-1;-3.307999969E-1;1.395999938E-1
6.988140620E-1;3.470000029E-1;-3.158999979E-1;-7.328999639E-1
7.186656250E-1;4.409999847E-1;3.001999855E-1;-6.633999944E-1
7.385187500E-1;1.399699926E0;1.122300029E0;2.276999950E-1
7.583703120E-1;4.240999818E-1;7.554000020E-1;5.383999944E-1
7.782234370E-1;-4.967999756E-1;5.374000072E-1;8.780999780E-1
7.980765620E-1;2.980999947E-1;4.504999816E-1;1.209999993E-1
8.179296870E-1;3.330999911E-1;4.960999787E-1;1.480000000E-2
8.377812500E-1;-7.209999859E-2;5.260999799E-1;7.119999826E-2
8.576343750E-1;8.419999480E-2;6.520999670E-1;-7.706999779E-1
8.774875000E-1;2.506999969E-1;5.892999768E-1;-4.025000036E-1
8.973390620E-1;4.600000009E-2;3.668999970E-1;-6.509999931E-2
9.171921870E-1;2.935699940E0;1.186299920E0;-1.967799902E0
9.370453120E-1;2.441699982E0;1.280200005E0;-4.041999876E-1
9.568984370E-1;2.145099878E0;7.234999537E-1;-1.071999967E-1
9.767500000E-1;1.878899932E0;8.199999928E-1;1.530999988E-1
9.966031250E-1;2.447299957E0;1.415300012E0;3.227999806E-1
1.016456250E0;2.027799845E0;1.303200006E0;3.299999982E-2
1.036307812E0;9.960999489E-1;9.396999478E-1;-4.614000022E-1
