"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;3.677407742E0;4.570463657E0;8.622957230E0
1.191093700E-2;3.628374338E0;4.637511253E0;8.566424370E0
2.382343700E-2;3.453722239E0;4.658216476E0;8.125709534E0
3.573593700E-2;3.434501410E0;4.733107090E0;7.333392143E0
4.764531200E-2;3.479206085E0;4.849196911E0;6.589628220E0
5.955781200E-2;3.625568390E0;4.958563805E0;6.300495148E0
7.146875000E-2;3.517455816E0;4.927898884E0;7.207140923E0
8.338125000E-2;3.577981234E0;4.842110157E0;8.920728683E0
9.529218700E-2;4.311133862E0;4.561969280E0;8.221228600E0
1.072031250E-1;3.846792459E0;4.631679058E0;8.834106445E0
1.191218750E-1;3.590795040E0;4.433477402E0;9.189205170E0
1.310265620E-1;3.620732069E0;4.262588978E0;9.156662941E0
1.429390620E-1;3.989602089E0;4.397583485E0;8.802875519E0
1.548593750E-1;4.123255730E0;4.611807346E0;8.424113274E0
1.667687500E-1;4.049811363E0;4.605984211E0;8.113404274E0
1.786765620E-1;4.039343834E0;4.479341030E0;7.819855690E0
1.905859370E-1;4.105433464E0;4.463596344E0;7.727525234E0
2.024968750E-1;3.944073677E0;4.428123951E0;7.804561138E0
2.144171870E-1;3.723644495E0;4.246767998E0;7.628980160E0
2.263187500E-1;3.655189514E0;4.099859715E0;7.609845638E0
2.382312500E-1;3.883605957E0;4.095454216E0;7.804877281E0
2.501421870E-1;4.160260677E0;4.084699631E0;7.957579613E0
2.620546870E-1;4.010527134E0;3.961886644E0;8.204593658E0
2.739656250E-1;3.839466333E0;3.808063984E0;8.473241806E0
2.858765620E-1;3.575835943E0;3.617275000E0;8.666923523E0
2.977890620E-1;3.316658974E0;3.545793533E0;8.473366737E0
3.097000000E-1;2.907958984E0;3.549193382E0;7.988598824E0
3.216125000E-1;2.617925644E0;3.634015083E0;7.428307533E0
3.335234370E-1;2.506710052E0;3.706118822E0;7.103155613E0
3.454343750E-1;2.487594843E0;3.830789804E0;6.910872459E0
3.573515620E-1;2.864442110E0;3.788680315E0;6.999965668E0
3.692593750E-1;3.356546402E0;3.830042839E0;7.147247791E0
3.811718750E-1;3.673184395E0;3.761712074E0;7.286513805E0
3.930937500E-1;3.720177650E0;3.464620590E0;7.547385693E0
4.049937500E-1;3.883375883E0;3.257483959E0;7.671520233E0
4.169046870E-1;4.038175583E0;3.215709686E0;7.550536633E0
4.288171870E-1;3.986029863E0;3.089276791E0;7.200504303E0
4.407281250E-1;3.931911469E0;2.942943096E0;6.609174728E0
4.526390620E-1;4.176953316E0;3.078569889E0;5.831538200E0
4.645609370E-1;4.667515278E0;3.491828442E0;5.010432243E0
4.764625000E-1;4.989602566E0;3.938404322E0;4.661558628E0
4.883750000E-1;4.945788383E0;3.809883595E0;5.015986919E0
5.002859370E-1;4.863878250E0;3.280209541E0;5.782715321E0
5.121984370E-1;4.992887020E0;2.946869612E0;6.719863415E0
5.241203120E-1;4.966771603E0;2.559583426E0;7.134242058E0
5.360218750E-1;5.356461525E0;2.312540293E0;7.143742085E0
5.479328120E-1;6.029356480E0;2.306545258E0;6.778913975E0
5.598437500E-1;6.354661465E0;2.555235624E0;6.177615166E0
5.717562500E-1;6.162608147E0;2.762544870E0;6.187584400E0
5.836671870E-1;6.080171108E0;2.652938128E0;6.620858192E0
5.955781250E-1;5.829986095E0;2.160479784E0;7.084366322E0
6.074906250E-1;5.505246639E0;1.562484741E0;7.531200886E0
6.194015620E-1;4.926204205E0;1.008409023E0;7.834144115E0
6.313140620E-1;4.166945457E0;5.647921562E-1;7.575618267E0
6.432250000E-1;3.881652117E0;7.871369123E-1;7.089221478E0
6.551375000E-1;4.147255421E0;1.481618166E0;6.599866390E0
6.670484370E-1;4.864740372E0;1.950297594E0;6.520340443E0
6.789593750E-1;5.635558128E0;1.798524261E0;6.804158211E0
6.908718750E-1;6.034412861E0;1.598733068E0;7.692742825E0
7.027828120E-1;6.213757992E0;1.127783895E0;8.250859261E0
7.146937500E-1;6.453264236E0;6.212857962E-1;8.247948647E0
7.266062500E-1;7.180211067E0;6.384091377E-1;8.218413353E0
7.385171870E-1;7.695299149E0;9.625744224E-1;8.172147751E0
7.504328120E-1;7.805279255E0;1.362655163E0;8.681318283E0
7.623406250E-1;7.386486053E0;1.348232388E0;9.133065224E0
7.742515620E-1;6.756312370E0;8.908345699E-1;9.331353188E0
7.861640620E-1;6.312504292E0;5.799522996E-1;9.331909180E0
7.980750000E-1;5.725982189E0;-7.929596119E-3;9.100255013E0
8.099906250E-1;5.320165157E0;-5.757288933E-1;8.416585922E0
8.218984370E-1;5.236895084E0;-5.087295771E-1;7.311182976E0
8.338125000E-1;5.701216698E0;-1.580556184E-1;6.273200989E0
8.457218750E-1;6.395621777E0;4.549078941E-1;5.665513992E0
8.576343750E-1;7.064408302E0;9.154278040E-1;6.075526237E0
8.695453120E-1;7.321066380E0;1.030675054E0;6.921924114E0
8.814562500E-1;7.140390396E0;5.505322814E-1;7.836011410E0
8.933687500E-1;6.239892960E0;-3.561997414E-1;8.294319153E0
9.052796870E-1;5.841775417E0;-1.292236805E0;8.374428749E0
9.171921870E-1;6.575991154E0;-1.625002146E0;8.541448593E0
9.291109370E-1;6.870688438E0;-1.766892076E0;8.698249817E0
9.410250000E-1;7.054477215E0;-1.521045923E0;7.936989307E0
9.529265620E-1;7.410016060E0;-1.338148117E0;6.568731785E0
9.648390620E-1;7.342489719E0;-1.328801155E0;5.650114536E0
9.767500000E-1;6.819931507E0;-1.638495803E0;5.023868084E0
9.886625000E-1;6.493534565E0;-1.550111532E0;5.110519409E0
1.000575000E0;7.079395771E0;-1.182611108E0;5.876989365E0
1.012484375E0;8.451637268E0;-7.906228900E-1;6.808065891E0
1.024396875E0;9.683454514E0;-7.574295998E-1;7.719931126E0
1.036307812E0;1.045258713E1;-5.069865584E-1;8.213146210E0
1.048220312E0;1.144479179E1;2.294028252E-1;8.808478355E0
1.060131250E0;1.171467590E1;6.821655035E-1;8.647138596E0
1.072042187E0;1.130215454E1;6.838223338E-1;7.698163033E0
1.083954687E0;1.120985317E1;6.823378801E-1;7.109840393E0
