"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093421270E1;7.408687500E0;2.725551951E2;0.000000000E0;0.000000000E0;1.903100014E1;5.100006104E0
2.085300000E1;5.093423880E1;7.408676800E0;2.725552496E2;0.000000000E0;0.000000000E0;1.941099930E1;5.100006104E0
2.103480054E1;5.093421270E1;7.408687500E0;0.000000000E0;0.000000000E0;0.000000000E0;1.903100014E1;0.000000000E0
3.126542085E1;5.093423880E1;7.408676800E0;0.000000000E0;0.000000000E0;0.000000000E0;1.941099930E1;0.000000000E0
4.125873179E1;5.093423280E1;7.408689100E0;0.000000000E0;0.000000000E0;0.000000000E0;1.927300072E1;0.000000000E0
5.150174637E1;5.093423280E1;7.408689100E0;0.000000000E0;0.000000000E0;0.000000000E0;1.927300072E1;0.000000000E0
5.588284220E1;5.093411904E1;7.408730358E0;2.633435810E2;2.948041201E0;0.000000000E0;1.900000000E1;0.000000000E0
5.689302137E1;5.093435087E1;7.409121320E0;2.710471598E2;0.000000000E0;0.000000000E0;1.900000000E1;0.000000000E0
5.788346824E1;5.093435087E1;7.409121320E0;2.648395487E2;0.000000000E0;7.595687866E1;1.352556152E2;0.000000000E0
5.888222814E1;5.093435087E1;7.409121320E0;2.639217630E2;0.000000000E0;1.219112854E2;1.424984589E2;0.000000000E0
5.988218856E1;5.093435087E1;7.409121320E0;2.598558145E2;0.000000000E0;6.682313538E1;1.383745575E2;0.000000000E0
6.089324272E1;5.093435087E1;7.409121320E0;2.517075602E2;0.000000000E0;4.270925522E1;1.296453552E2;0.000000000E0
6.189810314E1;5.093435087E1;7.409121320E0;2.460929056E2;0.000000000E0;4.005321503E1;1.345429993E2;0.000000000E0
6.289758022E1;5.093435087E1;7.409121320E0;2.433676859E2;0.000000000E0;3.379641724E1;1.434087067E2;0.000000000E0
6.388210366E1;5.093435087E1;7.409121320E0;2.379970194E2;0.000000000E0;2.809334946E1;1.534292450E2;0.000000000E0
6.488056512E1;5.093435087E1;7.409121320E0;2.317972513E2;0.000000000E0;2.259384918E1;1.588668976E2;0.000000000E0
6.588447397E1;5.093435087E1;7.409121320E0;2.278988443E2;0.000000000E0;1.777021027E1;1.688471375E2;0.000000000E0
6.688166824E1;5.093435087E1;7.409121320E0;2.261251017E2;0.000000000E0;1.551540375E1;1.715632019E2;0.000000000E0
6.787929116E1;5.093435087E1;7.409121320E0;2.234206949E2;0.000000000E0;1.458618164E1;1.784374695E2;0.000000000E0
6.889143751E1;5.093435087E1;7.409121320E0;2.184671427E2;0.000000000E0;1.403393555E1;1.800606079E2;0.000000000E0
6.987943699E1;5.093433003E1;7.408874074E0;2.152917173E2;5.644043684E-1;1.305333710E1;1.893026886E2;0.000000000E0
7.087874376E1;5.093433164E1;7.408861762E0;2.133072307E2;8.195046782E-1;3.184188232E2;1.909570465E2;0.000000000E0
7.188947397E1;5.093433357E1;7.408858145E0;2.138614967E2;1.066813350E0;3.189490356E2;1.960731964E2;0.000000000E0
7.288476355E1;5.093433523E1;7.408854602E0;2.116173613E2;1.284528732E0;3.192461243E2;2.000000000E2;0.000000000E0
7.389050939E1;5.093433635E1;7.408846628E0;2.040890326E2;1.415173769E0;3.171290894E2;2.000000000E2;0.000000000E0
7.489002605E1;5.093434001E1;7.408834115E0;2.175138363E2;1.509485245E0;8.977836609E1;1.976348877E2;0.000000000E0
7.589106928E1;5.093434418E1;7.408823917E0;2.199984388E2;1.518612027E0;1.358194885E2;1.690863037E2;0.000000000E0
7.688961720E1;5.093436234E1;7.408796377E0;2.216790309E2;1.572970152E0;1.933330994E2;4.900000095E0;0.000000000E0
7.789229168E1;5.093437815E1;7.408776159E0;2.232456311E2;1.619461536E0;2.533339233E2;1.506046448E2;0.000000000E0
7.887870418E1;5.093437947E1;7.408768370E0;2.353154320E2;1.581516385E0;3.212621155E2;1.505673828E2;0.000000000E0
7.991022293E1;5.093437441E1;7.408763016E0;2.364815331E2;1.556042075E0;3.275327759E2;1.527823486E2;0.000000000E0
8.088949532E1;5.093437559E1;7.408763305E0;2.205587751E2;1.554474950E0;2.436854401E2;1.267325058E2;0.000000000E0
8.192927918E1;5.093437511E1;7.408762092E0;1.868211040E2;1.315117359E0;2.447530060E2;1.041999283E2;0.000000000E0
8.288634012E1;5.093436849E1;7.408760214E0;1.862086968E2;1.025810599E0;1.441374207E2;9.622289276E1;0.000000000E0
8.388416303E1;5.093436074E1;7.408757864E0;1.861650591E2;9.849564433E-1;1.301621399E2;9.563494873E1;0.000000000E0
8.489172241E1;5.093433731E1;7.408747607E0;1.905677169E2;1.073368788E0;1.215801773E2;4.900000095E0;0.000000000E0
8.591819064E1;5.093430983E1;7.408736358E0;1.991958318E2;1.204148173E0;1.198172531E2;9.177293396E1;0.000000000E0
8.688683230E1;5.093427951E1;7.408724579E0;2.041123023E2;1.329412222E0;1.254515839E2;4.900000095E0;0.000000000E0
8.789114272E1;5.093425225E1;7.408709994E0;2.110770438E2;1.407903433E0;1.474472046E2;9.121306610E1;0.000000000E0
8.888303855E1;5.093423973E1;7.408708424E0;2.148034926E2;1.450325012E0;1.464639282E2;9.185251617E1;0.000000000E0
8.988824064E1;5.093423170E1;7.408709328E0;2.166922713E2;1.609456301E0;1.457305450E2;9.316690063E1;0.000000000E0
9.088227501E1;5.093423036E1;7.408713227E0;2.189156551E2;1.480431795E0;1.404425964E2;9.549123383E1;0.000000000E0
9.189292449E1;5.093423037E1;7.408717304E0;2.197311129E2;1.309231639E0;1.360500336E2;9.829688263E1;0.000000000E0
9.288716095E1;5.093422840E1;7.408715813E0;2.211435247E2;1.401404381E0;3.144614868E2;1.013958817E2;0.000000000E0
9.388297293E1;5.093422642E1;7.408713549E0;2.223056623E2;1.199000835E0;3.159642029E2;1.047710648E2;0.000000000E0
9.488967918E1;5.093422492E1;7.408711726E0;2.240355801E2;1.104002357E0;1.199050903E0;1.083329239E2;0.000000000E0
9.590185938E1;5.093422414E1;7.408709029E0;2.300964934E2;1.256356478E0;3.588847046E2;1.102500610E2;0.000000000E0
9.692574584E1;5.093422354E1;7.408702923E0;2.370839533E2;1.340579629E0;3.545234985E2;1.115694122E2;0.000000000E0
9.788017501E1;5.093422449E1;7.408696340E0;2.398924307E2;1.522403955E0;2.190576172E1;1.139582596E2;0.000000000E0
9.888387240E1;5.093422569E1;7.408686290E0;2.479914075E2;1.401127696E0;1.537336731E1;1.130678177E2;0.000000000E0
9.988049897E1;5.093422819E1;7.408674089E0;2.548080089E2;1.252082944E0;8.908428192E1;1.117493820E2;0.000000000E0
1.008818750E2;5.093423120E1;7.408662414E0;2.561328506E2;1.144335389E0;8.183835602E1;1.129359055E2;0.000000000E0
1.018935677E2;5.093422878E1;7.408656629E0;2.571883001E2;1.037807822E0;1.818881226E2;1.159735336E2;0.000000000E0
1.028852734E2;5.093422691E1;7.408650599E0;2.564990608E2;1.252814889E0;2.438759918E2;1.189095612E2;0.000000000E0
1.038871469E2;5.093422652E1;7.408644461E0;2.593738502E2;1.360260963E0;2.961376343E2;1.218122635E2;0.000000000E0
1.049177505E2;5.093422720E1;7.408640997E0;2.632151011E2;1.362422466E0;2.938750610E2;1.235134583E2;0.000000000E0
1.058871396E2;5.093422874E1;7.408640156E0;2.674402937E2;1.391233563E0;2.024669189E2;1.232902985E2;0.000000000E0
1.068798193E2;5.093422879E1;7.408642147E0;2.719370577E2;1.477280974E0;1.516262054E2;1.218444138E2;0.000000000E0
1.078865563E2;5.093422877E1;7.408645575E0;2.764883251E2;1.495310545E0;8.707431030E1;1.184856110E2;0.000000000E0
1.088821406E2;5.093422812E1;7.408649929E0;2.772000217E2;1.239610553E0;8.677799988E1;1.174114685E2;0.000000000E0
1.098914052E2;5.093422653E1;7.408655620E0;2.788537629E2;1.131050110E0;3.598335266E1;1.199519196E2;0.000000000E0
1.108986229E2;5.093422450E1;7.408664550E0;2.789041077E2;1.237414718E0;3.291283569E2;1.214333878E2;0.000000000E0
1.118821240E2;5.093422304E1;7.408676932E0;2.797948751E2;1.274215937E0;3.081571045E2;1.233809586E2;0.000000000E0
1.128873094E2;5.093422108E1;7.408686333E0;2.814130909E2;1.431729317E0;2.580126343E2;1.251904068E2;0.000000000E0
1.138810771E2;5.093421650E1;7.408693490E0;2.857979048E2;1.314613819E0;2.520522614E2;1.216481934E2;0.000000000E0
1.149098927E2;5.093421100E1;7.408700180E0;2.850071497E2;1.395241141E0;2.104503784E2;1.217604752E2;0.000000000E0
1.158908698E2;5.093420293E1;7.408707052E0;2.864426470E2;1.676337719E0;2.677947998E2;1.306082764E2;0.000000000E0
