"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.407193700E-2;-1.011418328E-1;4.482180178E-1;1.213701963E-1
2.598443700E-2;-1.266934574E-1;4.727049768E-1;1.479864717E-1
3.789693700E-2;-2.352878302E-1;5.238082409E-1;1.479864717E-1
4.980631200E-2;-3.630459309E-1;4.652524292E-1;1.256287992E-1
6.171881200E-2;-5.014505386E-1;2.991668880E-1;8.623671532E-2
7.362975000E-2;-5.695881844E-1;1.873785406E-1;5.110324174E-2
8.554225000E-2;-4.684463739E-1;2.565808594E-1;4.684463516E-2
9.745318700E-2;-3.971147537E-1;1.096590385E-1;-1.809906401E-2
1.093641250E-1;-4.205370843E-1;3.726277873E-2;-8.730136603E-2
1.212828750E-1;-3.726277947E-1;1.714087874E-1;-6.068509817E-2
1.331875620E-1;-2.831971347E-1;2.778738737E-1;-8.517206647E-3
1.451000620E-1;-1.522450745E-1;1.746027321E-1;6.387905218E-3
1.570203750E-1;-4.045673087E-2;-4.258603230E-2;-2.448697016E-2
1.689297500E-1;3.513347730E-2;-2.459343374E-1;-5.429719388E-2
1.808375620E-1;7.346090674E-2;-4.354421794E-1;-8.517206460E-2
1.927469370E-1;4.258603230E-2;-5.344547033E-1;-1.234994978E-1
2.046578750E-1;-2.874557301E-2;-4.535412490E-1;-1.394692659E-1
2.165781870E-1;-1.266934574E-1;-3.108780384E-1;-1.224348471E-1
2.284797500E-1;-2.853264213E-1;-1.330813617E-1;-7.026695460E-2
2.403922500E-1;-4.045673311E-1;1.064650831E-3;-2.981022373E-2
2.523031870E-1;-4.822868407E-1;4.897394031E-2;-4.045673087E-2
2.642156870E-1;-4.780282378E-1;-5.962044746E-2;-1.000771821E-1
2.761266250E-1;-4.237310290E-1;-1.948311031E-1;-1.330813617E-1
2.880375620E-1;-3.055547774E-1;-3.044901490E-1;-1.373399645E-1
2.999500620E-1;-1.969604045E-1;-3.343003690E-1;-1.213701963E-1
3.118610000E-1;-1.330813617E-1;-3.140719831E-1;-7.878416032E-2
3.237735000E-1;-1.309520602E-1;-2.981022298E-1;-1.703441329E-2
3.356844370E-1;-1.724734306E-1;-2.608394623E-1;5.003859103E-2
3.475953750E-1;-2.512575984E-1;-2.544515431E-1;1.309520602E-1
3.595125620E-1;-3.087487519E-1;-3.215245605E-1;2.288999259E-1
3.714203750E-1;-3.321710527E-1;-4.226663709E-1;2.927789688E-1
3.833328750E-1;-3.098133802E-1;-5.791700482E-1;2.906496823E-1
3.952547500E-1;-2.661627233E-1;-6.888290644E-1;3.108780384E-1
4.071547500E-1;-1.980250627E-1;-7.197039723E-1;3.673045337E-1
4.190656870E-1;-8.836601675E-2;-7.175746560E-1;4.269249737E-1
4.309781870E-1;1.384046115E-2;-7.090574503E-1;4.790928662E-1
4.428891250E-1;1.032711342E-1;-7.079927921E-1;5.749114752E-1
4.548000620E-1;1.362753063E-1;-7.431262732E-1;6.654067636E-1
4.667219370E-1;2.022836544E-2;-7.750658393E-1;7.165099978E-1
4.786235000E-1;-2.118655145E-1;-8.155225515E-1;7.079927921E-1
4.905360000E-1;-4.514119625E-1;-8.655611277E-1;6.803118587E-1
