"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.382343700E-2;5.319999903E-2;2.712000012E-1;2.499999851E-2
4.367500000E-2;7.710000128E-2;4.043000042E-1;-1.274599910E0
6.352812500E-2;3.194999993E-1;5.486999750E-1;-1.730199933E0
8.338125000E-2;2.451999933E-1;4.506999850E-1;7.962999940E-1
1.032328120E-1;6.829000115E-1;2.210000008E-1;4.876999855E-1
1.230859370E-1;2.064999938E-1;3.130000085E-2;1.073699951E0
1.429390620E-1;6.629999876E-1;1.744000018E-1;5.892999768E-1
1.627921870E-1;7.279999852E-1;4.421999753E-1;-1.019999944E-2
1.826437500E-1;6.514999866E-1;2.595999837E-1;-4.324999750E-1
2.024968750E-1;3.820999861E-1;2.093999982E-1;-3.260000050E-1
2.223500000E-1;-5.119999871E-2;-7.329999655E-2;-4.590999782E-1
2.422015620E-1;2.559999824E-1;-1.086999997E-1;-2.012999952E-1
2.620546870E-1;2.403999865E-1;-1.618999988E-1;1.198999956E-1
2.819078120E-1;-1.498000026E-1;-3.755999804E-1;5.527999997E-1
3.017593750E-1;-6.688999534E-1;-4.747999907E-1;2.134999931E-1
3.216125000E-1;-1.265799999E0;-3.208999932E-1;-6.830999851E-1
3.414640620E-1;-1.398000002E0;-1.501999944E-1;-1.191499949E0
3.613187500E-1;-8.884999752E-1;-1.254999936E-1;-1.115499973E0
3.811718750E-1;-2.881000042E-1;-7.109999657E-2;-8.443999887E-1
4.010234370E-1;-2.969999909E-1;-4.782999754E-1;-4.729999900E-1
4.208765620E-1;-1.524000019E-1;-4.984999895E-1;-5.849999785E-1
4.407281250E-1;-4.303999841E-1;-7.234999537E-1;-1.391099930E0
4.605812500E-1;-2.269999869E-2;-2.936999798E-1;-2.631099939E0
4.804328120E-1;2.972999811E-1;4.098999798E-1;-3.129699945E0
5.002859370E-1;-6.069999933E-2;-1.773999929E-1;-1.989799976E0
5.201390620E-1;-1.500999928E-1;-5.716999769E-1;-6.128000021E-1
5.399906250E-1;1.994999945E-1;-8.255999684E-1;-5.320000052E-1
5.598437500E-1;6.965999603E-1;-4.299999774E-1;-1.277899981E0
5.796968750E-1;2.342000008E-1;-1.001999974E-1;-9.199999571E-1
5.995484370E-1;-3.655999899E-1;-7.356999516E-1;-4.129999876E-2
6.194015620E-1;-1.288100004E0;-1.467299938E0;6.405000091E-1
6.392546870E-1;-2.446699858E0;-1.649299979E0;1.375000030E-1
6.591078120E-1;-2.196199894E0;-3.878999949E-1;-4.509999752E-1
6.789593750E-1;-1.189299941E0;-1.247999966E-1;1.119999960E-2
6.988125000E-1;-8.804000020E-1;-2.886999846E-1;1.489699960E0
7.186656250E-1;-5.270000100E-1;-7.677999735E-1;1.676699996E0
7.385171870E-1;4.244000018E-1;-6.229999661E-2;1.658999920E0
7.583703120E-1;2.742999792E-1;7.042999864E-1;2.498100042E0
7.782234370E-1;-6.895999908E-1;3.194999993E-1;2.750299931E0
7.980750000E-1;-1.544899940E0;-2.460999936E-1;2.505100012E0
8.179281250E-1;-2.175299883E0;-7.082999945E-1;1.172299981E0
8.377812500E-1;-1.521799922E0;8.619999886E-2;-5.591999888E-1
8.576343750E-1;-4.301999807E-1;1.172299981E0;-2.642999887E-1
8.774859370E-1;-2.960999906E-1;1.318899989E0;1.303599954E0
8.973390620E-1;-1.689000010E0;1.114000008E-1;2.300400019E0
9.171921870E-1;-1.194599986E0;-6.079999804E-1;2.615200043E0
9.370437500E-1;-9.948999882E-1;-4.448999763E-1;2.665999889E0
9.568968750E-1;-5.336999893E-1;1.964000016E-1;7.346999645E-1
9.767500000E-1;-1.256999969E0;1.549999975E-2;-3.086999953E-1
9.966031250E-1;-1.387199998E0;4.746999741E-1;4.986999929E-1
1.016454687E0;6.776999831E-1;1.299099922E0;2.329099894E0
1.036307812E0;2.049000025E0;1.729399920E0;3.641399860E0
1.056160937E0;3.255299807E0;2.916999817E0;4.510999680E0
1.076012500E0;2.728999853E0;3.067099810E0;2.974499941E0
1.095865625E0;2.716599941E0;2.855799913E0;2.905400038E0
1.115718750E0;2.636399984E0;2.428599834E0;2.522899866E0
1.135570312E0;2.327199936E0;2.116499901E0;1.094399929E0
1.155423437E0;8.590000123E-2;1.001999974E0;-6.029999852E-1
1.175276562E0;-1.495199919E0;3.093999922E-1;-2.057699919E0
1.195128125E0;-1.689199924E0;-2.777000070E-1;-2.304999828E0
1.214981250E0;3.587999940E-1;3.960999846E-1;-1.924099922E0
1.234834375E0;5.687099934E0;1.189999934E-2;-7.849299908E0
1.254687500E0;4.559599876E0;1.183599949E0;-2.515899897E0
1.274539062E0;1.832199931E0;-1.119199991E0;2.456000000E-1
1.294392187E0;-2.106799841E0;-1.112599969E0;-2.192100048E0
1.314245312E0;-3.075399876E0;-2.112299919E0;-1.567600012E0
1.334096875E0;3.328000009E-1;-3.381699800E0;1.037899971E0
1.353950000E0;2.082499981E0;-2.194000006E0;7.429999709E-1
1.373803125E0;-3.076999784E-1;-1.403599977E0;1.458899975E0
1.393656250E0;-2.321099997E0;-9.398999810E-1;1.148399949E0
1.413507812E0;-3.084999919E-1;7.645999789E-1;7.899000049E-1
1.433360937E0;8.008999825E-1;1.576099992E0;4.066999853E-1
1.453214062E0;2.341599941E0;4.026199818E0;3.799299955E0
1.473065625E0;3.950299978E0;5.714900017E0;2.574000061E-1
1.492918750E0;-8.769999743E-1;5.452899933E0;-2.285399914E0
1.512771875E0;-1.852399945E0;4.499899864E0;2.604999840E-1
1.532623437E0;-2.988999844E0;3.156399965E0;-4.329599857E0
1.552476562E0;1.137399912E0;2.444399834E0;1.106899977E0
1.572329687E0;2.291199923E0;-4.136999846E-1;5.515199661E0
1.592182812E0;1.337399960E0;-2.511899948E0;7.231599808E0
