"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;1.121223807E0;2.657343388E0;1.016011143E1
1.191093800E-2;1.036267996E0;2.788229704E0;9.431134224E0
2.382343800E-2;9.076993465E-1;3.051189661E0;8.652721405E0
3.573437500E-2;9.708583355E-1;3.442268372E0;8.194585800E0
4.764687500E-2;1.099513173E0;3.688727379E0;8.270703316E0
5.955937500E-2;1.277622700E0;3.556720734E0;9.132117271E0
7.147031300E-2;1.228570223E0;3.222835064E0;9.733214378E0
8.338125000E-2;1.176980019E0;3.000528574E0;9.990438461E0
9.529218800E-2;1.389527559E0;3.004991293E0;9.920661926E0
1.072046880E-1;1.418258071E0;3.227288008E0;9.835036278E0
1.191156250E-1;1.269041896E0;3.431254864E0;9.372754097E0
1.310265630E-1;1.258900046E0;3.358327627E0;9.311451912E0
1.429390630E-1;1.251257658E0;3.296221972E0;9.068948746E0
1.548500000E-1;9.460927844E-1;3.224663973E0;9.467084885E0
1.667625000E-1;6.955538988E-1;2.856550694E0;9.616751671E0
1.786734380E-1;6.126570702E-1;2.649586439E0;9.714464188E0
1.906093750E-1;1.049972415E0;2.730261564E0;1.009237385E1
2.024968750E-1;1.131672144E0;2.877437830E0;9.909811974E0
2.144078130E-1;1.260595083E0;3.080198050E0;9.388220787E0
2.263203130E-1;1.289440393E0;3.145760775E0;9.236255646E0
2.382312500E-1;9.711935520E-1;3.102416277E0;9.254787445E0
2.501421880E-1;9.295823574E-1;3.039975405E0;9.119447708E0
2.620531250E-1;1.009347558E0;3.006600142E0;9.214459419E0
2.739656250E-1;9.270540476E-1;2.840481043E0;9.268501282E0
2.858765630E-1;1.062412620E0;2.789312124E0;9.385260582E0
2.977906250E-1;1.481340408E0;2.812870741E0;9.695290565E0
3.097000000E-1;1.906474113E0;2.619869709E0;9.947381020E0
3.216125000E-1;1.702143312E0;2.345446348E0;9.963911057E0
3.335234380E-1;4.996124208E-1;1.886736274E0;9.948655128E0
3.454359380E-1;-2.381177247E-1;1.177449226E0;9.203253746E0
3.573500000E-1;4.418068230E-1;1.129593968E0;7.838109016E0
3.692671880E-1;1.259991646E0;1.676601887E0;7.423806667E0
3.811703130E-1;1.860342622E0;2.217519283E0;7.988120079E0
