"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093420050E1;7.408681800E0;2.725551762E2;0.000000000E0;0.000000000E0;1.950799942E1;2.000000000E0
7.644033850E-1;5.093420050E1;7.408681800E0;0.000000000E0;0.000000000E0;0.000000000E0;1.950799942E1;0.000000000E0
1.095718411E1;5.093420050E1;7.408681800E0;0.000000000E0;0.000000000E0;0.000000000E0;1.950799942E1;0.000000000E0
1.294582943E1;5.093456829E1;7.408881211E0;2.656153871E2;1.349733353E0;0.000000000E0;4.495168686E1;0.000000000E0
1.482013203E1;5.093437095E1;7.408590340E0;2.705803003E2;7.861282825E-1;0.000000000E0;1.900000000E1;0.000000000E0
1.578077318E1;5.093436607E1;7.408608229E0;2.764182762E2;1.069040775E0;5.600687027E1;1.645505219E2;0.000000000E0
1.679113828E1;5.093435401E1;7.408612395E0;2.771013380E2;0.000000000E0;5.600687027E1;1.563524475E2;0.000000000E0
1.778355338E1;5.093435401E1;7.408612395E0;2.778155104E2;0.000000000E0;5.600687027E1;1.554606018E2;0.000000000E0
1.878388828E1;5.093435401E1;7.408612395E0;2.773613783E2;0.000000000E0;2.002732391E2;1.490735168E2;0.000000000E0
1.978590703E1;5.093435401E1;7.408612395E0;2.751682936E2;0.000000000E0;1.988810730E2;1.524552765E2;0.000000000E0
2.080313359E1;5.093435401E1;7.408612395E0;2.717765394E2;0.000000000E0;1.979269714E2;1.553628540E2;0.000000000E0
2.179289765E1;5.093435401E1;7.408612395E0;2.660116468E2;0.000000000E0;2.009073181E2;1.573456421E2;0.000000000E0
2.278436432E1;5.093435401E1;7.408612395E0;2.658395582E2;0.000000000E0;2.016195984E2;1.613650970E2;0.000000000E0
2.378443411E1;5.093435401E1;7.408612395E0;2.667872206E2;0.000000000E0;1.979311218E2;1.607595978E2;0.000000000E0
2.478420182E1;5.093435401E1;7.408612395E0;2.743688246E2;0.000000000E0;2.047170563E2;1.639913177E2;0.000000000E0
2.578483776E1;5.093435401E1;7.408612395E0;2.701949049E2;0.000000000E0;2.081221619E2;1.513837128E2;0.000000000E0
2.678832109E1;5.093435401E1;7.408612395E0;2.661964918E2;0.000000000E0;1.864826965E2;1.568374329E2;0.000000000E0
2.778435494E1;5.093435401E1;7.408612395E0;2.654066358E2;0.000000000E0;1.831766815E2;1.642131195E2;0.000000000E0
2.877515494E1;5.093435401E1;7.408612395E0;2.649786573E2;0.000000000E0;1.540214691E2;1.704215393E2;0.000000000E0
2.978555390E1;5.093435401E1;7.408612395E0;2.625264784E2;0.000000000E0;3.972565460E1;1.758818970E2;0.000000000E0
3.078192005E1;5.093435401E1;7.408612395E0;2.580507399E2;0.000000000E0;1.278000641E1;1.816210785E2;0.000000000E0
3.178018567E1;5.093435401E1;7.408612395E0;2.589072767E2;0.000000000E0;1.781949615E1;1.833946838E2;0.000000000E0
3.278231484E1;5.093435401E1;7.408612395E0;2.636764723E2;0.000000000E0;2.403227997E1;1.754605713E2;0.000000000E0
3.377797838E1;5.093435401E1;7.408612395E0;2.622820936E2;0.000000000E0;2.551565552E1;1.759008026E2;0.000000000E0
3.477941744E1;5.093435401E1;7.408612395E0;2.497076307E2;0.000000000E0;1.621243286E1;1.491534882E2;0.000000000E0
3.578453411E1;5.093435401E1;7.408612395E0;2.420130812E2;0.000000000E0;4.203248596E1;1.381314850E2;0.000000000E0
3.679441015E1;5.093435401E1;7.408612395E0;2.397658583E2;0.000000000E0;2.640522461E2;1.345174255E2;0.000000000E0
3.782112213E1;5.093435401E1;7.408612395E0;2.428891493E2;0.000000000E0;2.617946777E2;1.287691803E2;0.000000000E0
3.878146484E1;5.093435401E1;7.408612395E0;2.431482740E2;0.000000000E0;2.701985168E2;4.900000095E0;0.000000000E0
3.980110390E1;5.093435401E1;7.408612395E0;2.270276991E2;0.000000000E0;2.085997772E1;1.176224899E2;0.000000000E0
4.080909557E1;5.093435401E1;7.408612395E0;2.244182325E2;0.000000000E0;2.027093201E2;1.152971115E2;0.000000000E0
4.177798723E1;5.093435401E1;7.408612395E0;2.203897901E2;0.000000000E0;1.981346130E2;1.121388550E2;0.000000000E0
4.277812005E1;5.093435401E1;7.408612395E0;2.211538282E2;0.000000000E0;1.911272888E2;4.900000095E0;0.000000000E0
4.378117213E1;5.093435401E1;7.408612395E0;2.222550550E2;0.000000000E0;1.704264679E2;4.900000095E0;0.000000000E0
4.478631484E1;5.093435401E1;7.408612395E0;2.244975477E2;0.000000000E0;1.709672394E2;4.900000095E0;0.000000000E0
4.580023775E1;5.093435401E1;7.408612395E0;2.281432691E2;0.000000000E0;1.714933472E2;4.900000095E0;0.000000000E0
4.678463567E1;5.093435401E1;7.408612395E0;2.314120375E2;0.000000000E0;1.721434021E2;4.900000095E0;0.000000000E0
4.777944557E1;5.093417892E1;7.408591272E0;2.346127476E2;9.138861299E-1;1.732142639E2;4.900000095E0;0.000000000E0
4.878245390E1;5.093416542E1;7.408589118E0;2.352963483E2;1.140692472E0;1.809382935E2;9.894432831E1;0.000000000E0
4.978191484E1;5.093416113E1;7.408588273E0;2.363388519E2;1.228137255E0;1.913173065E2;9.924034882E1;0.000000000E0
5.079047682E1;5.093415897E1;7.408588375E0;2.365123098E2;1.267555833E0;2.319650421E2;9.992245483E1;0.000000000E0
5.179510963E1;5.093415713E1;7.408588894E0;2.375550918E2;1.389700055E0;2.464135742E2;4.900000095E0;0.000000000E0
5.277772109E1;5.093415344E1;7.408590047E0;2.379379578E2;1.475306392E0;2.651901245E2;4.900000095E0;0.000000000E0
5.378706692E1;5.093414855E1;7.408592310E0;2.374227802E2;1.510850549E0;2.672693481E2;4.900000095E0;0.000000000E0
5.479183567E1;5.093414537E1;7.408596374E0;2.363668332E2;1.315762997E0;2.645971680E2;1.027389069E2;0.000000000E0
5.578350182E1;5.093414366E1;7.408603737E0;2.347615704E2;1.063028693E0;2.983213501E2;1.004938049E2;0.000000000E0
5.678597629E1;5.093414505E1;7.408610560E0;2.314825772E2;1.146992087E0;3.294654541E2;1.005448074E2;0.000000000E0
5.778381431E1;5.093414663E1;7.408617943E0;2.263220531E2;1.031584144E0;3.321954956E2;4.900000095E0;0.000000000E0
5.878118879E1;5.093414634E1;7.408627582E0;2.220728707E2;8.368564844E-1;3.275534363E2;1.003503723E2;0.000000000E0
5.978087734E1;5.093414197E1;7.408638817E0;2.198675031E2;8.892317414E-1;3.499067078E2;9.894631958E1;0.000000000E0
6.078720129E1;5.093413790E1;7.408648049E0;2.203390476E2;1.074394464E0;3.512409973E2;9.908219910E1;0.000000000E0
6.178735025E1;5.093413764E1;7.408653344E0;2.208648313E2;1.329109073E0;3.564631653E2;9.667938995E1;0.000000000E0
6.278855077E1;5.093413784E1;7.408658930E0;2.201869107E2;1.404230118E0;1.505355835E0;9.668824768E1;0.000000000E0
6.379306431E1;5.093413794E1;7.408665617E0;2.217123280E2;1.164964676E0;6.487335205E0;9.735434723E1;0.000000000E0
6.480634400E1;5.093413439E1;7.408675773E0;2.202740524E2;9.536902308E-1;4.328167343E1;4.900000095E0;0.000000000E0
6.578495181E1;5.093413173E1;7.408688353E0;2.228325726E2;1.063571811E0;7.876568604E1;4.900000095E0;0.000000000E0
