"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.407193800E-2;1.671501845E-1;2.342231758E-2;-6.494370103E-2
2.598443800E-2;1.522450745E-1;-4.045673087E-2;-5.962044746E-2
3.789537500E-2;6.174974889E-2;-1.203055456E-1;-4.577998444E-2
4.980787500E-2;-8.623671532E-2;-1.895078421E-1;-3.726277873E-2
6.172037500E-2;-1.394692659E-1;-2.108008713E-1;-5.855579674E-2
7.363131300E-2;-1.266934574E-1;-1.756673902E-1;-7.026695460E-2
8.554225000E-2;-5.749114603E-2;-1.224348471E-1;-4.365068302E-2
9.745318800E-2;-2.874557301E-2;4.258603323E-3;-4.258603230E-2
1.093656880E-1;-9.901253134E-2;2.438050359E-1;-5.855579674E-2
1.212766250E-1;-1.820552945E-1;4.311835766E-1;-4.790928960E-2
1.331875630E-1;-2.406110913E-1;4.684463739E-1;-6.707300246E-2
1.451000630E-1;-2.853264213E-1;4.471533597E-1;-9.901253134E-2
1.570110000E-1;-2.842617631E-1;3.257831633E-1;-1.266934574E-1
1.689235000E-1;-1.969604045E-1;2.416757345E-1;-9.688322991E-2
1.808344380E-1;-7.878416032E-2;5.110324174E-2;-3.726277873E-2
1.927703750E-1;1.916371472E-2;2.555162087E-2;1.809906401E-2
2.046578750E-1;1.064650808E-2;1.841845959E-1;4.790928960E-2
2.165688130E-1;-8.836601675E-2;3.236538470E-1;5.216789246E-2
2.284813130E-1;-2.171887755E-1;4.524766207E-1;7.026695460E-2
2.403922500E-1;-2.736152709E-1;4.599291682E-1;1.192408949E-1
2.523031880E-1;-2.650980651E-1;2.842617631E-1;1.767320335E-1
2.642141250E-1;-2.171887755E-1;7.133160532E-2;2.682920098E-1
2.761266250E-1;-1.852492392E-1;9.581857361E-3;3.832743168E-1
2.880375630E-1;-1.788613349E-1;8.091346174E-2;5.301961303E-1
2.999516250E-1;-1.660855263E-1;2.225120217E-1;6.068509817E-1
3.118610000E-1;-1.384046078E-1;3.885975480E-1;5.993984342E-1
3.237735000E-1;-1.234994978E-1;4.769635797E-1;6.771179438E-1
3.356844380E-1;-8.517206460E-2;4.407654405E-1;1.005030394E0
3.475969380E-1;-8.623671532E-2;4.152138233E-1;1.724734306E0
3.595110000E-1;-1.447925121E-1;3.917915225E-1;2.167629004E0
3.714281880E-1;-6.813765317E-2;1.447925121E-1;2.276223421E0
3.833313130E-1;1.022064835E-1;-2.640334070E-1;2.179340363E0
3.952422500E-1;1.841845959E-1;-5.983337760E-1;2.014319420E0
4.071547500E-1;1.075297371E-1;-8.911127448E-1;1.725798965E0
4.190766250E-1;-7.452555932E-3;-8.708843589E-1;1.487317204E0
4.309781880E-1;-1.980250627E-1;-6.526309848E-1;1.374464273E0
4.428891250E-1;-4.716403186E-1;-5.120970607E-1;1.276516318E0
4.548000630E-1;-7.250272036E-1;-3.949854672E-1;1.067844748E0
4.667125630E-1;-9.038885832E-1;-3.587873280E-1;7.037342191E-1
4.786235000E-1;-9.784141183E-1;-5.642649531E-1;4.599291682E-1
4.905360000E-1;-9.464746118E-1;-6.100449562E-1;3.523994386E-1
5.024531880E-1;-8.581085801E-1;-5.812993646E-1;4.109552205E-1
5.143594380E-1;-7.037342191E-1;-6.111095548E-1;5.514891148E-1
5.262703750E-1;-4.503473043E-1;-6.792472601E-1;6.473076940E-1
5.381813130E-1;-2.469989955E-1;-8.463973999E-1;6.281439662E-1
5.500938130E-1;-6.174974889E-2;-1.246706128E0;4.769635797E-1
5.620110000E-1;1.746027321E-1;-1.553325534E0;3.864682615E-1
5.739172500E-1;4.482180178E-1;-1.677889705E0;3.683691919E-1
5.858281880E-1;6.100449562E-1;-1.568230629E0;3.321710527E-1
5.977531880E-1;5.216789246E-1;-1.545873046E0;3.374943137E-1
6.096688130E-1;3.098133802E-1;-1.586329699E0;4.013733566E-1
6.215625630E-1;1.117883399E-1;-1.583135843E0;5.291314721E-1
6.334750630E-1;6.920230389E-2;-1.595911622E0;6.483723521E-1
6.453860000E-1;1.277581006E-1;-1.918500781E0;6.728593111E-1
6.572969380E-1;3.183306158E-1;-2.555161953E0;6.611481905E-1
6.692094380E-1;6.387904882E-1;-3.130073547E0;7.878416181E-1
6.811203750E-1;1.129594564E0;-3.686885834E0;9.911899567E-1
6.930344380E-1;1.575683236E0;-3.860424042E0;1.231801033E0
7.049438130E-1;1.776902199E0;-4.075483322E0;1.575683236E0
7.168735000E-1;1.523515344E0;-4.866518974E0;2.061164141E0
7.287672500E-1;1.225413084E0;-5.585158348E0;2.042000294E0
7.406781880E-1;9.965131879E-1;-5.439301014E0;1.557584167E0
7.525891250E-1;7.952941656E-1;-4.313965321E0;1.134917736E0
7.645016250E-1;9.070824981E-1;-2.820260048E0;1.305261970E0
7.764235000E-1;1.064650893E0;-1.896143198E0;1.795001268E0
7.883250630E-1;1.163663387E0;-9.422159791E-1;2.137818813E0
8.002360000E-1;1.192408919E0;-5.482951999E-1;2.182534218E0
8.121485000E-1;1.173245192E0;-4.194724262E-1;1.973862648E0
8.240610000E-1;1.182827115E0;-5.110324025E-1;1.713023186E0
8.359797500E-1;1.240318179E0;-7.782597542E-1;1.519256711E0
8.479000630E-1;1.258417249E0;-9.581857324E-1;1.437278628E0
8.597938130E-1;1.232865691E0;-1.024194121E0;1.389369369E0
8.717063130E-1;1.159404755E0;-9.656383395E-1;1.341460109E0
8.836188130E-1;1.074232697E0;-7.154453397E-1;1.384046078E0
8.955360000E-1;1.055068970E0;-2.831971347E-1;1.404274464E0
9.074656880E-1;1.060392261E0;4.258603454E-1;1.309520483E0
9.193516250E-1;1.034840584E0;1.062521577E0;1.207314014E0
9.312641250E-1;1.012483001E0;1.386175394E0;1.101913571E0
9.431766250E-1;1.072103381E0;1.168986678E0;8.857895136E-1
9.550875630E-1;1.198796868E0;4.854807854E-1;6.047216654E-1
9.670188130E-1;1.294615388E0;-1.873785406E-1;4.886747301E-1
9.789110000E-1;1.377658129E0;-7.143807411E-1;6.505016685E-1
9.908219380E-1;1.394692659E0;-8.719490170E-1;8.251044154E-1
