"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.779375000E-2;-1.140999943E-1;1.658999920E-1;-8.226000071E-1
4.764687500E-2;7.279999554E-2;6.532999873E-1;-1.016000032E0
6.749843800E-2;2.044999897E-1;3.228999972E-1;2.821999788E-1
8.735156300E-2;1.491999924E-1;-1.494999975E-1;7.391999960E-1
1.072046880E-1;2.707999945E-1;6.799999624E-2;5.992999673E-1
1.270562500E-1;1.961999983E-1;2.412000000E-1;1.079999954E-1
1.469093750E-1;1.469999999E-1;1.428999901E-1;-1.307999939E-1
1.667625000E-1;-2.953999937E-1;-2.247999907E-1;3.515000045E-1
1.866140630E-1;-8.289999515E-2;-3.269999921E-1;7.536000013E-1
2.064671880E-1;2.233999968E-1;-8.659999818E-2;3.814999759E-1
2.263203130E-1;3.969999850E-1;1.622999907E-1;-7.479999959E-2
2.461718750E-1;9.699999541E-2;1.076999977E-1;-2.248999923E-1
2.660250000E-1;1.970999986E-1;9.139999747E-2;-1.056999937E-1
2.858765630E-1;2.229999900E-1;-4.219999909E-2;2.129999921E-2
3.057296880E-1;8.797000051E-1;-8.479999751E-2;5.103999972E-1
3.255828130E-1;4.736999869E-1;-5.568000078E-1;6.134999990E-1
3.454359380E-1;-1.054000020E0;-1.497900009E0;-2.122999877E-1
3.652875000E-1;1.507999897E-1;-1.123399973E0;-2.028100014E0
3.851406250E-1;1.120000005E0;-1.395999938E-1;-1.211499929E0
4.049937500E-1;2.480799913E0;7.861999869E-1;-5.977999568E-1
4.248453130E-1;1.929600000E0;5.498999953E-1;-1.082399964E0
4.446984380E-1;1.416399956E0;6.348999739E-1;-2.056900024E0
4.645515630E-1;1.660899997E0;5.536999702E-1;-1.590699911E0
4.844046880E-1;3.370999992E-1;-7.246999741E-1;-6.606000066E-1
5.042562500E-1;-2.700999975E-1;-1.543599963E0;3.920999765E-1
5.241093750E-1;1.261000037E-1;-1.315500021E0;8.389999866E-1
5.439609380E-1;1.384499907E0;-1.156000018E0;2.052000016E-1
5.638140630E-1;1.291800022E0;-1.441200018E0;1.394099951E0
5.836671880E-1;1.542400002E0;-1.307199955E0;6.886999607E-1
6.035203130E-1;1.144500017E0;-1.566100001E0;-1.475499988E0
6.233718750E-1;9.717999697E-1;-1.954899907E0;-1.089100003E0
6.432250000E-1;1.582199931E0;-1.240000010E0;-2.068399906E0
6.630781250E-1;7.497999668E-1;-2.062399864E0;-1.344699979E0
6.829296880E-1;1.062999964E-1;-2.372699976E0;1.208599925E0
7.027828130E-1;-4.618999958E-1;-2.865700006E0;-8.623999953E-1
7.226359380E-1;-5.440999866E-1;-8.780999780E-1;-4.459599972E0
7.424890630E-1;-8.173999786E-1;1.807699919E0;-1.414199948E0
7.623406250E-1;-3.384500027E0;3.027799845E0;2.714599848E0
7.821937500E-1;-2.101099968E0;3.046499968E0;5.713599682E0
8.020468750E-1;3.472999930E-1;2.905999899E0;5.715499878E0
8.219000000E-1;-1.708000004E-1;3.243299961E0;4.009500027E0
8.417515630E-1;-1.082800031E0;4.065199852E0;2.980899811E0
8.616046880E-1;-8.269999623E-1;4.653599739E0;2.564399958E0
8.814578130E-1;2.536000013E-1;3.898399830E0;3.471599817E0
9.013093750E-1;1.474200010E0;3.453999996E0;4.103699684E0
9.211625000E-1;1.271199942E0;2.252199888E0;3.186699867E0
9.410156250E-1;1.293399930E0;2.102200031E0;4.165000021E-1
9.608671880E-1;-1.137699962E0;9.596999884E-1;-1.443199992E0
9.807203130E-1;-2.885999918E0;2.321999967E-1;-1.705500007E0
1.000573438E0;-1.075299978E0;9.305999875E-1;-5.292999744E-1
1.020425000E0;1.829999983E-1;5.862999558E-1;9.177999496E-1
1.040278125E0;1.108199954E0;6.581000090E-1;1.289399981E0
1.060131250E0;9.402999878E-1;7.059999704E-1;3.865000010E-1
1.079984375E0;-9.705999494E-1;7.759999484E-2;-3.719999790E-1
1.099835938E0;-1.724699974E0;1.620000042E-2;-7.684999704E-1
1.119689063E0;-6.245999932E-1;9.753999710E-1;-7.135999799E-1
1.139542188E0;1.517399907E0;1.299000025E0;-9.684000015E-1
1.159393750E0;1.395299911E0;1.812999964E0;-7.885999680E-1
1.179246875E0;-7.601999640E-1;1.351899981E0;-1.488499999E0
1.199100000E0;-1.076099992E0;2.122400045E0;-1.783599973E0
1.218951563E0;2.024699926E0;3.347699881E0;-6.175000072E-1
1.238804688E0;4.992399693E0;4.162699699E0;6.945999861E-1
1.258657813E0;5.217599869E0;4.071399689E0;-2.202999890E-1
1.278510938E0;2.147899866E0;3.461599827E0;-2.513000011E0
1.298362500E0;2.253499985E0;4.425499916E0;-2.949100018E0
1.318215625E0;2.654199839E0;3.943599939E0;-2.464999914E0
1.338068750E0;2.263399839E0;2.281499863E0;-8.898999691E-1
1.357920313E0;2.862999916E0;1.114099979E0;-8.766999841E-1
1.377773438E0;-4.607999802E0;-2.500599861E0;2.847100019E0
1.397625000E0;-5.256799698E0;-2.927700043E0;2.139799833E0
1.417478125E0;-3.949100018E0;-1.047099948E0;2.598999977E0
1.437329688E0;-4.602799892E0;-1.874399900E0;2.045899868E0
1.457182813E0;7.092999816E-1;2.550799847E0;-2.549899817E0
1.477035938E0;-1.952299953E0;3.655200005E0;-1.318899989E0
1.496889063E0;-2.454399824E0;-8.716999888E-1;-2.852499962E0
1.516742188E0;-2.177500010E0;-4.488500118E0;-3.843899965E0
1.536593750E0;1.023999974E-1;-3.584199905E0;-3.550499916E0
1.556446875E0;4.394499779E0;1.217399955E0;-2.306200027E0
1.576300000E0;1.640999913E0;1.269899964E0;1.308300018E0
1.596151563E0;-1.588999927E-1;-2.766499996E0;3.500499964E0
1.616004688E0;-1.501500010E0;-4.379099846E0;2.676199913E0
1.635856250E0;9.598999619E-1;3.357000053E-1;3.930399895E0
1.655709375E0;1.336099982E0;1.173200011E0;-7.199999690E-1
1.675562500E0;-7.250999808E-1;1.169499993E0;-2.734400034E0
1.695415625E0;-2.179999948E-1;1.466799974E0;-2.134999990E0
1.715267188E0;-2.094199896E0;-1.174399972E0;-1.203999966E-1
1.735120313E0;-3.922599792E0;-1.477399945E0;4.993999898E-1
1.754973438E0;-2.883699894E0;4.176999927E-1;2.060999870E0
1.774825000E0;4.354999959E-1;1.104300022E0;1.717999935E0
1.794678125E0;2.839399815E0;8.669999838E-1;-2.759899855E0
1.814531250E0;1.733099937E0;5.497999787E-1;-1.270999908E0
1.834384375E0;3.027999997E-1;6.220999956E-1;4.685199738E0
1.854235938E0;9.977999926E-1;9.282999635E-1;2.699800014E0
1.874089063E0;4.735799789E0;1.114999950E-1;8.000999689E-1
1.893942188E0;6.142199993E0;-7.637000084E-1;-2.702100039E0
1.913793750E0;-9.016000032E-1;-1.399299979E0;-2.580899954E0
1.933646875E0;-2.664499998E0;-2.268100023E0;-2.141399860E0
1.953500000E0;-2.326499939E0;-3.582599878E0;5.565999746E-1
1.973351563E0;-1.882799983E0;-3.690199852E0;3.059199810E0
1.993204688E0;4.212999940E-1;-2.707299948E0;3.111399889E0
2.013057813E0;1.578999907E-1;-9.447999597E-1;2.540699959E0
2.032910938E0;-3.113699913E0;6.303799629E0;-5.259500027E0
2.052762500E0;6.277999878E-1;3.790199995E0;1.907599926E0
2.072615625E0;3.487900019E0;-1.662699938E0;4.490000010E-1
2.092468750E0;6.103999615E-1;-3.341999948E-1;5.555599689E0
2.112320313E0;-1.292099953E0;-1.977099895E0;4.044999778E-1
2.132173438E0;2.277400017E0;-4.281999767E-1;-7.633999586E-1
2.152026563E0;8.240300179E0;3.046099901E0;2.406999916E-1
2.171879688E0;4.726200104E0;8.485999703E-1;1.327899933E0
2.191731250E0;1.464399934E0;-1.825199962E0;5.363999605E-1
2.211584375E0;2.053499937E0;-1.179299951E0;-1.461199999E0
