"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;1.978376746E0;6.355140209E0;7.717948914E0
1.190781200E-2;1.517751455E0;6.165509701E0;7.925794125E0
2.381718700E-2;1.321560979E0;6.162071705E0;7.705958366E0
3.572968700E-2;1.402216911E0;6.317072392E0;7.435471058E0
4.764687500E-2;1.614036798E0;6.369400024E0;6.940101147E0
5.955312500E-2;1.863349676E0;6.515647411E0;6.540786743E0
7.146406200E-2;1.877236128E0;6.548764229E0;6.680875778E0
8.337656200E-2;1.830530047E0;6.313653469E0;7.237767696E0
9.528750000E-2;1.865925908E0;6.235037804E0;7.616415501E0
1.072000000E-1;2.012058258E0;6.349614143E0;7.721721649E0
1.191109370E-1;2.146315575E0;6.270883083E0;7.533211708E0
1.310218750E-1;2.045749664E0;6.337241173E0;7.339348793E0
1.429343750E-1;2.165737391E0;6.265482426E0;7.280479908E0
1.548453120E-1;2.118686438E0;6.162110329E0;7.398495197E0
1.667578120E-1;1.935788751E0;5.990838528E0;7.254536629E0
1.786687500E-1;1.937416792E0;6.054830551E0;7.162177563E0
1.905796870E-1;2.170181036E0;5.954600334E0;7.454078674E0
2.024921870E-1;2.265211582E0;5.971637249E0;7.890168667E0
2.144078120E-1;2.134488344E0;6.059552193E0;7.598123550E0
2.263156250E-1;2.096678972E0;6.021733284E0;7.335958481E0
2.382265620E-1;2.179508686E0;6.079414368E0;6.811762333E0
2.501375000E-1;3.064156771E0;6.328047276E0;6.774001122E0
2.620500000E-1;3.423296690E0;6.290439606E0;7.694504261E0
2.739609370E-1;3.295130014E0;6.361748219E0;8.148042679E0
2.858734370E-1;2.852787018E0;6.333343029E0;7.853594780E0
2.977906250E-1;2.544461966E0;6.022671700E0;7.333468914E0
3.096953120E-1;2.520424128E0;5.916580200E0;7.005932331E0
3.216078120E-1;2.692710638E0;6.122069359E0;6.991155148E0
3.335187500E-1;2.576467514E0;6.072327614E0;7.047869205E0
3.454328120E-1;2.386588097E0;5.807375431E0;7.277328968E0
3.573421870E-1;2.428084373E0;5.835100651E0;7.488564968E0
3.692531250E-1;2.841754675E0;5.922747612E0;7.499089718E0
3.811656250E-1;3.293080807E0;6.012759686E0;7.746066093E0
3.930765620E-1;3.373095036E0;5.939573765E0;8.045322418E0
4.049890620E-1;3.424196720E0;5.840473175E0;8.374372482E0
4.169000000E-1;3.406441450E0;5.690098286E0;8.362334251E0
4.288171870E-1;3.292496681E0;5.414467812E0;8.504242897E0
4.407234370E-1;3.197034836E0;5.080726147E0;8.245037079E0
4.526343750E-1;2.748112440E0;5.060193539E0;7.343581676E0
4.645453120E-1;2.051495552E0;4.788058758E0;6.329675198E0
4.764578120E-1;1.691398144E0;4.645019531E0;5.765802860E0
4.883687500E-1;1.589405179E0;4.761970997E0;6.062779427E0
5.002812500E-1;1.869584203E0;4.980111599E0;6.254354000E0
5.121937500E-1;2.288071632E0;4.860717773E0;6.306212425E0
5.241046870E-1;2.045826197E0;4.485853195E0;6.996135235E0
5.360156250E-1;2.338905334E0;4.993452549E0;8.227454185E0
5.479281250E-1;2.813445568E0;4.931059361E0;9.143925667E0
5.598390620E-1;3.169817686E0;5.104351997E0;9.314613342E0
5.717515620E-1;3.463586092E0;5.541303158E0;8.710268974E0
5.836625000E-1;3.556462049E0;5.776318073E0;8.369449615E0
5.955890620E-1;3.346529007E0;5.698975563E0;8.099843025E0
6.074859370E-1;3.188588142E0;5.477014065E0;7.708908081E0
6.193984370E-1;2.614267111E0;4.849120140E0;7.399874210E0
6.313093750E-1;2.120343208E0;4.259371281E0;7.330279350E0
6.432203120E-1;1.756175637E0;3.876834869E0;7.147036552E0
6.551312500E-1;1.505292058E0;3.821576834E0;7.247468948E0
6.670437500E-1;1.882809758E0;4.255051613E0;7.442050457E0
6.789562500E-1;2.709767103E0;5.105567932E0;7.205627918E0
6.908734370E-1;3.919767857E0;5.731632710E0;6.486543655E0
7.027781250E-1;4.787541389E0;5.224081039E0;6.641783714E0
7.146906250E-1;4.469601154E0;4.423517704E0;7.600948811E0
7.266015620E-1;3.665560961E0;3.594041586E0;8.494033813E0
7.385140620E-1;3.067556620E0;3.200894594E0;8.822010994E0
7.504250000E-1;2.793487549E0;3.144630671E0;8.679402351E0
7.623375000E-1;2.541770697E0;3.298817396E0;7.848145485E0
7.742484370E-1;2.128512383E0;3.719813824E0;6.924673080E0
7.861593750E-1;1.990347743E0;3.924881935E0;6.046096802E0
7.980703120E-1;1.889168859E0;4.078695297E0;5.420826912E0
8.099875000E-1;2.345944166E0;4.164819241E0;5.296520233E0
8.218937500E-1;2.927285194E0;3.921156406E0;6.241454124E0
8.338093750E-1;2.864738941E0;3.716672659E0;7.121016502E0
8.457171870E-1;2.821030617E0;3.535594225E0;7.547749519E0
8.576296870E-1;2.979660749E0;3.622915506E0;7.292661667E0
8.695406250E-1;3.340964794E0;4.222605705E0;6.712058067E0
8.814515620E-1;3.603446007E0;4.527894974E0;6.181005478E0
8.933640620E-1;3.861895323E0;3.992781401E0;6.385948658E0
9.052750000E-1;4.595105171E0;3.498263836E0;7.059658051E0
9.171859370E-1;4.793163300E0;3.296040058E0;7.848384857E0
9.291156250E-1;5.007348061E0;3.053334951E0;8.780381203E0
9.410125000E-1;5.590776920E0;2.610216141E0;8.848720551E0
9.529203120E-1;5.936643600E0;2.581227064E0;8.046815872E0
9.648328120E-1;5.956352711E0;3.234595299E0;7.173727512E0
9.767453120E-1;6.005251408E0;3.981863737E0;6.841641903E0
9.886765620E-1;6.609193802E0;4.150138378E0;7.033695221E0
