"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093420690E1;7.408681200E0;2.725551883E2;0.000000000E0;0.000000000E0;1.925099945E1;2.000000000E0
1.356202874E0;5.093420690E1;7.408681200E0;0.000000000E0;0.000000000E0;0.000000000E0;1.925099945E1;0.000000000E0
1.156509194E1;5.093420700E1;7.408680900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.936499977E1;0.000000000E0
2.158953516E1;5.093420700E1;7.408680900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.936499977E1;0.000000000E0
3.156997839E1;5.093431570E1;7.408626300E0;0.000000000E0;0.000000000E0;0.000000000E0;1.903400040E1;0.000000000E0
4.157312943E1;5.093431570E1;7.408626300E0;0.000000000E0;0.000000000E0;0.000000000E0;1.903400040E1;0.000000000E0
5.154988932E1;5.093431570E1;7.408626300E0;0.000000000E0;0.000000000E0;0.000000000E0;1.903400040E1;0.000000000E0
6.159400078E1;5.093429040E1;7.408641900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.863199997E1;0.000000000E0
7.155715026E1;5.093429040E1;7.408641900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.863199997E1;0.000000000E0
8.153504192E1;5.093423538E1;7.409006861E0;2.424176167E2;1.384192467E1;0.000000000E0;9.601008606E1;0.000000000E0
8.353387630E1;5.093458813E1;7.408520931E0;2.767586234E2;0.000000000E0;0.000000000E0;1.900000000E1;0.000000000E0
8.482658203E1;5.093458813E1;7.408520931E0;0.000000000E0;0.000000000E0;0.000000000E0;5.666354492E3;0.000000000E0
8.581009349E1;5.093458813E1;7.408520931E0;0.000000000E0;0.000000000E0;0.000000000E0;5.666354492E3;0.000000000E0
8.680670234E1;5.093458813E1;7.408520931E0;0.000000000E0;1.982626200E0;0.000000000E0;5.666354492E3;0.000000000E0
8.779547265E1;5.093458813E1;7.408520931E0;0.000000000E0;1.830638409E0;3.121186218E2;5.666354492E3;0.000000000E0
8.879835026E1;5.093458813E1;7.408520931E0;0.000000000E0;1.702869534E0;3.121186218E2;5.666354492E3;0.000000000E0
8.981909401E1;5.093458813E1;7.408520931E0;0.000000000E0;1.395570278E0;3.121186218E2;5.666354492E3;0.000000000E0
9.080627786E1;5.093458813E1;7.408520931E0;0.000000000E0;1.179941893E0;2.662864380E2;5.666354492E3;0.000000000E0
9.179748359E1;5.093458813E1;7.408520931E0;0.000000000E0;1.221312523E0;1.600010071E2;5.666354492E3;0.000000000E0
9.279536588E1;5.093458813E1;7.408520931E0;0.000000000E0;1.261830568E0;1.425250397E2;5.666354492E3;0.000000000E0
9.378814661E1;5.093458813E1;7.408520931E0;0.000000000E0;1.297421336E0;1.684092102E2;5.666354492E3;0.000000000E0
9.480078984E1;5.093458813E1;7.408520931E0;0.000000000E0;1.313645840E0;2.198175507E2;5.666354492E3;0.000000000E0
9.581720703E1;5.093458813E1;7.408520931E0;0.000000000E0;1.125464439E0;2.198175507E2;5.666354492E3;0.000000000E0
9.680785650E1;5.093458813E1;7.408520931E0;0.000000000E0;9.952712655E-1;2.664904175E2;5.666354492E3;0.000000000E0
9.779128463E1;5.093458813E1;7.408520931E0;0.000000000E0;1.106633544E0;3.158378906E2;5.666354492E3;0.000000000E0
9.880199765E1;5.093458813E1;7.408520931E0;0.000000000E0;1.178131342E0;3.373714600E2;5.666354492E3;0.000000000E0
9.980149869E1;5.093458813E1;7.408520931E0;0.000000000E0;1.214078307E0;4.484199524E0;5.666354492E3;0.000000000E0
1.007722700E2;5.093456757E1;7.408563875E0;2.764580529E2;1.031877398E0;1.277725372E2;2.293673515E1;0.000000000E0
1.017756956E2;5.093450521E1;7.408621216E0;2.769869256E2;9.239751101E-1;2.140404816E2;1.900000000E1;0.000000000E0
1.027865633E2;5.093447932E1;7.408637986E0;2.853313198E2;1.072923422E0;2.615397339E2;2.144305038E1;0.000000000E0
1.037652617E2;5.093380299E1;7.408853600E0;2.782063467E2;8.417135239E0;0.000000000E0;1.900000000E1;0.000000000E0
1.047736602E2;5.093393029E1;7.408887953E0;2.827252085E2;0.000000000E0;3.514709473E0;1.225335083E2;0.000000000E0
1.057738180E2;5.093416416E1;7.408770346E0;2.876942644E2;1.594513702E1;3.507672424E2;1.521378326E2;0.000000000E0
1.067705091E2;5.093438411E1;7.408715881E0;2.955653808E2;0.000000000E0;3.515540771E2;1.162291412E2;0.000000000E0
1.077639820E2;5.093455948E1;7.408642160E0;3.025521165E2;1.879609299E1;3.522780762E2;8.233072662E1;0.000000000E0
1.087694159E2;5.093462854E1;7.408634077E0;3.062042858E2;1.611635399E1;3.524963989E2;6.972160339E1;0.000000000E0
1.097673596E2;5.093467568E1;7.408624149E0;3.084039893E2;1.335054493E1;3.521784668E2;7.477886200E1;0.000000000E0
1.107620445E2;5.093471680E1;7.408616403E0;3.089572602E2;1.162888336E1;3.522408142E2;7.434711456E1;0.000000000E0
1.117738794E2;5.093479283E1;7.408597003E0;3.122683144E2;1.082386017E1;3.511387329E2;7.977391815E1;0.000000000E0
1.127647591E2;5.093483585E1;7.408569323E0;3.134587321E2;9.871590614E0;3.487032166E2;8.732401276E1;0.000000000E0
1.137691851E2;5.093491043E1;7.408545243E0;3.172318440E2;9.646875381E0;3.486259155E2;1.044114532E2;0.000000000E0
1.147638654E2;5.093499013E1;7.408519008E0;3.208533220E2;9.562778473E0;3.484786682E2;1.155232086E2;0.000000000E0
1.337674331E2;5.093474357E1;7.408917021E0;2.596316996E2;1.238586330E1;3.454514160E2;7.145049286E1;0.000000000E0
1.347658784E2;5.093474917E1;7.408813083E0;2.760757456E2;3.543375731E0;3.454514160E2;5.312306976E1;0.000000000E0
1.357659716E2;5.093471467E1;7.408789954E0;2.719770635E2;5.304760337E-1;2.744047546E2;1.039134903E2;0.000000000E0
1.367643185E2;5.093474093E1;7.408740137E0;2.703476305E2;8.399775624E-1;2.911526794E2;1.067098389E2;0.000000000E0
1.377682747E2;5.093474394E1;7.408713690E0;2.635113157E2;9.854456186E-1;2.624461365E2;1.009131851E2;0.000000000E0
1.387699789E2;5.093473274E1;7.408706906E0;2.640815522E2;1.010671020E0;2.382466125E2;1.114691315E2;0.000000000E0
1.397670002E2;5.093466606E1;7.408721948E0;2.653783574E2;2.010441303E0;1.877104950E2;1.166686478E2;0.000000000E0
1.407732055E2;5.093464837E1;7.408703548E0;2.657854693E2;2.048589230E0;1.916797028E2;1.194293976E2;0.000000000E0
1.417749560E2;5.093445948E1;7.408744505E0;2.637123530E2;3.815950871E0;1.831950073E2;1.036165161E2;0.000000000E0
1.427730836E2;5.093445166E1;7.408742751E0;2.767415892E2;2.116861105E0;1.995055389E2;7.321969604E1;0.000000000E0
1.437760492E2;5.093445673E1;7.408718661E0;2.755665823E2;1.630120635E0;2.066441956E2;6.404757690E1;0.000000000E0
1.448095654E2;5.093442819E1;7.408718393E0;2.714530223E2;0.000000000E0;2.833220825E2;4.900000095E0;0.000000000E0
1.457644346E2;5.093440004E1;7.408726982E0;2.674537337E2;9.205432534E-1;2.339041138E2;6.157993698E1;0.000000000E0
1.467648539E2;5.093439142E1;7.408729675E0;2.668340626E2;9.318878055E-1;2.058204651E2;6.490924072E1;0.000000000E0
1.477657539E2;5.093437341E1;7.408736802E0;2.655860923E2;1.024049044E0;1.864920197E2;6.725953674E1;0.000000000E0
1.487623695E2;5.093436411E1;7.408744604E0;2.649974359E2;1.002099752E0;1.596217194E2;7.352322388E1;0.000000000E0
1.497677398E2;5.093436073E1;7.408750537E0;2.647129863E2;9.357531667E-1;1.563673706E2;8.272645569E1;0.000000000E0
1.648280000E2;5.093429050E1;7.408642100E0;2.725553658E2;0.000000000E0;0.000000000E0;1.868300056E1;2.000000000E0
1.848650000E2;5.093425260E1;7.408671200E0;2.725552784E2;0.000000000E0;0.000000000E0;1.916399956E1;2.000000000E0
2.048710000E2;5.093431210E1;7.408629900E0;2.725554129E2;0.000000000E0;0.000000000E0;1.888899994E1;2.000000000E0
2.248850000E2;5.093429220E1;7.408640900E0;2.725553696E2;0.000000000E0;0.000000000E0;1.836300087E1;2.000000000E0
2.459370000E2;5.093431260E1;7.408630000E0;2.725554138E2;0.000000000E0;0.000000000E0;1.866200066E1;2.000000000E0
2.659770000E2;5.093430450E1;7.408641100E0;2.725553921E2;0.000000000E0;0.000000000E0;1.870800018E1;2.000000000E0
2.807654523E2;5.093457163E1;7.408545188E0;2.680447932E2;1.358646870E0;1.386167908E2;3.876644516E1;0.000000000E0
2.817932903E2;5.093469893E1;7.408510891E0;2.674428755E2;8.519239426E0;1.386167908E2;1.900000000E1;0.000000000E0
3.060500000E2;5.093432190E1;7.408617300E0;2.725554386E2;0.000000000E0;0.000000000E0;1.852899933E1;2.000000000E0
3.187679903E2;5.093522752E1;7.408859480E0;2.678529035E2;2.260497093E1;1.386167908E2;1.993997192E1;0.000000000E0
3.471330000E2;5.093432160E1;7.408617000E0;2.725554382E2;0.000000000E0;0.000000000E0;1.857099915E1;2.000000000E0
3.691270000E2;5.093426630E1;7.408662300E0;2.725553090E2;0.000000000E0;0.000000000E0;1.906100082E1;2.000000000E0
