"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.010475000E-2;-9.581857361E-3;1.309520602E-1;1.064650808E-2
2.200787500E-2;5.216789246E-2;1.362753063E-1;5.536184460E-2
3.392037500E-2;8.517206460E-2;7.452555746E-2;1.043357849E-1
4.583131200E-2;8.943066746E-2;-2.129301615E-2;1.298874021E-1
5.774225000E-2;1.277581044E-2;-6.281439960E-2;1.277581006E-1
6.966568700E-2;-7.771950960E-2;-7.452555746E-2;9.794788063E-2
8.156568700E-2;-1.107236892E-1;-1.192408949E-1;8.197811246E-2
9.347818700E-2;-9.901253134E-2;-1.064650863E-1;6.174974889E-2
1.053891250E-1;-8.836601675E-2;-3.193952516E-2;6.813765317E-2
1.173031870E-1;-1.032711342E-1;7.559020817E-2;5.110324174E-2
1.292125620E-1;-1.618269235E-1;1.969604045E-1;3.939208016E-2
1.411235000E-1;-2.576455176E-1;3.832743168E-1;3.087487444E-2
1.530360000E-1;-2.842617631E-1;3.981794119E-1;1.064650831E-3
1.649469370E-1;-2.523222566E-1;3.236538470E-1;4.258603323E-3
1.768641250E-1;-2.374171317E-1;2.459343374E-1;1.277581044E-2
1.887703750E-1;-1.916371584E-1;1.234994978E-1;-5.323254038E-3
2.006828750E-1;-9.155996889E-2;-2.874557301E-2;6.387905218E-3
2.126031870E-1;-3.939208016E-2;-1.703441329E-2;2.129301615E-2
2.245063120E-1;-7.346090674E-2;7.665485889E-2;1.703441329E-2
2.364172500E-1;-1.511804163E-1;1.277581006E-1;2.874557301E-2
2.483281870E-1;-2.927789688E-1;2.054776102E-1;1.596976258E-2
2.602406870E-1;-3.417529166E-1;2.278352827E-1;-7.984881103E-2
2.721516250E-1;-2.874557376E-1;2.044129670E-1;-2.076069117E-1
2.840641250E-1;-2.459343374E-1;2.448696941E-1;-2.725506127E-1
2.959750620E-1;-2.448696941E-1;2.225120217E-1;-2.938436270E-1
3.078860000E-1;-2.789385319E-1;2.161241174E-1;-2.981022298E-1
3.197985000E-1;-3.300417662E-1;1.469218135E-1;-3.119426966E-1
3.317094370E-1;-3.268478215E-1;-1.171115879E-2;-3.279124498E-1
3.436219370E-1;-2.491282970E-1;-3.279124498E-1;-3.343003690E-1
3.555328750E-1;-1.639562249E-1;-5.706528425E-1;-3.140719831E-1
3.674469370E-1;-1.554390192E-1;-6.558248997E-1;-2.970375717E-1
3.793563120E-1;-2.235766798E-1;-6.238853931E-1;-2.981022298E-1
3.912672500E-1;-3.151366413E-1;-4.577998519E-1;-3.289771080E-1
4.031797500E-1;-3.747570813E-1;-2.895850241E-1;-3.428175747E-1
4.150906870E-1;-3.523994386E-1;-2.597748041E-1;-3.832743168E-1
4.270047500E-1;-2.789385319E-1;-3.758217394E-1;-4.237310290E-1
4.389141250E-1;-1.628915817E-1;-4.695110321E-1;-4.386361539E-1
4.508250620E-1;-1.245641485E-1;-4.939979911E-1;-4.641877711E-1
4.627375620E-1;-1.501157731E-1;-6.654067636E-1;-4.865454435E-1
4.746485000E-1;-2.108008713E-1;-1.100848913E0;-4.194724262E-1
4.865610000E-1;-2.831971347E-1;-1.513933539E0;-3.225892186E-1
4.984719370E-1;-3.747570813E-1;-1.795001268E0;-2.342231870E-1
5.103828750E-1;-5.376486778E-1;-2.067551851E0;-1.799259931E-1
5.222953750E-1;-8.432034850E-1;-2.103749990E0;-4.790928960E-2
5.342063120E-1;-1.028452754E0;-1.828005433E0;1.117883399E-1
5.461172500E-1;-1.084879160E0;-1.291421413E0;1.703441292E-1
5.580297500E-1;-9.879959822E-1;-6.973463297E-1;2.310292274E-1
5.699406870E-1;-7.612253428E-1;-4.386361539E-1;2.789385319E-1
5.818531870E-1;-5.163556337E-1;-4.066966176E-1;2.310292274E-1
5.937672500E-1;-3.651752472E-1;-3.204599023E-1;1.543743759E-1
6.056781870E-1;-2.725506127E-1;-2.981022298E-1;8.943066746E-2
6.175875620E-1;-2.949082851E-1;-3.151366413E-1;7.346090674E-2
6.294985000E-1;-4.216017425E-1;-2.118655145E-1;1.437278688E-1
6.414110000E-1;-5.706528425E-1;-2.022836544E-2;2.565808594E-1
6.533219370E-1;-6.526309848E-1;1.575683206E-1;3.854036033E-1
6.652344370E-1;-5.706528425E-1;2.661627233E-1;5.259374976E-1
6.771453750E-1;-3.811450005E-1;2.150594741E-1;5.695881844E-1
6.890625620E-1;-2.139948159E-1;-2.097362131E-1;4.599291682E-1
7.009688120E-1;-2.044129670E-1;-9.603150487E-1;1.735380888E-1
7.128875620E-1;-2.480636388E-1;-1.466024160E0;-3.300417587E-2
7.247922500E-1;-2.640334070E-1;-1.548002362E0;-1.181762442E-1
7.367031870E-1;-2.139948159E-1;-1.318037748E0;-6.068509817E-2
7.486156870E-1;-1.256287992E-1;-9.315694571E-1;4.684463516E-2
7.605266250E-1;-3.513347730E-2;-4.929333329E-1;1.224348471E-1
7.724453750E-1;3.939208016E-2;-2.395464331E-1;2.203827202E-1
7.843500620E-1;6.387905031E-2;-1.980250627E-1;3.289771080E-1
7.962610000E-1;-3.939208016E-2;-2.800031602E-1;4.184077680E-1
8.081719370E-1;-2.480636388E-1;-4.024380147E-1;4.514119625E-1
8.200844370E-1;-5.131617188E-1;-5.376486778E-1;4.567352235E-1
8.320141250E-1;-6.036570072E-1;-5.259374976E-1;4.939979911E-1
8.439110000E-1;-5.685235262E-1;-4.812221825E-1;5.706528425E-1
8.558266250E-1;-4.439594150E-1;-4.301189482E-1;6.803118587E-1
8.677313120E-1;-3.832743168E-1;-4.216017425E-1;7.686778903E-1
8.796422500E-1;-4.727049768E-1;-5.355193615E-1;8.240397573E-1
8.915610000E-1;-6.047216654E-1;-6.664714217E-1;8.687551022E-1
9.034688120E-1;-7.239625454E-1;-6.984109282E-1;8.985652924E-1
9.153781870E-1;-7.601606846E-1;-7.143807411E-1;8.783369660E-1
9.272891250E-1;-6.302732825E-1;-7.207686305E-1;9.294402003E-1
9.392000620E-1;-3.428175747E-1;-7.420616150E-1;1.015676856E0
9.511156870E-1;-6.494370103E-2;-8.485267162E-1;1.069974065E0
9.630235000E-1;1.160469428E-1;-1.101913571E0;1.101913571E0
9.749344370E-1;1.501157731E-1;-1.453248382E0;1.085943818E0
9.868469370E-1;1.565036774E-1;-1.916371465E0;1.005030394E0
9.987578750E-1;1.714087874E-1;-2.172952414E0;8.889834285E-1
1.010675062E0;1.501157731E-1;-1.999414325E0;8.251044154E-1
1.022581312E0;5.110324174E-2;-1.501157641E0;8.240397573E-1
1.034492250E0;-5.110324174E-2;-9.943838716E-1;8.708843589E-1
1.046404750E0;-9.901253134E-2;-5.908812284E-1;9.443452954E-1
1.058315687E0;-9.794788063E-2;-4.939979911E-1;1.044422507E0
1.070226625E0;-9.688322991E-2;-6.398551464E-1;1.091267109E0
1.082142250E0;-2.129301615E-2;-9.262462258E-1;1.064650893E0
1.094053187E0;1.543743759E-1;-1.069974065E0;1.111495495E0
1.105962562E0;3.758217394E-1;-9.879959822E-1;1.247770786E0
1.117873500E0;5.270021558E-1;-9.049532413E-1;1.389369369E0
1.129792250E0;5.152910352E-1;-8.155225515E-1;1.468153477E0
1.141698500E0;3.502701223E-1;-4.961272776E-1;1.481993914E0
1.153607875E0;8.517206460E-2;-2.044129670E-1;1.442601919E0
1.165520375E0;-1.213701963E-1;-2.001543641E-1;1.345718622E0
1.177432875E0;-1.905725002E-1;-2.757445574E-1;1.248835444E0
1.189343812E0;-8.304276317E-2;-7.026695460E-2;1.217960596E0
1.201256312E0;1.032711342E-1;1.799259931E-1;1.192408919E0
1.213167250E0;2.810678184E-1;4.673817158E-1;1.145564318E0
1.225078187E0;3.864682615E-1;6.057863235E-1;1.159404755E0
1.236993812E0;4.077612758E-1;5.525537729E-1;1.292486072E0
1.248907875E0;3.779510558E-1;1.777966917E-1;1.402145147E0
1.260814125E0;3.492054641E-1;-3.087487519E-1;1.485187888E0
1.272725062E0;3.492054641E-1;-5.770407319E-1;1.452183723E0
1.284636000E0;3.151366413E-1;-4.546059072E-1;1.443666577E0
1.296548500E0;2.182534188E-1;4.897394031E-2;1.457507014E0
1.308490687E0;1.905725002E-1;5.174202919E-1;1.454313040E0
1.320371937E0;1.724734306E-1;6.632774472E-1;1.474541426E0
1.332282875E0;1.863138974E-1;4.290542901E-1;1.408533096E0
1.344193812E0;2.225120217E-1;1.511804163E-1;1.332942843E0
1.356106312E0;2.054776102E-1;8.943066746E-2;1.293550730E0
1.368017250E0;1.639562249E-1;1.767320335E-1;1.264805198E0
1.379929750E0;1.362753063E-1;2.523222566E-1;1.280774951E0
1.391840687E0;1.596976221E-1;2.342231870E-1;1.304197311E0
1.403753187E0;2.885203660E-1;4.897394031E-2;1.405339122E0
1.415664125E0;3.609166443E-1;-2.161241174E-1;1.598040938E0
1.427575062E0;3.374943137E-1;-3.311064243E-1;1.703441381E0
1.439487562E0;2.384817898E-1;-4.024380147E-1;1.799259901E0
1.451398500E0;1.330813617E-1;-6.994755864E-1;1.847169161E0
1.463309437E0;1.384046115E-2;-1.296744704E0;1.856751084E0
1.475221937E0;-2.874557301E-2;-1.779031515E0;1.824811578E0
1.487151625E0;1.671501845E-1;-1.964280844E0;1.838652015E0
1.499045375E0;4.088259339E-1;-1.950440288E0;1.721540451E0
1.510956312E0;6.079156399E-1;-1.708764553E0;1.441537261E0
1.522868812E0;6.313379407E-1;-1.219025254E0;1.216895938E0
1.534779750E0;4.822868407E-1;-6.547602415E-1;9.773494601E-1
1.546695375E0;3.034254909E-1;-1.969604045E-1;7.282211781E-1
1.558609437E0;2.001543641E-1;8.304276317E-2;5.291314721E-1
1.570514125E0;1.213701963E-1;2.310292274E-1;3.257831633E-1
1.582426625E0;9.794788063E-2;1.788613349E-1;1.927018017E-1
1.594337562E0;5.429719388E-2;7.452555746E-2;7.452555746E-2
1.606256312E0;6.920230389E-2;1.660855263E-1;1.064650831E-3
1.618161000E0;5.642649531E-2;2.970375717E-1;-5.429719388E-2
1.630079750E0;1.596976258E-2;3.555933833E-1;-1.043357849E-1
1.641984437E0;-1.703441329E-2;3.800803423E-1;-1.596976221E-1
1.653895375E0;-7.878416032E-2;5.216789246E-1;-2.427403927E-1
1.665806312E0;-1.969604045E-1;6.483723521E-1;-2.757445574E-1
1.677718812E0;-2.991668880E-1;7.654839754E-1;-3.385589719E-1
1.689631312E0;-3.225892186E-1;8.187164664E-1;-4.141491652E-1
1.701542250E0;-3.140719831E-1;7.367383838E-1;-4.769635797E-1
1.713453187E0;-2.693566680E-1;5.355193615E-1;-5.035798550E-1
1.725365687E0;-2.182534188E-1;3.694338500E-1;-4.673817158E-1
1.737276625E0;-1.352106631E-1;2.384817898E-1;-3.577226698E-1
1.749187562E0;-5.642649531E-2;7.771950960E-2;-2.299645841E-1
1.761100062E0;1.703441329E-2;-6.174974889E-2;-1.054004356E-1
