"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.381718700E-2;-1.006999984E-1;1.876000017E-1;3.909999877E-2
4.367031200E-2;1.295000017E-1;3.283999860E-1;-4.849999845E-1
6.352343700E-2;3.969999850E-1;3.562999964E-1;-9.429000020E-1
8.337656200E-2;2.773999870E-1;7.679999620E-2;-1.872999966E-1
1.032281250E-1;3.034999967E-1;8.119999617E-2;3.032000065E-1
1.230812500E-1;4.333999753E-1;7.569999993E-2;-2.400000021E-2
1.429343750E-1;4.115999937E-1;9.169999510E-2;-1.474999934E-1
1.627859370E-1;1.684999913E-1;-1.204999983E-1;-1.322999895E-1
1.826390620E-1;1.176999956E-1;-8.819999546E-2;-2.592000067E-1
2.024921870E-1;3.488000035E-1;-8.949999511E-2;3.974999785E-1
2.223453120E-1;2.026000023E-1;4.839999974E-2;8.499999531E-3
2.421968750E-1;3.340999782E-1;1.229999959E-1;-7.590999603E-1
2.620500000E-1;1.379400015E0;2.773000002E-1;2.017000020E-1
2.819031250E-1;9.447999597E-1;4.077999890E-1;5.166999698E-1
3.017546870E-1;4.578000009E-1;-3.959999979E-2;-2.797999978E-1
3.216078120E-1;6.850000024E-1;2.104000002E-1;-5.837999582E-1
3.414609370E-1;3.750000000E-1;-2.259999886E-2;-3.978999853E-1
3.613125000E-1;3.739999831E-1;-1.289999951E-2;-6.989999861E-2
3.811656250E-1;1.062699914E0;1.341999918E-1;1.975999922E-1
4.010187500E-1;1.107200027E0;1.319999993E-2;7.014999986E-1
4.208703120E-1;1.052399993E0;-1.808999926E-1;7.809999585E-1
4.407234370E-1;8.202999830E-1;-6.705999970E-1;6.373999715E-1
4.605765620E-1;-1.730999947E-1;-8.148999810E-1;-9.093999863E-1
4.804296870E-1;-9.819999933E-1;-1.046800017E0;-1.658699989E0
5.002812500E-1;-8.907999992E-1;-6.820999980E-1;-1.277499914E0
5.201343750E-1;-1.036899924E0;-1.319299936E0;-7.938999534E-1
5.399875000E-1;-8.761000037E-1;-4.680999815E-1;1.108600020E0
5.598390620E-1;-3.565999866E-1;-1.842999905E-1;1.822799921E0
5.796921870E-1;-2.669999935E-2;6.292999983E-1;9.016999602E-1
5.995453120E-1;-3.555999994E-1;6.182000041E-1;4.327999949E-1
6.193984370E-1;-1.113299966E0;-1.432999969E-1;-1.991999894E-1
6.392500000E-1;-1.861199975E0;-9.338999987E-1;-4.267999828E-1
6.591031250E-1;-2.206500053E0;-8.630999923E-1;-3.743000031E-1
6.789562500E-1;-1.037999988E0;4.287000000E-1;-5.740000010E-1
6.988078120E-1;8.482999802E-1;8.830999732E-1;-1.379299998E0
7.186609370E-1;2.374999970E-1;-4.038999975E-1;1.984999925E-1
7.385140620E-1;-1.108899951E0;-1.333999991E0;1.183099985E0
7.583656250E-1;-1.631099939E0;-1.275900006E0;6.261999607E-1
7.782187500E-1;-2.322700024E0;-7.168999910E-1;-9.527999759E-1
7.980703120E-1;-2.526700020E0;-3.872999847E-1;-2.127199888E0
8.179234370E-1;-1.711300015E0;-3.569999933E-1;-1.828399897E0
8.377765620E-1;-1.746899962E0;-6.053999662E-1;-1.696999967E-1
8.576296870E-1;-1.721599936E0;-5.088999867E-1;-2.705999911E-1
8.774812500E-1;-1.260399938E0;5.519999862E-1;-1.272899985E0
8.973343750E-1;-9.085999727E-1;-5.539999902E-2;-9.612999558E-1
9.171859370E-1;-3.100000024E-1;-3.599999845E-1;2.911999822E-1
9.370390620E-1;1.199999973E-1;-7.177000046E-1;1.388399959E0
9.568921870E-1;5.336999893E-1;-5.737000108E-1;2.908000052E-1
9.767453120E-1;3.422999978E-1;7.664999962E-1;-5.042999983E-1
9.965968750E-1;9.253000021E-1;9.681999683E-1;2.703999877E-1
1.016450000E0;-1.198999956E-1;4.397999942E-1;1.318300009E0
1.036303125E0;-1.110700011E0;-9.860000014E-2;1.204499960E0
1.056154687E0;-1.370499969E0;-5.830999613E-1;6.021999717E-1
1.076007812E0;-9.802999496E-1;-1.064100027E0;9.740999937E-1
1.095860937E0;-1.664299965E0;-1.678699970E0;2.148099899E0
1.115712500E0;-1.984899998E0;-1.905299902E0;1.503999949E0
1.135565625E0;-9.686999917E-1;-9.238999486E-1;5.967000127E-1
1.155418750E0;-4.671999812E-1;5.358999968E-1;-1.041999981E-1
1.175271875E0;-4.723999798E-1;4.777999818E-1;1.622099996E0
1.195123437E0;-7.804999948E-1;-3.158999979E-1;3.274699926E0
1.214976562E0;-9.869999886E-1;-2.296999991E-1;2.447900057E0
1.234832812E0;-2.001800060E0;3.368999958E-1;4.521999955E-1
1.254681250E0;-1.714499950E0;1.457599998E0;-3.804999888E-1
1.274534375E0;-2.796999812E-1;1.842199922E0;1.009699941E0
1.294387500E0;7.009999454E-2;1.643799901E0;1.385999918E0
1.314239062E0;-3.333999813E-1;1.395499945E0;6.051999927E-1
1.334092187E0;5.365999937E-1;1.784199953E0;1.761000007E-1
1.353945312E0;7.917000055E-1;1.351699948E0;2.009999901E-1
1.373798437E0;8.708999753E-1;6.983999610E-1;9.449999779E-2
1.393650000E0;3.012999892E-1;-1.257999986E-1;9.809999913E-2
1.413503125E0;2.328999937E-1;-3.208000064E-1;-6.966999769E-1
1.433357812E0;1.552899957E0;6.101999879E-1;-1.015100002E0
1.453207812E0;2.167599916E0;1.982599974E0;-2.234400034E0
1.473060937E0;2.619699955E0;7.899999619E-1;-3.581999838E-1
1.492914062E0;3.806099892E0;2.496999949E-1;1.794699907E0
1.512767187E0;4.835499763E0;1.108899951E0;1.894099951E0
1.532618750E0;4.510699749E0;1.898399949E0;-2.180000022E-2
1.552471875E0;3.939199924E0;2.101500034E0;-1.561999917E-1
1.572325000E0;3.014199972E0;1.669199944E0;-1.375999898E-1
1.592176562E0;2.943899870E0;1.473199964E0;5.099999718E-3
1.612029687E0;2.554199934E0;6.940000057E-1;1.048999950E-1
1.631882812E0;2.026200056E0;4.484999776E-1;-6.213999987E-1
1.651734375E0;1.581799984E0;4.307999909E-1;-9.056999683E-1
1.671587500E0;1.225000024E0;-5.020000041E-2;-9.717999697E-1
1.691440625E0;7.513999939E-1;-3.871999979E-1;-5.238000154E-1
1.711292187E0;-1.758999974E-1;-3.948999941E-1;-4.847999811E-1
1.731145312E0;-1.350399971E0;-7.545999885E-1;8.599999361E-3
1.750998437E0;-1.761699915E0;-7.419999838E-1;1.413999945E-1
1.770851562E0;-1.685400009E0;-4.226000011E-1;4.659999907E-1
1.790703125E0;-1.923799992E0;-3.285999894E-1;3.678999841E-1
1.810556250E0;-2.596400023E0;-3.737999797E-1;7.919999957E-1
1.830409375E0;-5.037999749E-1;1.071099997E0;1.630499959E0
1.850260937E0;1.370999932E0;2.001999855E0;1.823199987E0
1.870114062E0;1.138499975E0;1.914199948E0;2.007599831E0
1.889967187E0;3.233000040E-1;1.672500014E0;1.330699921E0
1.909818750E0;-6.406999826E-1;9.145999551E-1;1.094399929E0
1.929671875E0;-1.488399982E0;5.454999804E-1;2.243999988E-1
1.949525000E0;-1.715999961E0;4.384000003E-1;-1.321599960E0
1.969376562E0;-3.373499870E0;-2.734999955E-1;-2.361199856E0
1.989229687E0;-3.122799873E0;-1.342800021E0;-3.694499969E0
2.009082812E0;-4.923999906E-1;1.759999990E-1;-5.079999939E-2
2.028934375E0;6.872999668E-1;-3.240000084E-2;5.378000140E-1
2.048787500E0;5.223700047E0;1.545499921E0;-6.381999850E-1
2.068640625E0;6.616299629E0;3.878399849E0;5.521999598E-1
2.088493750E0;2.312099934E0;3.871999979E0;-1.590899944E0
2.108345312E0;4.044999778E-1;3.282199860E0;-2.212199926E0
2.128198437E0;-1.193000004E-1;1.852499962E0;2.635000050E-1
2.148051562E0;1.027699947E0;-1.218999997E-1;5.166000128E-1
2.167904687E0;9.670999646E-1;-3.793999851E-1;-3.506000042E-1
2.187756250E0;-8.100000210E-3;1.430699944E0;-1.026999950E-1
2.207607812E0;-5.198999882E0;-3.423999846E-1;-7.922099590E0
2.227460937E0;-4.678400040E0;-3.043999910E0;-1.802999973E-1
2.247314062E0;-5.269499779E0;-4.294799805E0;5.554399967E0
2.267165625E0;-2.866699934E0;-3.733599901E0;4.219999790E0
2.287018750E0;1.790099978E0;-1.269799948E0;4.448400021E0
2.306871875E0;2.570099831E0;4.397999763E0;2.391999960E-1
2.326723437E0;3.771999776E-1;5.460899830E0;-8.587999940E-1
2.346576562E0;-8.823999763E-1;2.420300007E0;1.187199950E0
2.366429687E0;-1.378600001E0;-8.309999704E-1;2.367199898E0
2.386282812E0;-2.559499979E0;-1.712399960E0;6.497900009E0
2.406134375E0;-4.743000031E0;-1.625699997E0;-2.802000046E-1
2.425987500E0;-2.549399853E0;1.395900011E0;-1.419000030E-1
2.445840625E0;2.091399908E0;-1.759999990E-1;-3.044099808E0
2.465692187E0;3.464999914E0;-1.077540016E1;-6.816400051E0
2.485545312E0;5.500899792E0;-1.524489975E1;-3.520599842E0
2.505398437E0;1.639699936E0;-8.463999748E0;3.531699896E0
2.525251562E0;3.173699856E0;4.742199898E0;-5.187999606E-1
2.545103125E0;-1.880399942E0;9.933999777E-1;1.605099916E0
2.564956250E0;-3.920999765E-1;-7.149999589E-2;-1.717000008E-1
2.584809375E0;1.399999950E-3;9.971999526E-1;-1.837199926E0
2.604660937E0;-2.666800022E0;4.627999961E-1;-5.372999907E-1
2.624514062E0;-2.974499941E0;8.281999826E-1;2.336999923E-1
2.644367187E0;-1.594599962E0;7.906000018E-1;8.048999906E-1
2.664218750E0;-5.708000064E-1;6.951000094E-1;5.349000096E-1
2.684071875E0;-1.620000042E-2;6.108999848E-1;6.313999891E-1
2.703926562E0;1.471399903E0;7.082999945E-1;1.047399998E0
2.723778125E0;2.583600044E0;4.048999846E-1;1.982099891E0
2.743629687E0;4.007599831E0;6.468999982E-1;2.824800014E0
2.763482812E0;4.136300087E0;7.267999649E-1;2.073600054E0
2.783335937E0;3.220799923E0;5.521999598E-1;7.939999700E-1
2.803187500E0;1.865000010E0;1.340999901E-1;-3.540000021E-1
2.823040625E0;1.055400014E0;-1.266999990E-1;-1.045099974E0
2.842893750E0;7.265999913E-1;-3.886999786E-1;-8.969999552E-1
2.862746875E0;3.808999956E-1;-2.329999954E-2;-6.003000140E-1
2.882598437E0;-2.429999970E-2;9.559999406E-2;-1.039799929E0
2.902451562E0;8.625999689E-1;2.567999959E-1;-1.071900010E0
2.922304687E0;2.003499985E0;9.933999777E-1;-7.899999619E-2
2.942156250E0;2.115000010E0;1.365499973E0;-2.937999964E-1
2.962009375E0;1.037799954E0;5.960999727E-1;-5.892999768E-1
2.981862500E0;7.912999988E-1;1.546999961E-1;-3.399999812E-3
3.001714062E0;1.620700002E0;5.048999786E-1;-8.141999841E-1
3.021567187E0;1.458099961E0;-8.619999886E-2;-1.641499996E0
3.041420312E0;2.706599951E0;9.856999516E-1;-2.513399839E0
3.061271875E0;2.695499897E0;2.333999872E-1;-1.115299940E0
3.081125000E0;1.500199914E0;-3.694999814E-1;-8.952999711E-1
3.100978125E0;6.719999760E-2;-1.871999949E-1;-3.555999994E-1
3.120829687E0;-1.102999970E-1;1.076099992E0;-8.820999861E-1
3.140682812E0;5.322999954E-1;1.804999948E0;-1.239300013E0
3.160535937E0;5.726999640E-1;3.955000043E-1;-2.014699936E0
3.180389062E0;8.532999754E-1;-7.071999907E-1;-1.893000007E0
3.200240625E0;1.862399936E0;3.904999793E-1;-1.162999988E0
3.220093750E0;2.011699915E0;1.782999933E-1;-1.018199921E0
3.239945312E0;2.269000053E0;-1.527999938E-1;-1.129499912E0
3.259798437E0;2.634299994E0;-1.180599928E0;-2.944900036E0
3.279651562E0;4.067299843E0;-1.582399964E0;-4.980400085E0
3.299504687E0;5.603300095E0;-3.129699945E0;-4.568500042E0
3.319356250E0;6.240599632E0;-4.554399967E0;-1.305299997E0
3.339209375E0;6.089099884E0;-2.293200016E0;7.623999715E-1
3.359060937E0;4.308099747E0;-1.376500010E0;-2.355700016E0
3.378914062E0;1.469200015E0;-1.253000021E0;-1.231219959E1
3.398767187E0;5.256999731E-1;-1.084999919E0;-3.682499886E0
3.418618750E0;5.799999833E-1;-9.400999546E-1;2.329799891E0
3.438471875E0;1.442999989E-1;-1.487299919E0;6.211400032E0
3.458325000E0;2.749999985E-2;-1.103500009E0;6.669899940E0
3.478178125E0;2.705000043E-1;-7.698999643E-1;2.732699871E0
3.498029687E0;1.502099991E0;-6.667999625E-1;-2.397199869E0
3.517882812E0;5.240000039E-2;-9.633999467E-1;-2.999999851E-4
3.537735937E0;-3.959999979E-1;6.272999644E-1;3.144500017E0
3.557587500E0;-1.186399937E0;1.688999981E-1;4.216599941E0
3.577440625E0;-1.121199965E0;5.512999892E-1;5.560400009E0
3.597293750E0;-5.800999999E-1;1.068699956E0;3.885599852E0
3.617145312E0;-5.829999968E-2;8.335999846E-1;3.247900009E0
3.636998437E0;-4.263999760E-1;-1.216999963E-1;3.860099792E0
3.656851562E0;-7.490999699E-1;5.396999717E-1;3.241299868E0
3.676704687E0;-5.342999697E-1;1.713299990E0;2.045399904E0
3.696556250E0;-1.309499979E0;1.772599936E0;2.116899967E0
3.716409375E0;-1.434499979E0;5.422999859E-1;2.215299845E0
3.736262500E0;-1.791099906E0;-1.023900032E0;2.049799919E0
3.756114062E0;-1.288800001E0;-1.169199944E0;1.572099924E0
3.775967187E0;-5.180999637E-1;3.319999874E-1;-4.931999743E-1
3.795820312E0;-3.999999762E-1;4.806999862E-1;-1.224099994E0
3.815671875E0;-2.924000025E-1;4.899999872E-2;4.097999930E-1
3.835525000E0;2.070000023E-2;7.495999932E-1;1.541999936E0
3.855378125E0;-2.049999982E-1;4.891999960E-1;1.709899902E0
3.875231250E0;1.653999984E-1;1.214900017E0;1.272799969E0
3.895082812E0;1.019500017E0;1.804499984E0;7.002999783E-1
3.914935937E0;1.780699968E0;1.793499947E0;4.360999763E-1
3.934789062E0;1.873299956E0;3.278999925E-1;-1.200000010E-2
3.954640625E0;1.115299940E0;-7.166000009E-1;8.054999709E-1
3.974493750E0;4.867999852E-1;6.129999831E-2;1.323400021E0
3.994346875E0;1.112999991E-1;3.953000009E-1;2.138999999E-1
4.014200000E0;-6.787999868E-1;-4.199000001E-1;1.800399899E0
4.034051562E0;-1.624099970E0;-2.301999927E-1;4.002500057E0
4.053910937E0;-2.338899851E0;-2.145999968E-1;4.213999748E0
4.073757812E0;-3.162599802E0;-2.181599855E0;5.180799961E0
4.093609375E0;-1.924899936E0;-2.479699850E0;3.998499870E0
4.113462500E0;8.145999908E-1;-2.109799862E0;1.223500013E0
4.133315625E0;3.130100012E0;-8.144999743E-1;-1.241899967E0
4.153167187E0;4.121999741E0;7.617999911E-1;-1.518899918E0
4.173020312E0;4.125800133E0;1.070799947E0;-5.151999593E-1
4.192873437E0;4.776400089E0;5.248000026E-1;4.319999740E-2
4.212725000E0;4.741399765E0;1.831000000E-1;2.273999900E-1
4.232578125E0;2.323699951E0;1.613999903E-1;6.778999567E-1
4.252431250E0;3.509999812E-2;1.854999959E-1;7.935999632E-1
4.272284375E0;-4.088999927E-1;-5.886999965E-1;-1.992999911E-1
4.292135937E0;-1.808999926E-1;-6.782999635E-1;-5.931999683E-1
4.311989062E0;4.490999877E-1;2.316999882E-1;2.254999876E-1
4.331842187E0;1.230899930E0;5.832999945E-1;1.815299988E0
4.351693750E0;9.120999575E-1;-1.636999995E-1;2.186300039E0
4.371546875E0;3.691000044E-1;-4.011999965E-1;2.621000051E0
4.391400000E0;-6.880999804E-1;-1.683000028E-1;2.783999920E0
4.411251562E0;-1.568300009E0;-5.359999835E-2;1.718499899E0
4.431104687E0;-7.680000067E-1;1.287000030E-1;-3.254999816E-1
4.450957812E0;7.430999875E-1;3.400000036E-1;-1.335500002E0
4.470810937E0;5.681999922E-1;2.275999933E-1;-9.589999914E-1
4.490662500E0;1.114400029E0;7.838000059E-1;-2.978000045E-1
4.510515625E0;2.003299952E0;6.442999840E-1;-2.509000003E-1
4.530368750E0;2.017699957E0;-1.231999993E-1;-2.181999981E-1
4.550220312E0;1.864299893E0;-1.657999903E-1;-1.850000024E-2
4.570073437E0;2.030299902E0;1.724999994E-1;-7.550999522E-1
4.589926562E0;1.499899983E0;6.929999590E-2;-8.184999824E-1
4.609779687E0;6.111999750E-1;-4.447000027E-1;-4.712999761E-1
4.629631250E0;-5.397999883E-1;-3.613999784E-1;-7.623999715E-1
4.649484375E0;-7.379999757E-1;-3.240000084E-2;-1.164899945E0
4.669335937E0;-6.109999865E-2;-3.571999967E-1;-1.445000023E-1
4.689189062E0;1.064599991E0;-5.399000049E-1;1.505399942E0
4.709040625E0;1.962499976E0;-1.630000025E-1;2.415599823E0
4.728893750E0;2.304899931E0;-1.419999897E-1;2.668499947E0
4.748746875E0;2.260699987E0;-5.629999936E-2;2.522300005E0
4.768600000E0;2.030599833E0;2.815999985E-1;2.049799919E0
4.788451562E0;1.789399981E0;4.154999852E-1;1.956399918E0
4.808304687E0;7.468000054E-1;4.902999997E-1;1.289499998E0
4.828157812E0;-7.707999945E-1;9.251999855E-1;-7.180000097E-2
4.848009375E0;-8.700999618E-1;1.195500016E0;-1.422500014E0
4.867862500E0;-3.033999801E-1;5.715000033E-1;-2.276299953E0
4.887715625E0;1.088699937E0;2.176999897E-1;-6.335999966E-1
