"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
0.000000000E0;-3.218180656E0;5.552853107E0;1.046675110E1
1.191250000E-2;-3.365979433E0;6.431342602E0;7.651150227E0
2.382343800E-2;-2.915333271E0;7.167292118E0;4.468164444E0
3.573437500E-2;-2.467502594E0;7.693949223E0;2.117776871E0
4.764687500E-2;-2.219089746E0;7.824959755E0;9.281554222E-1
5.955937500E-2;-2.374703407E0;7.226610184E0;1.271742463E0
7.147031300E-2;-2.979009628E0;6.273938656E0;2.918684959E0
8.338125000E-2;-3.821873665E0;5.089086533E0;6.758563519E0
9.529218800E-2;-3.878482103E0;4.279262066E0;1.077766228E1
1.072046880E-1;-3.331033707E0;4.298185825E0;1.283860970E1
1.191156250E-1;-3.034430504E0;4.420864582E0;1.264383698E1
1.310281250E-1;-3.039649725E0;4.701340675E0;1.104137802E1
1.429390630E-1;-2.976663113E0;5.584025383E0;9.262141228E0
1.548515630E-1;-2.279174566E0;6.092984676E0;6.219082355E0
1.667625000E-1;-2.152990818E0;6.237833977E0;4.418872356E0
1.786953130E-1;-2.928348064E0;6.347689629E0;3.665714264E0
1.905859380E-1;-3.441655159E0;6.201422691E0;3.616087437E0
2.024968750E-1;-3.495400429E0;5.979221821E0;5.014779568E0
2.144078130E-1;-2.649701357E0;5.721586227E0;6.199114799E0
2.263296880E-1;-2.843516827E0;5.806465626E0;7.866868019E0
2.382328130E-1;-2.836564064E0;5.691352367E0;8.395460129E0
2.501437500E-1;-2.477874279E0;5.255885601E0;8.842658043E0
2.620546880E-1;-2.223590851E0;4.799158096E0;9.261039734E0
2.739671880E-1;-2.229097605E0;4.450543404E0;9.324553490E0
2.859000000E-1;-2.346097469E0;4.281349659E0;9.016362190E0
2.977906250E-1;-2.414600372E0;4.555859566E0;8.843788147E0
3.097015630E-1;-2.374808550E0;4.917527199E0;8.428873062E0
3.216140630E-1;-2.335151196E0;5.167184830E0;7.867959499E0
3.335250000E-1;-2.235102177E0;5.325872898E0;7.370722294E0
3.454359380E-1;-1.801742077E0;5.533651352E0;6.424170017E0
3.573484380E-1;-1.503587365E0;5.738125801E0;5.831825256E0
3.692593750E-1;-1.448214412E0;5.946038246E0;5.175976753E0
3.811718750E-1;-2.153182030E0;4.957443714E0;5.871214867E0
3.930828130E-1;-2.281358242E0;2.632194757E0;6.815458775E0
