"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.093426650E1;7.408660900E0;2.725553102E2;0.000000000E0;0.000000000E0;1.934700012E1;2.000000000E0
1.390174742E0;5.093426650E1;7.408660900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.934700012E1;0.000000000E0
1.157165391E1;5.093426680E1;7.408661900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.901600075E1;0.000000000E0
2.157629609E1;5.093426680E1;7.408661900E0;0.000000000E0;0.000000000E0;0.000000000E0;1.901600075E1;0.000000000E0
3.054211588E1;5.093511039E1;7.408775352E0;2.660264654E2;5.851057172E-1;0.000000000E0;1.900000000E1;0.000000000E0
3.254001015E1;5.093476033E1;7.408634539E0;2.715391140E2;0.000000000E0;0.000000000E0;1.900000000E1;0.000000000E0
3.354101797E1;5.093476033E1;7.408634539E0;2.732415371E2;0.000000000E0;5.574352646E1;1.900000000E1;0.000000000E0
3.459882265E1;5.093476033E1;7.408634539E0;2.809130154E2;0.000000000E0;2.994685669E2;1.900000000E1;0.000000000E0
3.559450599E1;5.093478404E1;7.408666467E0;2.786853174E2;1.116974115E0;2.916658325E2;1.028205719E2;0.000000000E0
3.659927265E1;5.093476217E1;7.408663495E0;2.779742805E2;1.004164815E0;2.810556641E2;9.889920807E1;0.000000000E0
3.759968984E1;5.093474545E1;7.408662344E0;2.778507153E2;8.904469013E-1;2.075170898E2;9.372344208E1;0.000000000E0
3.859410234E1;5.093473711E1;7.408661560E0;2.698641587E2;1.014017224E0;1.664490051E2;9.764942169E1;0.000000000E0
3.959706849E1;5.093471800E1;7.408652330E0;2.668705989E2;1.137255430E0;1.370433350E2;1.098677826E2;0.000000000E0
4.059879557E1;5.093470519E1;7.408635689E0;2.646729231E2;1.225411892E0;8.406909943E1;1.106240845E2;0.000000000E0
4.160531692E1;5.093469830E1;7.408615947E0;2.639092200E2;1.271992326E0;3.759412003E1;1.241643753E2;0.000000000E0
4.259768359E1;5.093469441E1;7.408595869E0;2.613301540E2;1.092424393E0;3.310614395E1;1.335350342E2;0.000000000E0
4.359597526E1;5.093469197E1;7.408575205E0;2.587969894E2;9.655650854E-1;3.503382263E2;1.435137329E2;0.000000000E0
4.459382630E1;5.093469101E1;7.408558286E0;2.551398934E2;1.087362528E0;3.308332520E2;1.523524475E2;0.000000000E0
4.559096276E1;5.093469093E1;7.408544991E0;2.525247891E2;1.160070062E0;3.024531860E2;1.623161469E2;0.000000000E0
4.660072838E1;5.093469215E1;7.408535330E0;2.508213060E2;1.253810525E0;2.294280396E2;1.662515411E2;0.000000000E0
4.759230130E1;5.093469357E1;7.408526754E0;2.484868716E2;1.383071780E0;1.713263702E2;1.760108032E2;0.000000000E0
4.860385182E1;5.093469462E1;7.408519041E0;2.453258980E2;1.424862385E0;1.746588898E2;1.828524475E2;0.000000000E0
4.959106848E1;5.093469559E1;7.408512094E0;2.424364692E2;1.394507051E0;2.099588318E2;1.899685822E2;0.000000000E0
5.060160338E1;5.093469656E1;7.408505753E0;2.406575442E2;1.173097730E0;2.152554321E2;1.981858521E2;0.000000000E0
5.159624453E1;5.093469832E1;7.408500423E0;2.400222357E2;1.012170196E0;2.649573975E2;2.000000000E2;0.000000000E0
5.259257526E1;5.093470093E1;7.408495336E0;2.401806909E2;1.097728491E0;3.082731628E2;1.959253540E2;0.000000000E0
5.360071484E1;5.093470464E1;7.408489261E0;2.355594245E2;1.162883162E0;3.561480103E2;1.828937836E2;0.000000000E0
5.459337942E1;5.093470799E1;7.408480798E0;2.279024534E2;1.016357660E0;3.566510620E2;1.663955994E2;0.000000000E0
5.559517109E1;5.093470856E1;7.408474846E0;2.322120284E2;9.097178578E-1;1.742543793E1;1.296087494E2;0.000000000E0
5.659848932E1;5.093471164E1;7.408468713E0;2.262632463E2;1.029258847E0;5.001140213E1;9.663790894E1;0.000000000E0
