"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.131313000E-3;3.385589719E-1;3.012961745E-1;6.707300246E-2
1.804225000E-2;4.790928662E-1;3.066194355E-1;8.091346174E-2
2.995631300E-2;2.981022298E-1;6.707300246E-2;-6.068509817E-2
4.186568800E-2;-1.447925121E-1;-3.534640670E-1;-3.353650272E-1
5.377818800E-2;-6.196267605E-1;-8.602378964E-1;-6.196267605E-1
6.568912500E-2;-1.084879160E0;-1.437278628E0;-8.708843589E-1
7.760162500E-2;-1.370205641E0;-1.855686426E0;-9.379574060E-1
8.951256300E-2;-1.394692659E0;-2.003672838E0;-7.665486336E-1
1.014235000E-1;-1.142370343E0;-1.701312065E0;-4.652524292E-1
1.133485000E-1;-6.600835323E-1;-1.156210780E0;-2.171887755E-1
1.252469380E-1;-2.012190074E-1;-6.025923491E-1;-5.642649531E-2
1.371594380E-1;3.087487444E-2;-1.288227588E-1;2.129301662E-3
1.490719380E-1;4.045673087E-2;2.012190074E-1;-2.022836544E-2
1.609828750E-1;-2.363524884E-1;3.044901490E-1;-1.554390192E-1
1.728938130E-1;-6.334672570E-1;3.438822329E-1;-2.981022298E-1
1.848063130E-1;-1.045487165E0;1.511804163E-1;-3.449468613E-1
1.967188130E-1;-1.368076324E0;-3.641105890E-1;-3.162012994E-1
2.086281880E-1;-1.500092983E0;-7.069281340E-1;-3.140719831E-1
2.205406880E-1;-1.431955338E0;-1.049745679E0;-3.076840937E-1
2.324516250E-1;-1.219025254E0;-1.237124324E0;-3.630459309E-1
2.443641250E-1;-9.805434346E-1;-1.280774951E0;-4.247956872E-1
2.562750630E-1;-7.750658393E-1;-1.219025254E0;-4.077612758E-1
2.681875630E-1;-5.738468170E-1;-1.043357849E0;-3.193952441E-1
2.801110000E-1;-4.546059072E-1;-8.368155360E-1;-1.980250627E-1
2.920141250E-1;-4.035026729E-1;-6.047216654E-1;-4.365068302E-2
3.039219380E-1;-4.066966176E-1;-4.045673311E-1;9.901253134E-2
3.158328750E-1;-4.162784815E-1;-3.321710527E-1;1.767320335E-1
3.277578750E-1;-4.727049768E-1;-3.417529166E-1;1.703441292E-1
