"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.382343800E-2;3.089999855E-1;7.400999665E-1;-2.220299959E0
4.367656300E-2;9.809999466E-1;1.319999933E0;-5.462399960E0
6.352812500E-2;6.917999983E-1;5.027999878E-1;-5.028800011E0
8.338125000E-2;-7.033999562E-1;-1.226199985E0;-8.839999884E-2
1.032343750E-1;-6.011999846E-1;-1.870000005E0;5.200799942E0
1.230859380E-1;-1.515000015E-1;-1.567899942E0;5.048999786E0
1.429390630E-1;-1.224999949E-1;-3.439999819E-1;1.976199985E0
1.627921880E-1;8.439999819E-1;2.506999969E-1;-2.438299894E0
1.826453130E-1;-1.709000021E-1;5.099999905E-1;-3.800899982E0
2.024968750E-1;-4.603999853E-1;3.061999977E-1;-2.410799980E0
2.223562500E-1;3.077999949E-1;2.927999794E-1;-2.206999958E-1
2.422031250E-1;8.879999816E-2;2.972999811E-1;7.184000015E-1
2.620546880E-1;4.567999840E-1;-3.509999812E-1;1.349299908E0
2.819078130E-1;2.635000050E-1;-7.753999829E-1;1.086799979E0
3.017609380E-1;2.459999919E-2;-3.300999999E-1;6.567999721E-1
3.216140630E-1;4.490000010E-2;2.333000004E-1;-2.874000072E-1
3.414656250E-1;3.193999827E-1;5.771999955E-1;-1.429999948E0
3.613187500E-1;8.101999760E-1;1.076399922E0;-2.671900034E0
3.811718750E-1;-9.820000082E-2;3.560999930E-1;-2.560299873E0
4.010234380E-1;-4.140000045E-2;-2.250399828E0;-1.313499928E0
4.208765630E-1;8.551999927E-1;-1.888799906E0;1.551499963E0
4.407296880E-1;1.109499931E0;-4.206999838E-1;3.389999866E0
4.605812500E-1;5.607999563E-1;2.163999975E-1;5.618599892E0
4.804343750E-1;-2.913999856E-1;-1.216999963E-1;5.622299671E0
5.002875000E-1;-4.101999998E-1;-2.328799963E0;2.879499912E0
5.201406250E-1;-1.501999944E-1;-3.769500017E0;3.718999922E-1
