,member,label,position,sample_nr,Mean Gyroscope x (rad/s),Mean Gyroscope y (rad/s),Mean Gyroscope z (rad/s),Mean Acceleration x (m/s^2),Mean Acceleration y (m/s^2),Mean Acceleration z (m/s^2),Mean Linear Acceleration x (m/s^2),Mean Linear Acceleration y (m/s^2),Mean Linear Acceleration z (m/s^2),Mean Velocity (m/s),Mean Absolute Gyroscope x (rad/s),Mean Absolute Gyroscope y (rad/s),Mean Absolute Gyroscope z (rad/s),Mean Absolute Acceleration x (m/s^2),Mean Absolute Acceleration y (m/s^2),Mean Absolute Acceleration z (m/s^2),Mean Absolute Linear Acceleration x (m/s^2),Mean Absolute Linear Acceleration y (m/s^2),Mean Absolute Linear Acceleration z (m/s^2),Mean Absolute Velocity (m/s),Mean Square Gyroscope x (rad/s),Mean Square Gyroscope y (rad/s),Mean Square Gyroscope z (rad/s),Mean Square Acceleration x (m/s^2),Mean Square Acceleration y (m/s^2),Mean Square Acceleration z (m/s^2),Mean Square Linear Acceleration x (m/s^2),Mean Square Linear Acceleration y (m/s^2),Mean Square Linear Acceleration z (m/s^2),Mean Square Velocity (m/s),Variance Gyroscope x (rad/s),Variance Gyroscope y (rad/s),Variance Gyroscope z (rad/s),Variance Acceleration x (m/s^2),Variance Acceleration y (m/s^2),Variance Acceleration z (m/s^2),Variance Linear Acceleration x (m/s^2),Variance Linear Acceleration y (m/s^2),Variance Linear Acceleration z (m/s^2),Variance Velocity (m/s),Minimum Gyroscope x (rad/s),Minimum Gyroscope y (rad/s),Minimum Gyroscope z (rad/s),Minimum Acceleration x (m/s^2),Minimum Acceleration y (m/s^2),Minimum Acceleration z (m/s^2),Minimum Linear Acceleration x (m/s^2),Minimum Linear Acceleration y (m/s^2),Minimum Linear Acceleration z (m/s^2),Minimum Velocity (m/s),Maximum Gyroscope x (rad/s),Maximum Gyroscope y (rad/s),Maximum Gyroscope z (rad/s),Maximum Acceleration x (m/s^2),Maximum Acceleration y (m/s^2),Maximum Acceleration z (m/s^2),Maximum Linear Acceleration x (m/s^2),Maximum Linear Acceleration y (m/s^2),Maximum Linear Acceleration z (m/s^2),Maximum Velocity (m/s)
0,jak,laufen,s,0.0,0.2048109391861593,0.20519497438355938,-0.17757362532964402,2.0134458513666913,-11.577731511462705,-0.26085963010099994,2.2923404043963886,-2.2562278984983717,0.9011711932705357,2.5648046971,1.6301198542264463,2.835336289268272,2.0719600946967307,6.873262431019895,14.568263456498297,7.008703949310044,8.543093430146465,13.761687512231378,7.851737720589975,2.5648046971,4.282271882386528,13.258078596926525,7.887408516282169,68.84679802214359,487.00858464476215,100.8595555834121,99.11490394056763,351.984841213259,118.71090857508347,6.60088487711908,4.240324361576211,13.21597361941424,7.855876123869456,64.79283382575784,352.96471769324626,100.79150783679569,93.86007941093943,346.89427688329647,117.89879905550276,0.022661742852857797,-5.118841171000001,-8.534240723,-9.533947945,-22.80726242,-79.024086,-59.14703751,-24.77260017,-69.33539581,-55.13209915,2.34147048,8.759946823,17.51031303,5.695881844,30.82069397,12.14659023,30.62264442,32.7154007,20.65399933,35.62450027,2.880386353
1,jak,laufen,s,1.0,0.18742042668612743,0.09090392001550886,-0.06054043893827394,2.7593288250792942,-11.614388068888175,-0.4377760898542789,2.264187237296825,-2.461906511993058,1.16361406507008,3.0559820653,1.764255873403577,2.8535066173888795,1.9729375900838468,6.516168296119062,14.286529450010875,7.21172486084474,7.87159780850278,13.493279245739593,8.287537694012576,3.0559820653,5.1523842573371015,12.5905589420735,7.213945682209606,59.95606262227588,465.3368131263583,108.12271532333715,81.23751750377728,334.34652834724665,134.42696808742969,9.383999197595104,5.117257840997889,12.582295419399312,7.21028053746278,52.34216705736236,330.44280291162556,107.93106741848901,76.11097365823942,328.28554467345344,133.07297039500057,0.04497281415984905,-6.723269939,-10.34947109,-9.720262527000001,-17.29185295,-78.83376312,-53.30481339,-18.57619858,-69.67029572,-57.77509689,2.583605766,8.211651802,18.27898979,5.210401058,21.83312607,10.71432972,34.73456955,22.44229889,18.90299988,41.13769913,3.3789448739999997
2,jak,laufen,s,2.0,0.04516654398342489,0.08397813625139057,-0.08972344941959529,2.8711952642542906,-11.047185316135847,-0.942219185373285,2.0958894175115312,-1.871748264388032,0.8825479085796034,2.5650785683999997,1.6642089631638515,2.3933426936763933,1.9662668852163345,6.319898601652116,13.742962801778026,6.6108677117072645,7.400427260642742,12.948610794219405,7.534153690639677,2.5650785683999997,4.678443080624196,8.848375233586895,6.7103680477975765,57.1048947678728,424.1931342573798,88.82019407442762,70.32537840041427,301.4887075681245,99.81297579949168,6.664518942402647,4.6764030639287935,8.841322906218634,6.702317750421823,48.86113252239656,302.152830848332,87.93241708114203,65.93262594997746,297.98526600288454,99.0340849885535,0.08489088033765353,-7.775145053999999,-7.5696673389999996,-9.11341095,-16.61953354,-78.59700012,-48.07223892,-15.93739986,-69.46309662,-39.60839844,2.144477367,5.585158347999999,10.73274517,4.862260342,20.08844376,11.63429832,34.31261826,20.50819969,20.13259888,31.43799973,2.980951309
3,jak,laufen,s,3.0,0.049108448358032124,0.11309916833187593,0.004445140861561433,2.3591737602038383,-11.420212378604052,-1.1044679256635337,1.9666757516571212,-2.1616241494511534,0.45345534510329394,2.2402254104,1.8005948586620866,2.005492556164537,1.8857326546836166,5.764590783269888,13.465046776178877,6.238322467951575,6.919784745427002,12.464162372144163,7.379028572983765,2.2402254104,5.225577613902849,6.374785883220918,5.97959810192013,47.570445235231624,405.02138786455447,80.67370925445923,62.751694738365366,277.12517823765137,97.78791372678407,5.030206161580509,5.223165974202723,6.361994461343552,5.979578342642851,42.004744404397336,274.6001370921332,79.45385985563993,58.88388122620931,272.45255927416105,97.58229197678135,0.0115962721786614,-9.354022026,-9.001623153999999,-8.325569153,-19.33035278,-71.97585297,-62.15390778,-19.47469902,-63.70429993,-55.08359909,2.071770906,5.801282406,10.6092453,4.998535633,18.36885071,8.799151421,38.02440643,17.48449898,17.95999908,43.66249847,2.4013521669999998
4,jak,laufen,s,4.0,0.12930311188772853,0.04170896444084525,-0.024502177312833343,2.2009948197398943,-11.27619592954166,-0.9832135477515034,2.0159420330828186,-2.0561320849526394,0.7370924599061113,2.1790109634,1.9998642203263393,2.0887917104928855,1.7527220045343894,5.510238139991416,13.168914972486382,7.3463181203201895,6.514828809499807,12.390716739530037,8.548407322613885,2.1790109634,6.655737778354791,6.68012627639464,5.2059235276524385,45.67264136026983,393.625835669392,111.65805642549545,58.46773704111747,267.7727855450598,130.35324233055556,4.775972993648833,6.63901848361094,6.67838663867991,5.205323170959377,40.82826316374806,266.47324102798075,110.69134754501336,54.40371476036744,263.5451063942881,129.80993703610503,0.02788421503143656,-9.909770012000001,-6.476271152000001,-7.942295074,-18.376791,-70.54518127,-57.71680069,-17.97369957,-61.86729813,-46.64419937,1.9605276580000002,8.045566559,9.348698616,4.839902878,19.86787033,10.46422291,39.48569107,19.57259941,19.1711998,41.95560074,2.4656155109999998
5,jak,laufen,s,5.0,-0.002522679689903486,0.04557822284133605,-0.06286642677559465,2.553665414827444,-11.073929602338813,-1.0719440914206302,1.9913699842583952,-1.8377850774060125,0.372028188692639,2.301497816999999,1.9284011746785161,2.0415993192720103,1.677222258278965,5.336807243179105,12.88767337871546,7.290041237644416,6.215897653608001,12.301253465188323,8.762058505652004,2.301497816999999,6.480111601228615,6.729585674768511,4.895981205955393,43.80789423585683,387.10733525710094,118.78144511061228,53.38923770976079,267.1230236473045,137.37686438363852,5.308656029639408,6.480105237315802,6.72750830037113,4.8920290183398745,37.286687184971,264.4754184195449,117.63238097548052,49.423683295555506,263.74556965656797,137.23845941045656,0.011763827983642625,-9.219876289,-11.68773651,-7.7996320720000005,-14.56208992,-69.89626312,-65.30577087,-15.14409924,-60.59389877,-53.82019806,2.137040377,8.620477676,9.413642883,4.103164196,21.36118126,8.439245224,31.13313675,21.00709915,17.44939995,34.41059875,2.505972147
6,jak,laufen,s,6.0,0.06383468966533459,0.05474333809660118,-0.052728096906997625,3.0054983774456523,-11.479082434380892,-1.3791583533673135,2.2390170429434186,-2.2943930089630613,0.037654667918767294,2.3094278338,2.0800096157472128,2.377018046699737,1.7594470485395441,5.663568490969064,13.182784068560435,7.286518641621461,6.421645967901271,12.149843621161864,8.811896226000316,2.3094278338,7.181295780686316,9.214597384746284,5.098318487879678,49.58227884655018,382.95474056448785,116.15637272481852,56.995692570224804,254.74383889169002,150.51582912999112,5.350655808333029,7.177220913081649,9.211600551680318,5.095538235676245,40.549258349721725,251.18540702917605,114.25429496115565,51.982495251633694,249.47959961211123,150.51441125597515,0.017198888802868545,-8.209522247,-10.84666252,-7.775145053999999,-14.4074049,-70.25753021,-63.60984039,-17.0781002,-60.53339767,-58.89319992,2.100477219,9.00588131,8.412871361,3.811450005,23.72659492,8.665401459,33.97468567,22.19509888,17.36439896,42.41659927,2.535548449
7,jak,laufen,s,7.0,0.10637626039026121,0.029891431951249128,-0.054122076572686494,3.0663280841055323,-11.079715192308328,-1.309174196399366,1.7480527361749012,-2.0533152429273804,0.5005823482329562,2.2628034352999995,2.1035419513229487,2.2984580761669826,1.5727836888072706,5.470635193829253,12.657593933326861,8.266239483367407,6.027041523536492,12.119221738344054,9.938126535434876,2.2628034352999995,7.2011707615792275,8.729990329482412,4.242506456393893,47.326427677467,362.9384163604007,143.90237938741546,51.60593933458718,242.73233657770518,174.09481835496294,5.134401812730284,7.189854852804608,8.729096831778307,4.239577257221364,37.9240597580927,240.17832761773275,142.18844231089756,48.55025096613852,238.51623309086742,173.84423566760051,0.014122425924802997,-6.921295166,-8.918580055,-7.724041939,-10.38816261,-62.39835358,-56.38866043,-11.15329933,-53.79979706,-54.82180023,2.054108143,9.644672394,13.48167324,3.887040138,25.64693832,8.425330162,29.20507622,24.05279922,16.79959869,34.11330032,2.469655752
8,jak,laufen,s,8.0,0.08948390527005833,0.053688821685160724,0.004963299562565418,3.311238210840808,-10.985533617702249,-1.4469771110179876,1.4534168372264522,-2.0605098615939306,0.4938892602003171,2.2908488036000003,2.1655783883140423,2.4144177118343055,1.5884615894648904,5.668588640475851,12.80165572012441,8.417584720655162,6.074221082050979,12.02670563578822,9.84257118889525,2.2908488036000003,7.247495156135542,9.806574594233325,4.198894960223391,48.58100965662362,359.30033692178773,147.87951713089575,50.70004120987391,239.67075907631843,162.0693935880262,5.258562588347882,7.239487786833166,9.803692104659394,4.19887032588084,37.616711167691406,238.61838805612234,145.78577437108572,48.58762070714056,235.42505818659274,161.82546698668514,0.010574347392330482,-8.17013073,-11.74629307,-7.168293952999999,-10.72440529,-63.69320679,-73.64141846,-12.68529987,-52.57600021,-62.85379791,2.0875594619999998,9.829920769,10.88924885,3.9157857889999996,21.77189255,8.317284584,30.18270493,20.60700035,16.35350037,30.34999847,2.423676968
9,jak,laufen,s,9.0,0.06156955495468535,0.03991615914919788,-0.0030835523330941996,3.2237323781102067,-11.102680783604978,-1.5984943878278808,1.2756433127678137,-2.0975939924614706,-0.22809962305196835,2.307492876,2.2466594502250334,2.36060881173124,1.481973668146732,5.142928702111176,12.505873600824525,8.461532198449577,5.54691398662308,11.881780253594195,10.131218636452571,2.307492876,8.18189292785629,9.270711851082583,3.602207399467129,43.37038670560046,358.2617370592957,153.53169008040842,44.390367915149405,237.10937616075617,183.81011541532922,5.3357588430039815,8.178102117758977,9.269118551321347,3.6021978911721457,32.97793625992438,234.9922164766644,150.9765057724911,42.76310205374009,232.70947560354608,183.75808597729298,0.011235470213229879,-8.071118355,-10.39099216,-6.7818260189999995,-11.14552593,-61.66078949,-67.56736755,-12.88239956,-50.47439957,-66.74819946,2.1096205709999998,11.29381657,13.0057745,3.4909901619999997,25.11078835,7.267733574,33.02088547,23.20429993,16.06049919,38.34409714,2.453334093
10,jak,laufen,s,10.0,0.0496748310502131,0.0412095896733679,-0.014062265325328576,3.2541509350538753,-11.210443817464556,-1.5070534307214307,1.2830749705467268,-2.1462672030165098,-0.26755116481109914,2.2495504141000002,2.1215512757005235,2.3691269527224867,1.5649822368659805,5.274439306645532,12.61727110319832,8.388629051457624,5.797250652869304,11.605614198562535,9.686567585360265,2.2495504141000002,7.2574343569955255,9.538790661758425,4.121421158114369,45.01677250392414,358.04067034852955,154.2843145046654,47.56960818062143,233.000082749006,161.1117420143738,5.074675830896036,7.254966768155668,9.537092431477378,4.121223410808291,34.427274195812146,232.36661976400043,152.01310446161597,45.92332680057795,228.3936198422611,161.04015838858206,0.014198765318554147,-6.869127273999999,-11.0340414,-6.866997719,-7.915240288,-63.93162918,-66.36986542,-10.57929993,-56.77429962,-48.95339966,2.03792572,9.675546646,13.44973373,3.34300375,21.81855011,9.168279648,31.92140198,19.29159927,17.12619972,34.35910034,2.417273998
11,jak,laufen,s,11.0,-0.010235369205343275,0.00033373027480689465,0.01068584909559711,2.7246965228474003,-11.016827967600955,-1.208700839567689,0.945542826955318,-1.8679797394397413,-0.3276749951511108,2.275302458,2.1075949848794293,1.8855473984709912,1.4703716350595164,4.711724168319473,12.452606690825961,7.279454982136165,5.260560180709091,11.97676003690085,8.89722913762254,2.275302458,6.859450827936456,5.948300886400234,3.634484224162335,33.21840172234861,371.7656971772412,110.97985027092103,37.171127826025376,250.60669384535174,134.9059907612169,5.187918460227381,6.859346065153703,5.948300775024343,3.634370036791437,25.7944305807319,250.3951987095254,109.51889255134951,36.27707658841879,247.11734553839418,134.7986198587696,0.010917184846540034,-6.5124692920000005,-6.743498325,-6.664714336,-10.26006413,-62.67943192,-48.82782745,-13.25479984,-52.87599945,-45.17559814,2.08131218,8.412871361,8.646029472,3.7816398139999996,22.69056892,7.647951602999999,25.52768707,19.04599953,16.3375988,28.83119965,2.434760809
12,jak,laufen,s,12.0,-0.03442751253623814,-0.02585960891691785,0.0224172376857667,2.4106500666354624,-10.871271334719466,-1.286164771068795,0.9308015592670237,-1.6667130584922825,-0.320296847047718,2.2929139375,2.107746304917929,1.802936768683173,1.456423338233599,4.485601767946453,12.189589537007857,7.184553749136023,5.153688357138378,11.680823901091047,8.8160974161989,2.2929139375,6.945686639959136,5.983941397058161,3.404377444588563,28.922836265732332,355.0069118065435,115.08395911349649,34.05890828490067,236.45185526985273,137.70218160330722,5.269510434069967,6.944501386339708,5.983272677684821,3.403874912043101,23.111602521962777,236.82237137345086,113.429739295158,33.19251674216674,233.67392285050397,137.59959153307844,0.012056109288213667,-7.685714245,-7.649516106,-6.475206375,-11.06309891,-63.07965851,-68.43103027,-13.32409954,-54.582798,-57.43299866,2.0724895,8.636447906,9.502008437999999,3.84977746,19.00844955,6.258883953,34.16217422,17.40449905,15.01329994,37.9416008,2.454162598
13,jak,laufen,s,13.0,0.015029470536415979,0.014973634832800904,0.021654666740462413,2.5982610336932868,-11.135335877962037,-0.93801154992696,1.1131999692206165,-1.9175405045968166,-0.16714988992326046,2.2619066001000006,2.0041804610569587,1.9425525320290546,1.5261928415655137,4.598180271441141,12.273834053183435,6.764014823022807,5.198616578984029,11.320713237648496,8.266335766310135,2.2619066001000006,5.918680764402608,6.486923593362145,3.7019915007786803,29.760164860150997,343.4755828277741,92.32159117773337,33.82260086358336,220.67739068535565,115.91661707548326,5.1267224093487,5.918454879418003,6.486699383622044,3.701522576187043,23.009204460942133,219.47987771274535,91.44172550993693,32.5833866921106,217.0004290985862,115.88867798978187,0.010500941772757594,-6.098320007000001,-8.231880188,-6.299539089,-11.47636604,-61.76916885,-46.18844223,-14.24779987,-53.28579712,-45.43319702,2.083465815,7.864575863,8.768464088,3.1279442310000003,16.72702408,5.36265707,23.9905529,16.01269913,14.22579956,28.04389954,2.40267396
14,jak,laufen,s,14.0,0.0648511761486429,0.013573028739415502,0.05276105344122628,2.463432458981228,-10.676277313808887,-1.138887815673828,0.6905293497760709,-1.5099140586656359,-0.2055835250933373,2.2027714253,2.0888081908482845,1.7080104690126596,1.4188246883628004,4.419339989065639,11.86920500928355,6.292823160597691,4.922685993343571,11.102712231408892,7.772611512494128,2.2027714253,6.349905764250792,4.732686628536911,3.2341742369210045,29.115912747730118,327.1697209449593,81.81127727288143,32.411387365159044,212.20335136408983,99.56091715892019,4.862816796554792,6.345700089202934,4.732502401427746,3.2313905081607803,23.04741326776781,213.1868236636092,80.514211816191,31.93455658225687,209.9235108995338,99.51865257313038,0.010614844436598969,-6.164328575,-7.642063618,-6.3527717589999995,-9.010769844,-63.45109558,-44.8220787,-10.98589993,-52.87540054,-35.66880035,2.0207974909999997,7.493012427999999,7.696361065,3.936014175,16.70815659,6.428718567000001,18.60161591,15.6371994,15.2475996,21.37879944,2.343421221
15,jak,laufen,s,15.0,0.03323104544909643,0.008403137103566664,0.046212185158624984,2.4802914918136496,-11.143669348682039,-1.1983613739058818,0.6776188356993651,-1.962620588284503,-0.2399972101345238,2.2479890584,2.0839260087100397,1.8765459654033825,1.437016274052473,4.247887699376917,12.390667613780083,6.811693454573446,4.728932621320359,11.613772324236887,8.34712120808334,2.2479890584,6.787886302511319,6.030134028325947,3.3187708569619185,28.689129512818518,362.78088043011945,107.07668024198988,31.492601407926525,239.69186224641714,125.82115960611566,5.066602226883098,6.786782000129669,6.030063415612769,3.316635290904784,22.537283628455356,238.59951387736396,105.64061025952057,31.033434121431974,235.83998267285898,125.76356094524323,0.013147420196978912,-6.212237835,-7.606930256,-6.116418839,-10.26248741,-65.12268829,-61.81308746,-13.61219978,-53.41790009,-59.1208992,2.073058605,8.495913506,11.93580055,4.445981979,19.09510994,6.403436183999999,23.56906891,16.42609978,14.80169964,27.65040016,2.423518419
16,jak,laufen,s,16.0,-0.029849561789580488,-0.03315644793720862,0.01650145095276518,2.5760099889511383,-10.740223910195356,-1.3786491961571743,0.6337608130879925,-1.6084653388040353,-0.8951296091880723,2.2467996597,2.160095340689987,1.9099874163828081,1.5468424975687907,4.541307399474654,11.773505638682806,6.662049282420919,5.131074421362904,10.926331510191261,8.31006860940756,2.2467996597,7.034194968395632,6.4443432789794715,3.65904299871499,30.63050092175283,320.12517310582706,110.72974357850973,34.48269767465671,204.68897832242067,134.00423444936217,5.061401294493047,7.033303972056612,6.443243928939657,3.658770700831448,23.994673458576774,204.77276346469517,108.82906997244487,34.08104490645078,202.1018175762867,133.20297743211717,0.013292583665010385,-7.951877117,-9.047402382000001,-6.061057091,-10.57028484,-56.99810791,-65.70120239,-14.60529995,-48.12439728,-64.07720184,2.022196531,8.685421944,9.480715752,3.483537436,18.42760468,5.146585464,30.62128448,17.18869972,14.25469971,30.84329987,2.445415735
